DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children12M,OPV1_Children12M,PENTA1_Children12M,OPV2_Children12M,PENTA2_Children12M,OPV3_Children12M,PENTA3_Children12M,Measles_Children12M,Fully_Children12M,BCG_Children23M,OPV1_Children23M,PENTA1_Children23M,OPV2_Children23M,PENTA2_Children23M,OPV3_Children23M,PENTA3_Children23M,Measles_Children23M,Fully_Children23M,InvalidPENTA1_Infant12M,InvalidPENTA2_Infant12M,InvalidPENTA3_Infant12M,InvalidMeasles_Infant12M,DropoutPENTA1-PENTA3_Children23M,DropoutPENTA1-Measles_Children23M,TT1_Mother0-11MChildren,TT2_Mother0-11MChildren,TT3_Mother0-11MChildren,TT4_Mother0-11MChildren,TT5_Mother0-11MChildren,TT1_Woman18-49Y,TT2_Woman18-49Y,TT3_Woman18-49Y,TT4_Woman18-49Y,TT5_Woman18-49Y,PAB_Mother0-11MChildren,OPVCoverage_1stRound_Children59M,OPVCoverage_2stRound_Children59M,OPVCoverage_All_Children59M,VitACoverage_Infants6-11M,VitACoverage_Children12-59M,VitACoverage_PostPartum,AnthelminticCoverage_Children24-59M,Year
15,Chittagong ,20,Chittagong,73,Chittagong Division,Chittagong Division,98.7,94.3,89.3,93.2,91.6,90.9,91.2,85.3,79.3,98.7,94.3,89.3,93.2,91.6,91.5,91.3,88.1,81.8,5.3,7.1,8.8,4.3,2.2,6.0,97.0,95.8,84.5,65.6,46.1,91.8,89.3,77.3,56.3,34.9,95.0,95.3,94.4,93.5,82.2,91.7,43.1,88.5,2013
15,Chittagong ,20,Chittagong,85,Chittagong Slum,Chittagong Slum,97.6,92.3,86.7,86.8,86.8,82.1,84.3,63.3,60.1,97.6,92.3,86.7,86.8,86.8,82.1,84.3,70.0,66.9,5.7,6.1,8.1,9.6,8.8,21.1,95.2,91.9,59.5,39.0,22.4,84.3,80.0,61.9,38.6,24.8,,96.7,97.1,96.7,,,,,2013
18,Chuadanga ,40,Khulna,95,Chuadanga,Chuadanga,100.0,93.3,88.0,93.8,92.7,91.3,90.2,92.2,84.4,100.0,93.3,88.0,93.8,92.7,91.3,90.2,92.2,84.4,5.3,6.5,9.2,4.6,1.4,2.4,99.0,96.7,90.0,67.6,47.1,93.8,93.3,76.7,56.2,30.0,93.8,98.1,97.1,96.7,90.0,96.2,21.0,92.4,2013
19,Comilla ,20,Chittagong,57,Com CC,Com CC,99.0,89.3,85.5,90.0,88.5,88.5,86.2,88.9,82.1,,,,,,,,,,3.8,5.3,9.2,3.5,0.0,1.9,99.5,99.5,88.6,66.2,51.4,91.4,89.0,78.1,51.9,29.0,,98.1,98.1,98.1,95.2,94.8,23.3,86.2,2013
19,Comilla ,20,Chittagong,93,Comilla,Comilla,100.0,92.1,86.5,90.8,86.1,92.2,92.2,88.3,79.4,100.0,92.1,86.5,90.8,86.1,93.1,92.2,92.5,82.9,6.3,12.1,13.1,1.8,0.5,3.3,99.0,98.1,93.8,85.7,69.5,91.9,89.0,79.5,58.1,28.1,96.2,97.1,91.4,91.0,86.2,95.2,14.8,91.0,2013
19,Comilla ,20,Chittagong,89,Comilla CC,Comilla CC,,,,,,,,,,99.0,89.3,85.5,90.0,88.5,89.2,86.2,92.2,84.6,,,,,,,,,,,,,,,,,98.6,,,,,,,,2013
22,Cox's Bazar ,20,Chittagong,87,Coxs Bazar,Coxs Bazar,100.0,95.9,90.0,95.9,94.7,94.2,94.2,90.8,84.5,100.0,95.9,90.0,95.9,94.7,94.8,94.8,93.8,87.6,5.9,7.1,9.1,3.2,0.5,1.9,98.6,96.7,87.1,67.1,43.3,99.5,99.0,89.5,67.1,44.8,91.4,99.0,99.0,99.0,40.0,98.1,31.9,94.8,2013
15,Chittagong ,20,Chittagong,47,Ctg CC,Ctg CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8,,,,,,,,2013
15,Chittagong ,20,Chittagong,42,Ctg Slum,Ctg Slum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.9,,,,90.5,94.3,32.4,88.1,2013
26,Dhaka ,30,Dhaka,91,Dhaka,Dhaka,100.0,98.5,94.8,97.6,95.4,95.6,96.3,90.2,85.6,100.0,98.5,94.8,97.6,95.4,95.6,96.3,92.5,87.9,3.7,6.0,6.8,1.6,1.4,5.2,94.8,93.3,74.3,54.8,37.1,87.1,84.8,67.6,48.1,30.5,88.6,94.3,93.8,93.8,89.5,95.2,21.4,92.9,2013
26,Dhaka ,30,Dhaka,60,Dhaka Division,Dhaka Division,99.4,95.0,90.9,93.6,92.0,91.0,91.6,83.6,79.0,99.4,95.0,90.9,93.8,92.1,91.6,91.9,87.7,82.7,4.3,6.0,7.6,4.3,2.4,7.0,97.6,96.1,81.7,61.3,40.9,90.3,87.8,72.3,50.4,31.6,81.6,94.6,92.0,91.2,86.0,93.0,32.3,89.4,2013
26,Dhaka ,30,Dhaka,60,Dhaka North CC,Dhaka North CC,,,,,,,,,,100.0,95.4,90.8,93.6,91.0,93.2,93.2,89.6,84.0,4.6,6.6,7.4,3.0,2.9,5.7,,,,,,,,,,,98.6,,,,,,,,2013
26,Dhaka ,30,Dhaka,75,Dhaka Slum,Dhaka Slum,97.1,96.2,95.3,91.5,91.5,83.4,83.4,75.7,75.3,97.1,96.2,95.3,91.5,91.5,85.2,85.2,81.1,79.1,1.0,1.0,2.1,3.5,6.9,14.7,94.3,91.9,73.3,47.6,28.6,83.3,79.5,67.1,40.5,23.3,88.6,94.8,93.3,91.9,90.5,91.9,43.8,87.6,2013
26,Dhaka ,30,Dhaka,60,Dhaka South CC,Dhaka South CC,,,,,,,,,,99.0,96.8,91.7,94.3,93.6,91.2,91.9,83.8,80.6,5.2,5.9,7.6,6.6,1.4,6.7,,,,,,,,,,,92.9,,,,,,,,2013
27,Dinajpur ,55,Rangpur,94,Dinajpur,Dinajpur,99.5,95.4,91.3,95.9,95.4,96.4,97.0,87.8,85.0,99.5,95.4,91.3,95.9,95.4,96.4,97.0,90.4,87.6,4.2,5.3,5.9,4.0,0.5,3.4,98.6,96.7,90.0,81.0,61.0,95.7,94.3,79.0,62.9,45.7,93.8,98.6,97.6,97.1,89.0,92.9,42.4,88.6,2013
26,Dhaka ,30,Dhaka,20,DNCC,DNCC,100.0,95.4,90.8,93.6,91.0,92.6,93.2,85.6,80.6,,,,,,,,,,,,,,,,99.5,99.0,83.3,51.9,32.9,96.7,96.7,72.9,49.5,33.8,,99.0,99.0,99.0,96.2,97.6,38.6,96.2,2013
26,Dhaka ,30,Dhaka,20,DSCC,DSCC,99.0,96.8,91.7,94.3,93.6,90.4,91.9,78.8,76.1,,,,,,,,,,,,,,,,97.6,96.7,74.8,55.7,35.7,90.5,88.1,72.9,48.6,29.5,,95.2,96.7,95.2,92.4,95.2,36.2,90.5,2013
29,Faridpur ,30,Dhaka,94,Faridpur,Faridpur,99.5,96.8,92.1,94.1,94.1,93.0,93.0,86.7,81.8,99.5,96.8,92.1,94.7,94.7,94.4,93.7,90.8,85.3,4.7,4.8,7.1,3.8,2.4,5.3,92.4,90.5,75.7,54.8,30.5,85.7,83.8,69.5,48.6,32.4,87.1,91.0,81.4,79.5,72.4,85.7,43.3,76.7,2013
30,Feni ,20,Chittagong,89,Feni,Feni,99.0,96.7,90.3,96.7,94.9,92.9,95.2,86.4,80.4,99.0,96.7,90.3,96.7,94.9,94.0,95.8,89.5,82.8,7.1,8.9,9.2,5.3,1.4,4.8,99.5,98.1,91.9,75.2,56.7,94.8,93.8,85.2,60.5,33.8,94.3,100.0,100.0,100.0,100.0,100.0,59.5,100.0,2013
32,Gaibandha ,55,Rangpur,95,Gaibandha,Gaibandha,100.0,93.4,89.6,94.0,93.5,87.5,89.7,83.6,82.9,100.0,93.4,89.6,94.0,93.5,88.6,90.2,86.5,85.2,4.4,5.1,4.7,2.6,3.8,9.5,99.0,98.1,87.6,60.0,39.0,92.4,86.7,69.0,44.3,21.4,91.9,95.2,96.2,94.8,77.1,91.0,50.5,87.1,2013
33,Gazipur ,30,Dhaka,93,Gazipur,Gazipur,100.0,98.9,94.9,96.3,95.2,91.9,93.0,78.2,74.6,100.0,98.9,94.9,96.3,95.2,91.9,93.0,82.8,79.3,3.9,5.1,6.5,2.8,4.8,14.3,98.6,98.1,78.6,53.3,31.9,92.9,87.6,68.1,47.6,26.2,89.5,91.4,86.7,84.8,91.0,95.2,23.3,91.0,2013
35,Gopalganj ,30,Dhaka,95,Gopalganj,Gopalganj,99.5,94.0,91.9,94.2,94.2,94.1,94.1,87.5,85.3,99.5,94.0,91.9,94.2,94.2,94.1,94.1,91.1,89.0,2.1,2.1,2.9,2.4,1.9,6.2,98.6,97.6,85.2,69.0,53.3,88.1,85.7,71.0,53.3,34.3,92.9,97.1,92.4,91.9,93.3,93.8,30.0,91.0,2013
36,Habiganj ,60,Sylhet,94,Habiganj,Habiganj,98.6,94.4,91.7,93.5,92.8,91.8,92.5,87.2,85.7,98.6,94.4,91.7,93.5,92.8,93.2,93.2,90.6,88.5,2.8,3.6,3.6,1.5,2.0,3.9,98.1,90.5,78.6,63.8,47.1,84.8,80.0,57.6,41.4,24.8,77.1,92.9,88.6,88.1,88.6,87.6,21.0,86.2,2013
39,Jamalpur ,30,Dhaka,94,Jamalpur,Jamalpur,99.0,96.2,92.6,96.8,96.8,95.7,95.7,82.7,79.1,99.0,96.2,92.6,96.8,96.8,95.7,95.7,86.3,82.7,4.2,4.2,5.5,2.1,0.5,10.6,97.1,96.7,77.1,48.1,29.5,87.1,83.8,64.8,41.9,22.9,86.7,95.2,90.5,90.0,87.1,91.9,51.4,88.1,2013
41,Jessore ,40,Khulna,93,Jessore,Jessore,99.5,95.8,92.1,97.4,95.2,94.8,94.2,89.4,83.3,99.5,95.8,92.1,97.4,95.2,95.9,94.8,92.1,85.5,3.7,6.0,8.3,1.8,1.0,5.3,98.6,97.6,82.4,61.4,44.3,90.0,87.6,71.9,55.2,37.1,90.5,94.8,94.8,94.3,84.3,94.8,41.9,93.8,2013
42,Jhalokati ,10,Barisal,95,Jhalokati,Jhalokati,99.5,97.3,91.6,95.3,95.3,94.3,93.1,83.6,76.7,99.5,97.3,91.6,95.3,95.3,94.3,93.1,88.8,81.9,5.8,5.9,8.3,4.6,1.9,6.3,99.0,96.7,92.9,79.5,60.0,82.9,79.5,69.5,49.0,28.6,93.3,93.8,91.4,90.5,77.1,90.0,28.6,82.4,2013
44,Jhenaidah ,40,Khulna,95,Jhenaidah,Jhenaidah,99.5,92.1,89.4,92.5,92.0,92.5,93.6,90.7,88.4,99.5,92.1,89.4,92.5,92.0,93.0,94.1,93.5,91.2,2.7,3.2,3.3,1.9,0.5,4.3,99.5,98.6,87.6,65.7,42.9,96.2,91.0,78.6,57.6,40.0,91.9,95.7,95.2,93.8,88.1,91.9,21.0,89.0,2013
38,Joypurhat ,50,Rajshahi,95,Joypurhat,Joypurhat,100.0,99.4,96.1,100.0,98.3,96.6,98.3,90.2,86.9,100.0,99.4,96.1,100.0,98.3,97.8,98.3,92.4,88.0,3.3,4.5,6.1,3.6,0.0,4.3,99.5,97.6,88.1,67.1,44.8,95.7,95.2,82.4,62.9,39.5,95.7,98.6,97.6,97.6,91.0,95.2,31.9,90.5,2013
47,Khulna ,40,Khulna,20,KCC,KCC,99.5,95.0,94.4,92.7,92.7,92.4,93.0,86.6,86.6,,,,,,,,,,0.6,1.3,0.7,1.5,1.9,6.2,98.1,96.2,81.0,59.0,39.5,90.0,88.1,66.7,39.0,24.3,90.0,95.7,95.7,95.7,94.3,97.1,51.9,96.2,2013
46,Khagrachhari ,20,Chittagong,92,Khagrachari,Khagrachari,98.1,94.5,89.0,93.0,90.6,91.2,90.0,88.2,78.9,98.1,94.5,89.0,93.0,90.6,91.2,90.0,91.9,82.6,5.6,8.1,11.3,2.1,1.5,4.4,94.8,93.3,84.3,60.0,41.4,93.3,91.4,79.5,61.4,39.0,90.5,92.9,91.9,91.4,88.6,90.0,50.0,89.5,2013
47,Khulna ,40,Khulna,92,Khulna,Khulna,99.5,96.5,94.1,95.6,95.0,95.5,95.5,91.3,88.3,99.5,96.5,94.1,95.6,95.0,95.5,95.5,92.6,89.5,2.4,3.7,4.3,1.3,1.0,5.7,99.0,94.8,77.1,51.4,33.3,93.8,91.0,72.4,51.0,28.6,80.5,98.6,98.6,98.6,90.0,98.6,35.2,97.6,2013
47,Khulna ,40,Khulna,88,Khulna CC,Khulna CC,,,,,,,,,,99.5,95.0,94.4,92.7,92.7,93.0,93.7,92.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,2013
47,Khulna ,40,Khulna,64,Khulna Division,Khulna Division,99.7,95.3,92.2,94.8,93.7,93.0,93.1,88.8,84.8,99.7,95.3,92.2,94.8,93.7,93.5,93.3,91.3,87.1,3.4,4.6,5.8,2.7,1.7,5.5,98.8,96.8,84.1,63.3,42.9,93.3,90.3,73.4,50.2,30.6,88.7,96.5,96.4,95.8,83.4,93.2,35.4,91.0,2013
48,Kishoreganj ,30,Dhaka,96,Kishoreganj,Kishoreganj,100.0,96.0,91.9,95.4,94.3,92.8,94.0,89.0,87.0,100.0,96.0,91.9,95.4,94.3,93.4,94.5,91.3,89.4,4.0,5.2,5.4,3.7,1.4,2.9,98.1,96.7,85.2,68.6,51.0,95.2,93.3,77.6,55.2,34.3,96.7,94.3,95.7,92.9,64.3,96.7,18.6,90.0,2013
49,Kurigram ,55,Rangpur,94,Kurigram,Kurigram,100.0,96.9,92.2,95.1,94.5,93.6,92.0,84.4,77.5,100.0,96.9,92.2,95.1,94.5,94.1,92.5,89.1,82.2,4.7,5.4,7.7,4.2,3.3,6.7,99.0,95.7,68.1,40.5,18.1,92.4,85.7,58.1,36.2,20.5,88.6,100.0,100.0,100.0,66.2,92.4,59.5,93.8,2013
50,Kushtia ,40,Khulna,93,Kushtia,Kushtia,100.0,93.5,86.9,92.6,91.6,88.4,89.5,83.8,76.9,100.0,93.5,86.9,92.6,91.6,90.1,89.5,88.9,80.3,7.2,8.3,10.8,3.9,2.9,7.2,99.0,97.1,86.7,70.0,45.2,92.9,91.0,71.0,45.7,26.2,85.2,93.3,91.0,90.5,78.6,89.5,24.3,86.2,2013
51,Lakshmipur ,20,Chittagong,95,Lakshmipur,Lakshmipur,100.0,94.9,93.0,96.2,95.5,95.5,94.8,90.2,88.8,100.0,94.9,93.0,96.2,95.5,96.1,94.8,92.1,90.1,2.5,2.6,4.5,1.4,0.0,4.8,97.6,96.2,87.6,68.1,51.9,90.0,85.2,73.3,51.0,27.1,90.5,91.4,92.4,88.6,85.7,85.7,31.9,83.8,2013
52,Lalmonirhat ,55,Rangpur,96,Lalmonirhat,Lalmonirhat,100.0,97.8,92.9,97.3,95.7,92.5,92.5,86.1,79.4,100.0,97.8,92.9,97.3,95.7,94.2,92.5,88.9,80.6,5.5,7.2,11.1,4.3,1.4,7.1,99.0,96.2,72.4,51.9,31.0,87.6,81.9,61.0,43.3,26.7,91.0,98.1,97.6,96.2,62.9,87.1,59.5,88.1,2013
54,Madaripur ,30,Dhaka,95,Madaripur,Madaripur,99.0,96.4,93.5,94.0,92.9,92.5,91.3,78.4,73.0,100.0,96.4,93.5,94.0,92.9,93.1,91.9,85.0,79.6,3.6,4.9,6.8,4.4,3.3,11.4,98.1,96.7,79.5,50.5,28.1,91.0,88.6,69.0,51.9,32.9,92.9,89.0,88.1,87.1,61.4,81.4,50.5,81.0,2013
55,Magura ,40,Khulna,92,Magura,Magura,100.0,98.3,95.9,98.4,96.6,94.8,93.6,84.8,80.0,100.0,98.3,95.9,98.4,96.6,94.8,93.6,86.5,81.8,2.3,3.5,6.0,5.8,2.9,7.6,99.5,97.6,93.3,79.5,59.5,96.7,95.7,79.5,56.7,38.1,95.2,94.8,94.3,94.3,71.0,80.0,19.5,77.1,2013
56,Manikganj ,30,Dhaka,95,Manikganj,Manikganj,100.0,96.8,91.9,96.4,93.6,93.6,96.4,86.5,81.9,99.0,96.8,91.9,96.4,93.6,94.2,96.4,90.4,85.3,5.0,7.9,8.6,3.1,1.0,5.3,97.6,97.1,81.0,58.1,39.5,91.0,87.6,70.5,45.2,31.4,94.8,98.1,98.6,98.1,99.0,98.1,18.6,99.0,2013
57,Meherpur ,40,Khulna,94,Meherpur,Meherpur,99.5,97.7,96.0,95.9,95.3,95.5,94.3,91.5,87.9,99.5,97.7,96.0,95.9,95.3,95.5,94.3,92.7,89.1,2.4,3.0,4.2,0.6,2.9,6.2,98.6,95.7,71.9,44.3,28.1,92.9,91.0,71.4,38.1,15.2,87.1,97.1,97.6,96.7,68.1,92.9,21.0,84.8,2013
58,Maulvibazar ,60,Sylhet,83,Moulavibazar,Moulavibazar,98.6,94.8,90.5,96.5,94.8,92.7,92.7,84.6,79.0,98.6,94.8,90.5,96.5,94.8,93.3,93.3,86.2,80.6,4.3,6.1,9.0,6.7,1.0,5.8,90.0,88.6,76.7,66.7,49.0,92.4,91.4,81.4,62.4,39.0,82.4,92.4,91.9,91.0,91.9,90.0,33.3,86.7,2013
59,Munshiganj ,30,Dhaka,95,Munshiganj,Munshiganj,99.5,98.2,95.8,97.6,95.2,96.1,94.3,94.1,87.5,100.0,98.2,95.8,97.6,95.2,96.7,94.3,95.9,88.7,2.4,4.8,7.8,1.3,1.0,2.9,96.7,96.2,91.0,80.0,61.0,94.3,93.3,85.7,65.7,42.9,90.5,98.1,98.6,98.1,91.9,96.7,36.7,91.9,2013
61,Mymensingh ,30,Dhaka,95,Mymensingh,Mymensingh,99.0,93.6,91.6,91.2,91.2,86.3,85.1,74.6,71.4,99.5,93.6,91.6,91.2,91.2,87.0,85.7,79.9,76.6,2.0,2.0,4.2,5.0,6.8,14.6,99.0,95.7,82.9,67.1,45.7,90.0,88.1,74.3,49.5,31.9,91.4,96.7,93.3,93.3,97.6,98.1,31.9,98.1,2013
