DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children23M,OPV1_Children23M,PENTA1_Children23M,OPV2_Children23M,PENTA2_Children23M,OPV3_Children23M,PENTA3_Children23M,Measles_Children23M,Fully_Children23M,BCG_Children12M,OPV1_Children12M,PENTA1_Children12M,OPV2_Children12M,PENTA2_Children12M,OPV3_Children12M,PENTA3_Children12M,Measles_Children12M,Fully_Children12M,DropoutPENTA1-PENTA3_Male23M,DropoutPENTA1-PENTA3_Female23M,DropoutPENTA1-PENTA3_Children23M,DropoutPENTA1-Measles_Male23M,DropoutPENTA1-Measles_Female23M,DropoutPENTA1-Measles_Children23M,InvalidPENTA1_Infant12M,InvalidPENTA2_Infant12M,InvalidPENTA3_Infant12M,InvalidMeasles_Infant12M,Measles2ndDoseCrude,Measles2ndDose_Children18M,Measles2ndDose_Children23M,TT1_Mother0-11MChildren,TT2_Mother0-11MChildren,TT3_Mother0-11MChildren,TT4_Mother0-11MChildren,TT5_Mother0-11MChildren,TetanusAtBirth_Mother0-11MChildren,TT1_Woman18-49Y,TT2_Woman18-49Y,TT3_Woman18-49Y,TT4_Woman18-49Y,TT5_Woman18-49Y,Year
65,Narail ,40,Khulna,92,Narail,Narail,100.0,92.7,92.7,95.7,95.7,93.3,93.3,87.0,83.5,100.0,92.7,92.7,95.1,95.1,91.5,91.5,81.8,78.3,2.9,3.7,3.3,7.8,11.1,9.5,4.5,5.2,6.0,4.1,77.1,63.3,72.5,97.6,95.2,81.9,65.7,49.0,89.5,93.8,88.6,75.2,61.0,39.0,2015
67,Narayanganj ,30,Dhaka,96,Narayanganj,Narayanganj,99.0,93.3,93.3,92.8,92.8,93.1,93.1,88.5,81.9,99.0,93.3,93.3,92.8,92.8,93.1,93.1,87.8,81.2,0.0,7.8,3.8,4.8,10.7,7.7,3.6,5.9,6.8,3.2,78.6,63.9,73.2,97.1,94.3,79.0,61.0,40.5,91.0,98.1,93.8,75.2,56.7,36.7,2015
67,Narayanganj ,30,Dhaka,92,Narayanganj CC,Narayanganj CC,98.1,87.7,87.7,91.8,91.8,88.4,88.4,82.9,72.6,97.4,87.0,87.0,90.4,90.4,87.0,87.0,77.3,69.0,3.1,6.5,4.9,10.2,14.8,12.6,7.2,8.8,11.3,3.5,80.5,64.1,73.4,94.8,92.4,77.6,62.9,42.4,92.4,81.0,79.5,69.5,59.5,48.6,2015
68,Narsingdi ,30,Dhaka,95,Narsingdi,Narsingdi,99.0,94.9,94.9,94.5,94.5,93.1,93.1,89.0,87.1,99.0,94.9,94.9,93.9,93.9,93.1,93.1,82.5,80.9,1.9,3.0,2.4,1.9,7.9,4.8,0.6,1.2,2.5,6.0,80.5,65.9,74.8,99.5,96.7,82.9,60.0,41.9,91.4,96.2,91.4,79.0,52.9,32.4,2015
72,Netrakona ,30,Dhaka,56,National,National,99.4,94.0,94.0,94.7,94.7,94.1,94.1,91.7,86.5,99.3,93.9,93.9,94.5,94.5,93.6,93.6,87.4,82.5,1.6,2.4,2.0,4.3,5.5,4.9,3.1,4.6,6.1,3.0,85.0,75.3,80.5,97.7,96.3,85.8,68.5,47.8,91.5,96.0,94.0,83.6,66.7,46.1,2015
69,Natore ,50,Rajshahi,92,Natore,Natore,100.0,97.1,97.1,96.5,96.5,97.4,97.4,93.7,89.0,100.0,97.1,97.1,96.5,96.5,96.8,96.8,90.2,86.1,1.8,1.0,1.4,3.6,3.1,3.3,1.7,4.1,4.8,3.1,88.1,83.7,85.6,99.0,98.1,92.4,77.1,55.2,96.2,98.1,97.1,87.1,72.9,51.9,2015
72,Netrakona ,30,Dhaka,84,Netrokona,Netrokona,98.6,90.0,90.0,94.9,94.9,92.9,92.9,90.4,82.7,98.0,89.5,89.5,94.4,94.4,91.8,91.8,83.9,76.7,1.0,2.9,1.9,2.0,5.7,3.9,6.0,7.2,9.6,4.9,80.0,67.9,72.4,97.6,97.1,86.7,69.0,45.7,92.9,91.9,88.1,75.2,63.8,43.8,2015
73,Nilphamari ,55,Rangpur,95,Nilphamari,Nilphamari,100.0,95.5,95.5,95.5,95.5,95.5,95.5,96.0,92.9,100.0,95.5,95.5,95.5,95.5,95.5,95.5,93.0,89.8,0.0,0.0,0.0,2.0,0.9,1.4,1.5,3.0,4.5,2.7,90.0,82.5,87.5,98.6,97.1,87.1,70.0,50.5,89.5,98.6,98.1,84.8,65.7,46.2,2015
64,Naogaon ,50,Rajshahi,67,Noagoan,Noagoan,100.0,94.7,94.7,95.5,95.5,94.2,94.2,95.1,88.1,100.0,94.7,94.7,95.5,95.5,94.2,94.2,92.0,85.0,2.7,3.1,2.9,4.5,4.1,4.3,1.8,4.2,6.1,0.7,87.6,80.1,85.7,99.0,98.6,89.5,71.9,48.1,95.2,99.5,97.6,83.8,59.0,34.3,2015
75,Noakhali ,20,Chittagong,94,Noakhali,Noakhali,99.5,94.2,94.2,96.6,96.6,96.1,96.1,89.5,86.8,99.5,94.2,94.2,96.6,96.6,96.1,96.1,86.2,83.5,0.9,2.0,1.4,7.3,9.0,8.1,3.3,3.4,3.4,2.2,73.8,63.8,68.4,98.1,95.7,82.4,59.0,42.9,91.9,92.4,90.5,72.9,57.6,35.2,2015
36,Habiganj ,60,Sylhet,67,Nowabganj,Nowabganj,99.0,95.3,95.3,94.8,94.8,93.3,93.3,94.2,87.6,99.0,95.3,95.3,94.3,94.3,92.2,92.2,87.6,81.5,0.9,2.2,1.4,4.3,4.3,4.3,2.2,4.4,6.8,0.6,86.7,80.5,84.4,98.1,97.1,89.5,70.5,41.9,92.4,98.6,96.2,91.9,70.0,48.1,2015
76,Pabna ,50,Rajshahi,91,Pabna,Pabna,100.0,99.4,99.4,97.7,97.7,98.9,98.9,96.7,94.4,100.0,99.4,99.4,97.7,97.7,98.9,98.9,94.4,92.1,0.0,0.9,0.5,0.0,1.9,1.0,0.0,1.7,2.3,2.4,90.5,82.0,86.9,100.0,99.5,89.5,75.2,59.5,96.2,97.1,95.7,91.4,71.0,53.3,2015
77,Panchagarh ,55,Rangpur,95,Panchagarh,Panchagarh,100.0,93.9,93.9,96.2,96.2,95.0,95.0,94.6,89.0,97.8,91.6,91.6,93.9,93.9,92.2,92.2,88.9,84.3,1.1,0.0,0.5,1.1,2.5,1.9,2.9,3.5,5.8,3.8,93.3,82.9,87.8,100.0,99.0,90.0,72.4,47.1,92.4,99.0,95.7,87.6,74.8,52.9,2015
78,Patuakhali ,10,Barisal,95,Patuakhali,Patuakhali,100.0,96.2,96.2,97.9,97.9,96.5,96.5,94.0,89.6,100.0,96.2,96.2,97.9,97.9,95.9,95.9,89.1,84.7,0.8,3.3,1.9,2.5,5.5,3.8,3.2,4.9,6.1,2.4,85.2,79.9,84.1,98.1,95.7,84.3,62.9,34.3,93.8,100.0,99.0,92.4,74.3,41.0,2015
79,Pirojpur ,10,Barisal,82,Perojpur,Perojpur,100.0,96.9,96.9,96.4,96.4,96.9,96.9,96.0,92.4,100.0,96.9,96.9,96.4,96.4,95.9,95.9,92.9,89.3,0.9,0.0,0.5,1.8,1.0,1.4,1.5,3.6,5.2,2.7,96.2,89.5,92.1,100.0,99.0,91.0,75.7,49.0,96.2,99.5,97.1,92.9,73.8,51.4,2015
82,Rajbari ,30,Dhaka,93,Rajbari,Rajbari,100.0,95.7,95.7,97.3,97.3,96.8,96.8,96.0,88.5,100.0,95.7,95.7,97.3,97.3,96.8,96.8,91.7,85.8,0.0,0.0,0.0,1.8,3.0,2.4,3.2,4.8,7.5,1.7,91.9,81.7,87.1,98.6,98.1,88.1,76.7,49.5,92.4,100.0,100.0,89.5,63.8,36.2,2015
81,Rajshahi ,50,Rajshahi,94,Rajshahi,Rajshahi,100.0,93.3,93.3,93.3,93.3,94.9,94.9,96.7,91.4,100.0,93.3,93.3,93.3,93.3,94.9,94.9,92.6,87.3,0.0,1.0,0.5,0.0,2.0,1.0,2.2,3.4,5.2,2.5,89.0,79.2,85.3,98.6,97.1,87.1,66.7,40.5,96.2,99.0,95.7,79.0,63.8,36.2,2015
81,Rajshahi ,50,Rajshahi,90,Rajshahi CC,Rajshahi CC,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.1,95.1,100.0,100.0,100.0,100.0,100.0,99.4,99.4,91.2,91.2,0.0,0.0,0.0,1.7,3.2,2.4,0.0,0.0,0.0,2.7,91.4,84.2,88.5,100.0,99.5,97.1,87.6,71.9,98.6,98.1,98.1,94.8,88.1,71.9,2015
81,Rajshahi ,50,Rajshahi,69,Rajshahi Division,Rajshahi Division,99.5,95.9,95.9,95.6,95.6,95.1,95.1,93.5,89.2,99.4,95.9,95.9,95.5,95.5,94.9,94.9,90.2,86.1,1.8,1.9,1.9,3.9,4.5,4.2,1.7,3.2,4.1,1.8,87.3,78.6,83.4,99.0,97.9,88.6,71.7,50.2,94.5,97.7,95.1,84.7,65.9,45.7,2015
84,Rangamati ,20,Chittagong,95,Rangamati,Rangamati,98.1,94.1,94.1,93.3,93.3,91.3,91.3,90.5,83.3,98.1,94.1,94.1,93.3,93.3,91.3,91.3,84.2,78.8,2.1,3.6,2.9,5.3,4.5,4.9,2.9,4.0,7.1,3.3,84.8,79.6,83.5,93.8,92.9,81.4,55.2,38.6,85.2,93.8,91.0,76.7,55.7,36.7,2015
85,Rangpur ,55,Rangpur,93,Rangpur,Rangpur,100.0,95.6,95.6,97.8,97.8,93.9,93.9,93.7,88.7,100.0,95.6,95.6,97.8,97.8,93.9,93.9,89.9,86.0,1.0,5.6,3.3,2.0,9.3,5.7,3.3,4.9,6.8,0.6,82.4,78.2,82.4,99.5,99.0,92.4,75.2,58.1,92.9,100.0,99.5,94.3,77.1,54.3,2015
85,Rangpur ,55,Rangpur,89,Rangpur CC,Rangpur CC,99.5,96.0,96.0,93.3,93.3,93.8,93.8,92.9,86.5,98.9,96.0,96.0,93.3,93.3,93.2,93.2,87.4,82.2,0.9,5.1,2.9,1.8,8.2,4.8,1.2,4.3,5.0,2.1,81.9,70.1,79.0,99.0,97.6,90.0,78.6,57.6,93.8,97.1,96.7,88.6,71.9,54.3,2015
85,Rangpur ,55,Rangpur,67,Rangpur Division,Rangpur Division,99.8,95.0,95.0,95.6,95.6,94.8,94.8,94.2,88.7,99.7,94.9,94.9,95.5,95.5,94.5,94.5,90.1,84.9,1.1,1.5,1.3,2.4,4.0,3.2,2.6,4.6,6.6,2.5,86.5,79.8,83.8,98.8,97.9,88.1,69.4,47.4,91.5,99.3,97.7,87.8,68.9,49.7,2015
55,Magura ,40,Khulna,50,Rural,Rural,99.4,94.2,94.2,94.9,94.9,94.5,94.5,92.3,87.1,99.2,94.0,94.0,94.7,94.7,94.0,94.0,88.4,83.5,1.4,1.9,1.6,3.8,4.9,4.4,3.0,4.6,6.0,2.9,85.9,76.4,81.5,98.2,96.8,86.9,69.6,48.7,91.7,96.6,94.6,84.8,67.7,46.5,2015
86,Shariatpur ,30,Dhaka,90,Sariatpur,Sariatpur,99.5,90.0,90.0,94.5,94.5,93.0,93.0,93.7,87.1,99.5,90.0,90.0,94.5,94.5,92.3,92.3,85.1,79.2,2.0,0.9,1.4,3.0,0.9,1.9,4.5,5.8,7.9,4.4,86.7,75.7,82.3,98.6,97.1,90.5,78.6,63.3,94.3,98.1,97.6,92.4,79.5,59.0,2015
87,Satkhira ,40,Khulna,94,Satkhira,Satkhira,99.5,95.6,95.6,94.6,94.6,96.1,96.1,96.6,89.7,99.5,95.6,95.6,94.6,94.6,95.6,95.6,94.6,87.7,1.8,0.0,1.0,2.8,0.0,1.4,2.5,5.4,7.0,1.5,93.3,86.3,91.6,100.0,98.6,90.0,67.6,40.0,96.7,100.0,99.5,86.2,67.1,44.8,2015
89,Sherpur ,30,Dhaka,93,Sherpur,Sherpur,99.5,92.2,92.2,95.0,95.0,95.1,95.1,91.5,86.5,99.5,92.2,92.2,94.4,94.4,94.6,94.6,86.5,81.3,0.0,1.9,1.0,6.7,4.8,5.7,2.8,3.5,4.7,2.5,84.8,74.0,78.4,98.1,97.6,90.5,71.4,48.6,89.0,98.6,96.7,91.0,77.6,54.3,2015
88,Sirajganj ,50,Rajshahi,95,Sirajganj,Sirajganj,98.6,94.5,94.5,94.2,94.2,92.7,92.7,90.8,86.3,98.6,94.5,94.5,93.6,93.6,92.2,92.2,88.5,84.5,2.8,2.0,2.4,7.4,7.1,7.2,2.4,3.6,4.2,0.7,83.3,75.2,77.9,98.6,97.1,83.3,59.0,36.2,93.3,94.8,92.9,77.6,51.4,35.7,2015
90,Sunamganj ,60,Sylhet,95,Sunamganj,Sunamganj,96.2,88.8,88.8,91.8,91.8,90.3,90.3,82.2,76.4,95.6,86.9,86.9,90.0,90.0,88.5,88.5,70.4,64.7,3.8,2.0,3.0,8.7,6.1,7.4,5.2,6.0,8.0,8.9,73.8,60.3,65.5,93.8,91.4,80.5,67.6,52.4,85.2,92.9,90.5,84.3,74.3,49.5,2015
91,Sylhet ,60,Sylhet,92,Sylhet,Sylhet,99.0,92.3,92.3,93.9,93.9,93.0,93.0,93.7,87.4,99.0,92.3,92.3,93.9,93.9,92.5,92.5,89.0,82.6,0.0,4.1,1.9,0.9,8.2,4.3,3.7,4.7,6.5,1.2,91.0,81.8,86.4,97.6,94.8,85.7,67.6,52.4,88.1,98.6,98.1,92.4,81.0,62.9,2015
91,Sylhet ,60,Sylhet,88,Sylhet CC,Sylhet CC,99.0,89.8,89.8,92.1,92.1,90.6,90.6,90.0,79.6,99.0,89.8,89.8,91.4,91.4,87.2,87.2,80.0,70.2,3.8,3.0,3.4,4.8,8.9,6.8,7.0,8.7,10.7,1.8,78.1,64.7,75.0,94.3,91.4,82.9,66.2,47.1,82.4,83.3,80.0,69.0,55.2,40.5,2015
91,Sylhet ,60,Sylhet,64,Sylhet Division,Sylhet Division,97.9,91.1,91.1,93.3,93.3,92.2,92.2,88.3,82.5,97.7,90.7,90.7,92.7,92.7,91.4,91.4,82.6,76.9,1.7,3.2,2.4,4.2,6.4,5.3,4.4,5.5,7.0,4.7,83.5,72.4,77.4,96.2,94.3,85.9,70.6,54.9,87.5,95.6,93.9,86.8,73.6,53.8,2015
93,Tangail ,30,Dhaka,93,Tangail,Tangail,99.0,92.8,92.8,94.6,94.6,94.2,94.2,93.0,88.4,99.0,92.8,92.8,94.6,94.6,94.2,94.2,90.7,86.6,0.9,2.2,1.4,4.3,4.4,4.3,2.4,3.0,4.2,1.9,82.9,76.5,80.0,98.6,96.7,85.7,69.5,51.9,91.4,91.0,88.1,77.6,56.2,42.4,2015
94,Thakurgaon ,55,Rangpur,95,Thakurgaon,Thakurgaon,100.0,93.8,93.8,92.7,92.7,93.2,93.2,95.3,86.7,100.0,93.8,93.8,92.7,92.7,93.2,93.2,89.9,81.3,0.0,1.0,0.5,0.9,1.0,1.0,2.6,6.7,10.0,4.0,91.4,83.0,89.0,98.1,97.1,84.3,72.4,53.3,89.5,100.0,96.7,82.9,68.6,52.4,2015
03,Bandarban ,20,Chittagong,53,Urban,Urban,99.4,93.3,93.3,93.7,93.7,92.5,92.5,89.4,83.9,99.4,93.3,93.3,93.4,93.4,91.8,91.8,83.3,78.4,2.3,4.4,3.3,6.3,8.0,7.1,3.3,4.8,6.5,3.4,81.6,70.2,76.4,96.0,94.5,81.1,64.2,44.4,90.8,93.8,91.6,78.5,62.9,44.6,2015
