DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children23M,OPV1_Children23M,PENTA1_Children23M,OPV2_Children23M,PENTA2_Children23M,OPV3_Children23M,PENTA3_Children23M,Measles_Children23M,Fully_Children23M,BCG_Children12M,OPV1_Children12M,PENTA1_Children12M,OPV2_Children12M,PENTA2_Children12M,OPV3_Children12M,PENTA3_Children12M,Measles_Children12M,Fully_Children12M,DropoutPENTA1-PENTA3_Male23M,DropoutPENTA1-PENTA3_Female23M,DropoutPENTA1-PENTA3_Children23M,DropoutPENTA1-Measles_Male23M,DropoutPENTA1-Measles_Female23M,DropoutPENTA1-Measles_Children23M,InvalidPENTA1_Infant12M,InvalidPENTA2_Infant12M,InvalidPENTA3_Infant12M,InvalidMeasles_Infant12M,Measles2ndDoseCrude,Measles2ndDose_Children18M,Measles2ndDose_Children23M,TT1_Mother0-11MChildren,TT2_Mother0-11MChildren,TT3_Mother0-11MChildren,TT4_Mother0-11MChildren,TT5_Mother0-11MChildren,TetanusAtBirth_Mother0-11MChildren,TT1_Woman18-49Y,TT2_Woman18-49Y,TT3_Woman18-49Y,TT4_Woman18-49Y,TT5_Woman18-49Y,Year
15,Chittagong ,20,Chittagong,95,Chittagong,Chittagong,96.2,91.8,91.8,92.5,92.5,93.0,93.0,87.0,82.4,96.2,91.8,91.8,92.5,92.5,92.5,92.5,81.4,78.0,1.9,0.0,1.0,3.8,5.2,4.5,3.4,4.6,6.4,5.7,84.3,75.4,79.8,99.0,98.1,91.0,74.3,53.8,93.3,96.2,95.2,89.0,78.1,55.7,2015
15,Chittagong ,20,Chittagong,92,Chittagong CC,Chittagong CC,100.0,93.5,93.5,92.4,92.4,90.6,90.6,87.4,83.1,100.0,93.5,93.5,91.7,91.7,90.6,90.6,82.8,78.6,4.1,9.1,6.2,8.2,8.0,8.1,3.2,4.7,6.8,5.2,72.9,63.7,70.0,96.7,93.3,67.1,41.9,26.2,91.9,90.5,89.0,67.1,49.0,27.1,2015
15,Chittagong ,20,Chittagong,76,Chittagong CC Slum,Chittagong CC Slum,100.0,96.0,96.0,94.4,94.4,93.4,93.4,84.3,80.4,99.3,96.0,96.0,94.4,94.4,92.0,92.0,76.4,71.8,2.7,4.1,3.3,12.5,12.2,12.4,1.3,3.4,4.2,4.1,70.5,54.6,64.1,96.7,94.3,75.7,53.8,38.6,92.9,95.2,91.4,75.2,50.5,35.7,2015
15,Chittagong ,20,Chittagong,73,Chittagong Division,Chittagong Division,99.1,93.4,93.4,94.7,94.7,94.0,94.0,90.5,85.6,98.9,93.3,93.3,94.5,94.5,93.6,93.6,86.1,81.6,1.7,2.1,1.9,4.9,6.1,5.4,3.7,4.8,6.5,3.6,82.9,72.7,77.8,98.6,97.4,87.7,70.7,49.2,92.8,96.1,94.7,85.1,68.5,46.0,2015
18,Chuadanga ,40,Khulna,95,Chuadanga,Chuadanga,100.0,94.3,94.3,95.4,95.4,93.5,93.5,95.6,89.2,100.0,94.3,94.3,95.4,95.4,92.9,92.9,91.9,85.5,0.8,4.5,2.4,0.8,5.6,2.9,3.1,4.7,7.0,1.7,91.0,84.4,86.6,99.0,98.1,88.1,71.0,51.0,93.3,97.1,94.8,80.0,55.2,40.0,2015
19,Comilla ,20,Chittagong,93,Comilla,Comilla,100.0,91.5,91.5,94.6,94.6,92.4,92.4,93.3,90.2,99.3,90.8,90.8,93.9,93.9,91.0,91.0,85.9,82.7,1.8,2.0,1.9,4.5,6.0,5.2,4.3,4.3,5.9,1.7,78.6,67.7,75.2,99.5,99.0,88.6,68.1,41.4,94.8,97.6,95.7,85.7,64.3,42.9,2015
19,Comilla ,20,Chittagong,89,Comilla CC,Comilla CC,100.0,95.1,95.1,95.2,95.2,95.6,95.6,93.7,86.8,100.0,95.1,95.1,95.2,95.2,94.3,94.3,85.6,80.0,2.8,1.0,1.9,3.7,3.9,3.8,3.1,6.2,8.4,2.8,91.0,70.5,78.1,99.5,99.0,94.3,80.5,60.5,97.6,99.5,97.1,90.5,74.8,52.4,2015
22,Cox's Bazar ,20,Chittagong,87,Coxs Bazar,Coxs Bazar,99.5,93.1,93.1,92.1,92.1,91.8,91.8,88.3,81.8,99.5,93.1,93.1,92.1,92.1,91.8,91.8,83.8,78.0,2.7,4.1,3.3,9.0,7.1,8.1,3.8,7.1,8.4,3.6,80.5,67.6,74.4,99.0,98.6,94.8,86.7,60.0,95.7,93.3,91.9,88.6,77.6,54.8,2015
26,Dhaka ,30,Dhaka,91,Dhaka,Dhaka,99.5,93.6,93.6,90.0,90.0,91.3,91.3,88.8,80.4,99.5,93.6,93.6,89.2,89.2,90.5,90.5,84.2,75.8,2.8,1.9,2.4,8.5,6.8,7.7,3.0,7.6,9.2,3.5,81.4,69.8,77.0,94.8,93.8,77.1,63.8,42.9,91.0,85.2,81.0,69.5,55.7,45.2,2015
26,Dhaka ,30,Dhaka,63,Dhaka CC Slum,Dhaka CC Slum,99.0,89.6,89.6,85.5,85.5,81.5,81.5,80.0,74.2,99.0,89.6,89.6,85.5,85.5,80.9,80.9,73.8,68.5,8.5,11.1,9.8,16.0,17.2,16.6,3.4,7.9,8.2,1.9,65.2,54.9,61.8,94.8,90.0,68.1,47.6,30.0,80.5,93.3,86.7,63.3,45.2,32.4,2015
