   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:14
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Jakiganj	8322	2793	1512	1362	161	112	70	143	213	6153	73.9366
Jaintapur	7616	2108	1174	1147	217	77	118	192	310	5033	66.0846
Balaganj	8684	2478	1326	905	176	275	62	166	228	5388	62.0451
Golapganj	9808	3270	1605	926	243	415	61	175	236	6695	68.2606
Sylhet Sadar	8325	2219	1116	689	109	138	78	394	472	4743	56.9730
Biani Bazar	7025	2088	1008	845	193	46	38	111	149	4329	61.6228
Kanaighat	7572	3122	265	792	254	80	59	88	147	4660	61.5425
Biswanath	6031	2558	972	668	92	182	23	224	247	4719	78.2457
South Shurma	7316	2014	876	1112	155	367	72	237	309	4833	66.0607

 
