   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:37
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Poba (Sadar)	23549	6590	2073	5750	480	1183	267	3200	3467	19543	82.9887
Mohanpur	13053	5689	642	2777	229	358	222	1179	1401	11096	85.0073
Puthiya	4535	1745	507	438	124	171	42	719	761	3746	82.6020
Bagmara	0	2418	2550	4070	928	845	573	1251	1824	12635	NULL
Charghat	4401	1716	416	691	67	114	30	506	536	3540	80.4363
Boalia	67606	28089	20145	5721	395	723	293	1823	2116	57189	84.5916
Tanore	4288	1833	602	249	36	284	105	425	530	3534	82.4160
Godagari	20419	6510	2752	4161	397	349	479	3488	3967	18136	88.8192

 
