   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:46
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Jhikarghachha	7959	1772	600	1964	698	374	293	903	1196	6604	82.9752
Jessore Sadar	66738	20685	5601	14302	3418	4439	2598	3204	5802	54247	81.2835
Sarsa	6394	1903	455	1272	179	209	234	390	624	4642	72.5993
Keshobpur	9734	3489	366	2343	119	413	384	538	922	7652	78.6111
Bagherpara	15083	5526	878	2716	741	1253	426	967	1393	12507	82.9212
Monirampur	8023	2108	360	2530	40	393	371	904	1275	6706	83.5847
Abhaynagar	4976	1107	615	1253	141	116	126	278	404	3636	73.0707
Chowgachha	1162	436	67	290	50	20	17	97	114	977	84.0792

 
