   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:31
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	18044	7179	1818	3764	724	401	380	709	1089	14975	82.9916
Bhariab Bazar	24616	11985	3764	2512	537	614	157	765	922	20334	82.6048
Austagram	9158	3809	832	1951	610	35	35	234	269	7506	81.9611
Kishoreganj Sadar	1735	685	404	125	91	85	14	79	93	1483	85.4755
Hossainpur	11612	4740	778	1829	794	503	123	652	775	9419	81.1144
Nikli	8229	2955	1043	1206	1101	93	27	414	441	6839	83.1085
Pakundia	12635	4893	1336	2348	844	304	233	315	548	10273	81.3059
Itna	12458	6782	1451	1315	407	100	245	248	493	10548	84.6685
Kuliarchar	12159	5635	834	1304	611	702	255	576	831	9917	81.5610
Tarail	9086	5411	868	258	352	153	143	305	448	7490	82.4345
Karimganj	12785	5710	1071	1949	766	351	349	652	1001	10848	84.8494

 
