   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:40
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Chhagalnaiya	7849	3026	623	1269	445	158	12	665	677	6198	78.9655
Feni Sadar	10493	2859	1079	2401	544	163	41	778	819	7865	74.9547
Sonagazi	9260	2691	488	2521	438	202	46	1114	1160	7500	80.9935
Dagonbhuiyan	4664	1534	460	877	316	91	29	638	667	3945	84.5840
Fulgazi	3547	1363	274	567	142	75	24	273	297	2718	76.6281

 
