   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:57
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	40603	11908	5023	7936	2366	2922	1339	1106	2445	32600	80.2896
Barura	11898	4099	816	2702	594	514	237	520	757	9482	79.6941
Laksham	8541	3718	600	1360	151	117	85	625	710	6656	77.9300
Burichong	12732	5018	1449	1901	656	617	317	501	818	10459	82.1473
Muradnagar	8296	2361	800	1506	731	144	111	454	565	6107	73.6138
Daudkandi	7653	2327	718	1817	533	235	67	541	608	6238	81.5105
Chandina	15766	5734	1705	3397	661	287	296	715	1011	12795	81.1557
Nangolkot	9628	2774	805	2163	512	275	27	944	971	7500	77.8978
Titash	4721	1484	1094	1082	156	57	22	148	170	4043	85.6386
Comilla Sadar South	2574	1049	256	530	125	23	18	91	109	2092	81.2743
Monohargonj	1597	760	107	182	41	7	8	135	143	1240	77.6456

 
