   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:33
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	21494	7756	4183	3196	589	254	207	823	1030	17008	79.1291
Barura	7323	2673	660	1401	208	164	97	413	510	5616	76.6899
Burichong	11596	4529	1419	1736	341	299	192	500	692	9016	77.7509
Muradnagar	6482	2180	742	1024	361	29	96	339	435	4771	73.6038
Daudkandi	7234	2071	1207	1653	263	125	29	559	588	5907	81.6561
Chandina	16449	5323	1712	3503	527	229	272	653	925	12219	74.2842
Nangolkot	14901	4483	2491	1770	485	184	8	626	634	10047	67.4250
Titash	4404	1317	955	919	81	41	22	124	146	3459	78.5422

 
