   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:21
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	17897	8314	1501	1536	489	172	316	583	899	12911	72.1406
Bhariab Bazar	22833	11889	2274	1695	415	113	170	455	625	17011	74.5018
Austagram	10577	5514	936	982	361	0	0	142	142	7935	75.0213
Kishoreganj Sadar	1450	640	385	111	32	2	4	9	13	1183	81.5862
Hossainpur	11560	4027	882	2000	596	237	113	590	703	8445	73.0536
Nikli	9387	3946	960	1023	1045	21	23	337	360	7355	78.3530
Pakundia	11442	3052	990	1844	566	135	133	240	373	6960	60.8285
Itna	12458	6588	1285	955	148	16	176	193	369	9361	75.1405
Kuliarchar	12060	3964	1525	1708	438	106	179	401	580	8321	68.9967
Tarail	7269	4062	684	350	194	0	79	255	334	5624	77.3697
Karimganj	13822	5405	757	2250	523	152	258	436	694	9781	70.7640

 
