   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:56
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Gopalganj Sadar	3232	120	60	111	152	126	97	89	186	755	23.3601
Muksudpur	15655	6872	2259	2008	663	307	209	477	686	12795	81.7311
Tungipara	8002	3239	1128	963	516	217	188	274	462	6525	81.5421
Kasiani	9685	3476	1094	1569	412	403	91	678	769	7723	79.7419

 
