   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:47
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Jhikarghachha	7960	1780	603	1973	702	378	293	909	1202	6638	83.3920
Jessore Sadar	67127	20592	5727	14307	3449	4540	2606	3213	5819	54434	81.0911
Sarsa	6403	1968	451	1267	182	225	234	390	624	4717	73.6686
Keshobpur	9741	3485	358	2335	120	421	384	538	922	7641	78.4416
Bagherpara	15103	5529	877	2699	745	1298	428	967	1395	12543	83.0497
Monirampur	8046	2110	360	2536	39	403	371	906	1277	6725	83.5819
Abhaynagar	4976	1126	626	1273	148	119	128	281	409	3701	74.3770
Chowgachha	1169	440	70	294	51	21	17	97	114	990	84.6878

 
