   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:24
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Jakiganj	5149	1514	972	671	132	134	125	140	265	3688	71.6256
Balaganj	4489	991	707	478	203	306	85	294	379	3064	68.2557
Golapganj	9948	3217	1533	928	300	402	103	310	413	6793	68.2851
Sylhet Sadar	29103	10089	4490	3858	278	1033	248	981	1229	20977	72.0785
Biani Bazar	5783	1691	1028	455	148	48	43	118	161	3531	61.0583
Kanaighat	6978	2830	686	398	214	67	54	188	242	4437	63.5856
Companiganj	6768	2438	898	1081	115	60	11	251	262	4854	71.7199
South Shurma	8129	2436	1085	1443	149	379	130	373	503	5995	73.7483

 
