   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:36
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Poba (Sadar)	23479	6583	2007	5884	467	1162	267	3174	3441	19544	83.2403
Mohanpur	13021	5431	602	2796	221	364	222	1178	1400	10814	83.0505
Puthiya	4535	1739	521	429	124	168	42	711	753	3734	82.3374
Bagmara	14926	2763	2745	4077	890	834	568	1243	1811	13120	87.9003
Charghat	2632	985	340	432	56	100	25	234	259	2172	82.5228
Boalia	48123	21743	14062	3515	217	514	179	502	681	40732	84.6414
Tanore	4281	1823	612	251	37	291	100	420	520	3534	82.5508
Godagari	20293	6404	2730	4080	398	364	479	3456	3935	17911	88.2620

 
