   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:30
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Digholia	71733	32100	15626	8878	502	961	545	805	1350	59417	82.8308
Dumuria	1825	697	220	318	24	83	114	152	266	1608	88.1096
Khulna Sadar	87199	37868	11481	17323	2442	1455	1357	477	1834	72403	83.0319
Terokhada	6825	2311	1212	913	164	154	188	191	379	5133	75.2088
Batiaghata	2837	842	413	527	58	48	79	95	174	2062	72.6824
Rupsha	8669	3195	576	1141	215	285	427	420	847	6259	72.1998

 
