   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:43
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	17654	5296	1401	4146	942	830	507	975	1482	14097	79.8516
Bhariab Bazar	24943	12208	1904	2934	861	1174	230	1175	1405	20486	82.1313
Austagram	6398	1750	411	1561	899	118	161	357	518	5257	82.1663
Kishoreganj Sadar	4419	1398	1007	424	224	419	33	243	276	3748	84.8156
Hossainpur	10998	4258	685	1602	863	644	146	710	856	8908	80.9965
Nikli	7576	3405	630	415	1070	153	29	472	501	6174	81.4942
Pakundia	9719	4310	755	1479	309	525	285	307	592	7970	82.0043
Itna	7378	4026	790	778	286	26	51	23	74	5980	81.0518
Kuliarchar	9998	4570	424	987	609	734	256	681	937	8261	82.6265
Tarail	9485	4750	966	675	357	427	193	347	540	7715	81.3390
Karimganj	11230	4842	829	1281	626	468	312	611	923	8969	79.8664

 
