   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:55
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	18712	6618	1578	2942	1147	1018	565	1130	1695	14998	80.1518
Bhariab Bazar	28076	12690	1242	4065	1156	1787	324	1816	2140	23080	82.2054
Austagram	10700	3781	906	2086	411	300	196	1063	1259	8743	81.7103
Kishoreganj Sadar	4824	1093	726	424	549	755	40	453	493	4040	83.7479
Hossainpur	11120	2817	1110	2366	957	807	149	796	945	9002	80.9532
Nikli	7750	3263	590	838	798	244	30	769	799	6532	84.2839
Pakundia	13300	5389	1105	2049	620	737	433	569	1002	10902	81.9699
Itna	7411	3833	1029	996	53	44	62	60	122	6077	81.9997
Kuliarchar	10499	4284	307	1341	796	725	324	855	1179	8632	82.2174
Tarail	10321	5280	894	596	350	495	229	393	622	8237	79.8082
Karimganj	11511	4762	869	1215	644	550	339	660	999	9039	78.5249

 
