   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:44
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	17676	5198	1466	4189	960	851	510	984	1494	14158	80.0973
Bhariab Bazar	26503	12484	1843	3350	953	1274	272	1376	1648	21552	81.3191
Austagram	6412	1751	415	1569	910	138	161	364	525	5308	82.7823
Kishoreganj Sadar	4423	1324	967	425	269	466	33	262	295	3746	84.6936
Hossainpur	11040	4276	705	1595	845	680	144	720	864	8965	81.2047
Nikli	7579	3284	650	404	1033	157	29	478	507	6035	79.6279
Pakundia	9741	4294	757	1472	326	544	288	316	604	7997	82.0963
Itna	7382	4019	757	845	300	50	52	30	82	6053	81.9967
Kuliarchar	10005	4516	400	954	649	763	264	696	960	8242	82.3788
Tarail	9489	4833	707	836	359	438	202	353	555	7728	81.4417
Karimganj	11267	4852	853	1292	639	481	318	614	932	9049	80.3142

 
