   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:50
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Gopalganj Sadar	2670	358	385	332	625	83	86	125	211	1994	74.6816
Muksudpur	16286	6892	1980	2095	629	314	248	522	770	12680	77.8583
Tungipara	7998	3266	1127	967	485	202	186	260	446	6493	81.1828

 
