   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:39
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	18695	6355	4015	2112	528	367	264	801	1065	14442	77.2506
Barura	9569	3422	860	1882	333	240	183	568	751	7488	78.2527
Burichong	17274	6652	2223	2383	535	671	310	658	968	13432	77.7585
Muradnagar	7764	2394	779	1474	439	52	101	360	461	5599	72.1149
Daudkandi	7250	2356	767	1651	258	158	33	423	456	5646	77.8759
Chandina	16366	5480	1792	3525	560	235	285	670	955	12547	76.6650
Nangolkot	10140	3493	1413	1694	511	234	8	550	558	7903	77.9389
Meghna	4027	1563	338	777	40	56	2	212	214	2988	74.1992
Titash	4432	1349	993	969	90	44	22	132	154	3599	81.2049
Comilla Sadar South	2539	1031	173	590	38	20	14	112	126	1978	77.9047
Monohargonj	1460	510	237	297	8	7	5	24	29	1088	74.5205

 
