   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:46
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Poba (Sadar)	13112	3640	983	3181	292	785	128	1693	1821	10702	81.6199
Mohanpur	13258	5330	623	3047	275	527	234	1206	1440	11242	84.7941
Puthiya	4579	1450	481	864	112	170	49	736	785	3862	84.3416
Bagmara	15024	2307	3142	3449	937	788	586	1422	2008	12631	84.0722
Charghat	4495	1525	530	820	94	203	33	535	568	3740	83.2036
Boalia	87075	33808	20175	14153	676	1156	412	3713	4125	74093	85.0910
Tanore	4095	1632	591	198	42	394	126	455	581	3438	83.9560
Godagari	14712	4745	1169	3205	424	404	426	2241	2667	12614	85.7395

 
