   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:29
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	23886	8043	4140	4489	599	229	257	884	1141	18641	78.0415
Barura	13515	5838	1166	2225	332	170	113	922	1035	10766	79.6596
Laksham	3963	1442	320	1020	66	21	3	109	112	2981	75.2208
Burichong	15394	6369	1544	2109	390	260	175	650	825	11497	74.6849
Muradnagar	10626	4652	1052	1433	320	32	116	564	680	8169	76.8775
Daudkandi	6071	1755	979	1473	185	104	26	320	346	4842	79.7562
Chandina	16450	5274	1652	3434	505	227	265	643	908	12000	72.9483
Nangolkot	14910	4366	2291	2696	422	178	8	598	606	10559	70.8182
Titash	4351	1286	913	866	42	37	21	120	141	3285	75.4999
Monohargonj	2854	1000	356	700	4	6	3	32	35	2101	73.6160

 
