   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:56
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	26028	7545	5198	2529	1336	1786	818	1427	2245	20639	79.2954
Boalmari	11343	3419	1325	1262	1241	293	347	765	1112	8652	76.2761
Char Bhadrashion	2664	514	295	320	248	406	64	282	346	2129	79.9174
Nagarkanda	3354	879	534	668	184	258	166	104	270	2793	83.2737
Sadarpur	3037	936	313	288	148	207	24	211	235	2127	70.0362
Alphadanga	8742	3137	942	1226	917	113	248	488	736	7071	80.8854
Modhukhali	6845	2717	544	1339	178	220	115	510	625	5623	82.1476
Saltha	5932	1809	815	938	389	283	200	224	424	4658	78.5233

 
