   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:28
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	23136	7597	3921	4502	582	223	250	875	1125	17950	77.5847
Barura	13471	5790	1116	2235	314	160	113	921	1034	10649	79.0513
Laksham	3759	1431	316	1018	64	21	7	108	115	2965	78.8774
Burichong	14849	6221	1444	2088	387	241	170	576	746	11127	74.9343
Muradnagar	10623	4826	1011	1291	301	30	116	561	677	8136	76.5885
Daudkandi	6059	1718	930	1462	182	103	26	316	342	4737	78.1812
Chandina	16449	5294	1649	3436	490	224	264	640	904	11997	72.9345
Nangolkot	14910	4336	2257	2669	414	176	8	596	604	10456	70.1274
Titash	4344	1271	894	843	40	35	21	120	141	3224	74.2173
Monohargonj	2850	995	351	694	10	6	3	31	34	2090	73.3333

 
