   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:53
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	18705	6581	1620	2992	1108	987	565	1124	1689	14977	80.0695
Bhariab Bazar	26592	12465	1104	3811	1054	1523	280	1583	1863	21820	82.0548
Austagram	9052	3089	855	2053	352	306	196	644	840	7495	82.7994
Kishoreganj Sadar	4799	1154	752	411	510	724	39	431	470	4021	83.7883
Hossainpur	11081	3641	872	1810	933	776	145	785	930	8962	80.8772
Nikli	8553	3646	624	999	830	256	31	816	847	7202	84.2044
Pakundia	13283	5379	1110	2036	595	732	432	560	992	10844	81.6382
Itna	7406	4112	885	864	60	37	60	57	117	6075	82.0281
Kuliarchar	10498	4321	308	1338	767	745	322	838	1160	8639	82.2919
Tarail	10298	5246	659	614	316	474	229	385	614	7923	76.9373
Karimganj	11478	4807	904	1255	707	566	338	655	993	9232	80.4321

 
