   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:34
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	18086	6934	1954	3589	804	624	399	755	1154	15059	83.2633
Bhariab Bazar	25106	11922	3769	2921	623	774	168	856	1024	21033	83.7768
Austagram	7960	3286	582	1681	661	46	60	274	334	6590	82.7889
Kishoreganj Sadar	1745	627	405	124	111	112	15	87	102	1481	84.8711
Hossainpur	11633	4736	759	1832	855	552	139	681	820	9554	82.1284
Nikli	8260	3033	1195	1004	1116	108	27	431	458	6914	83.7046
Pakundia	12650	4934	1397	2357	899	339	250	317	567	10493	82.9486
Itna	12461	6826	1484	1322	511	123	248	255	503	10769	86.4216
Kuliarchar	12164	5630	830	1276	642	713	273	590	863	9954	81.8316
Tarail	9096	4813	1388	210	390	178	160	312	472	7451	81.9151
Karimganj	12804	5605	993	1955	785	455	359	675	1034	10827	84.5595

 
