   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:47
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Jhikarghachha	7962	1772	601	1971	702	378	293	912	1205	6629	83.2580
Jessore Sadar	67147	20554	5782	14303	3455	4569	2608	3219	5827	54490	81.1503
Sarsa	6410	1973	457	1269	183	225	234	390	624	4731	73.8066
Keshobpur	9742	3479	354	2332	120	428	384	538	922	7635	78.3720
Bagherpara	15110	5537	879	2711	749	1302	428	969	1397	12575	83.2230
Monirampur	8052	2105	364	2540	39	406	366	902	1268	6722	83.4824
Abhaynagar	4989	1125	641	1279	149	122	129	282	411	3727	74.7043
Chowgachha	1169	440	70	294	51	21	17	97	114	990	84.6878

 
