   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:52
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	24273	7341	3876	3018	1358	986	678	1243	1921	18500	76.2164
Barura	11869	4236	850	2624	522	449	229	516	745	9426	79.4170
Laksham	8491	3702	600	1395	111	113	79	619	698	6619	77.9531
Burichong	12607	4950	1617	1878	585	576	306	492	798	10404	82.5256
Muradnagar	8287	2383	819	1583	679	124	111	450	561	6149	74.2006
Daudkandi	7645	2319	725	1815	513	227	67	536	603	6202	81.1249
Chandina	15766	5748	1675	3381	626	277	300	699	999	12706	80.5911
Nangolkot	9589	2758	809	2139	486	243	27	941	968	7403	77.2030
Titash	4644	1460	1073	1067	146	53	22	145	167	3966	85.4005
Comilla Sadar South	2570	1057	199	559	91	21	18	74	92	2019	78.5603
Monohargonj	1591	742	94	195	27	5	7	134	141	1204	75.6757

 
