   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:45
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	17688	5323	1432	4099	976	851	510	986	1496	14177	80.1504
Bhariab Bazar	26503	12388	1806	3375	951	1306	273	1402	1675	21501	81.1267
Austagram	6418	1754	416	1568	917	143	161	367	528	5326	82.9854
Kishoreganj Sadar	4450	1291	962	426	290	491	34	278	312	3772	84.7640
Hossainpur	11049	4087	749	1596	864	703	144	732	876	8875	80.3240
Nikli	7570	3364	621	430	1018	161	29	483	512	6106	80.6605
Pakundia	9753	4251	775	1483	338	553	288	322	610	8010	82.1286
Itna	7385	4075	730	813	301	55	52	33	85	6059	82.0447
Kuliarchar	10002	4490	390	934	667	765	265	704	969	8215	82.1336
Tarail	9498	4830	668	900	369	444	212	355	567	7778	81.8909
Karimganj	11273	4855	873	1301	649	484	320	616	936	9098	80.7061

 
