   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:33
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	18064	7425	1936	3338	767	452	385	715	1100	15018	83.1377
Bhariab Bazar	25436	12105	3798	2828	580	753	165	830	995	21059	82.7921
Austagram	9161	3794	839	1933	656	43	35	256	291	7556	82.4801
Hossainpur	11623	4763	780	1833	830	520	131	669	800	9526	81.9582
Nikli	8258	2980	1109	1167	1112	100	27	424	451	6919	83.7854
Pakundia	12641	4900	1345	2353	873	312	244	316	560	10343	81.8211
Itna	12458	6773	1460	1327	460	100	248	255	503	10623	85.2705
Kuliarchar	12163	5632	832	1285	630	707	265	579	844	9930	81.6410
Tarail	9096	5194	886	221	377	164	153	310	463	7305	80.3100
Karimganj	12805	5600	1017	1996	781	413	353	665	1018	10825	84.5373

 
