   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:55
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	25993	7428	5182	2818	1310	1671	793	1419	2212	20621	79.3329
Boalmari	11334	3398	1280	1326	1236	288	347	764	1111	8639	76.2220
Char Bhadrashion	2661	514	291	328	251	401	64	280	344	2129	80.0075
Nagarkanda	3354	886	540	670	178	256	164	101	265	2795	83.3333
Sadarpur	3029	931	307	297	147	195	24	211	235	2112	69.7260
Alphadanga	8743	3138	933	1219	916	83	248	478	726	7015	80.2356
Modhukhali	6838	2695	543	1351	165	207	114	509	623	5584	81.6613
Saltha	5932	1811	823	935	388	278	199	221	420	4655	78.4727

 
