   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:25
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	17897	8578	1674	2571	526	187	323	629	952	14488	80.9521
Bhariab Bazar	24916	12306	3906	2053	467	231	143	601	744	19707	79.0938
Austagram	10643	4582	989	2216	443	85	1	178	179	8494	79.8083
Kishoreganj Sadar	1700	830	405	105	41	26	8	28	36	1443	84.8824
Hossainpur	11630	4360	739	1880	634	287	119	630	749	8649	74.3680
Nikli	8975	3979	1012	917	1046	22	23	368	391	7367	82.0836
Pakundia	12906	4740	1319	2303	695	163	152	296	448	9668	74.9109
Itna	12458	6813	1441	1303	180	46	186	211	397	10180	81.7146
Kuliarchar	12118	5607	823	1425	494	270	197	459	656	9275	76.5390
Tarail	8990	5168	891	264	232	0	96	269	365	6920	76.9744
Karimganj	13405	5871	942	2219	593	193	289	485	774	10592	79.0153

 
