   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:16
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	17634	7023	1558	1752	488	239	294	557	851	11911	67.5457
Bhariab Bazar	23615	6795	1487	1827	482	135	100	261	361	11087	46.9490
Austagram	10435	4987	731	941	346	0	0	140	140	7145	68.4715
Hossainpur	11399	4399	821	1487	520	172	101	558	659	8058	70.6904
Nikli	8001	2808	680	647	942	20	16	208	224	5321	66.5042
Pakundia	12822	4084	1046	2082	533	161	120	279	399	8305	64.7715
Itna	11919	6071	1070	771	122	12	171	186	357	8403	70.5009
Kuliarchar	12008	3918	1436	1375	401	144	166	370	536	7810	65.0400
Tarail	6609	4346	559	248	134	0	65	237	302	5589	84.5665
Karimganj	13821	5059	758	2113	409	166	232	398	630	9135	66.0951

 
