   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:47
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	21109	5968	3890	2828	1084	1378	701	1155	1856	17004	80.5533
Boalmari	11253	3632	1341	1299	1207	208	347	760	1107	8794	78.1480
Char Bhadrashion	2564	540	293	415	253	358	60	265	325	2184	85.1794
Nagarkanda	3321	854	588	675	150	259	146	73	219	2745	82.6558
Sadarpur	2957	834	262	311	126	138	25	188	213	1884	63.7132
Alphadanga	8331	3019	838	1134	850	30	237	404	641	6512	78.1659
Modhukhali	4591	1819	368	586	60	116	43	308	351	3300	71.8798
Saltha	5879	1782	926	927	362	253	194	211	405	4655	79.1801

 
