   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:56
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	26053	7595	5092	2488	1343	1797	800	1512	2312	20627	79.1732
Boalmari	11345	3420	1330	1256	1243	304	347	766	1113	8666	76.3861
Char Bhadrashion	2668	516	297	319	247	405	64	283	347	2131	79.8726
Nagarkanda	3354	878	528	663	185	262	166	104	270	2786	83.0650
Sadarpur	3041	939	317	286	152	211	24	212	236	2141	70.4045
Alphadanga	9355	3414	1003	1319	940	126	261	507	768	7570	80.9193
Modhukhali	6848	2719	540	1336	178	227	116	510	626	5626	82.1554
Saltha	5932	1800	807	930	389	290	200	224	424	4640	78.2198

 
