   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:26
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bhurungamari	28610	11335	1709	5925	345	535	649	1061	1710	21559	75.3548
Roumari	15276	5912	1253	2877	614	367	343	472	815	11838	77.4941
Kurigram Sadar	13498	7269	1027	3341	51	46	526	360	886	12620	93.4953
Ulipur	3034	1204	129	1009	29	106	60	47	107	2584	85.1681
Chilmari	6790	2382	364	2239	26	180	29	62	91	5282	77.7909
Char Rajibpur	12279	3311	1890	3919	305	251	374	187	561	10237	83.3700
Rajarhat	12230	3801	1127	2818	121	190	216	342	558	8615	70.4415

 
