   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 14:36
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	17558	6444	1270	3530	829	710	437	805	1242	14025	79.8781
Bhariab Bazar	24116	11651	3428	2559	650	822	166	898	1064	20174	83.6540
Austagram	7998	3100	523	1614	705	76	99	325	424	6442	80.5451
Kishoreganj Sadar	1752	596	406	129	123	127	18	89	107	1488	84.9315
Hossainpur	10949	4318	712	1646	748	522	134	652	786	8732	79.7516
Nikli	8270	3871	824	459	1128	134	27	440	467	6883	83.2285
Pakundia	8213	3892	600	1189	212	360	212	224	436	6689	81.4441
Itna	11429	6144	1267	1254	503	103	220	234	454	9725	85.0906
Kuliarchar	12159	5624	830	1271	681	746	280	611	891	10043	82.5973
Tarail	9105	4412	1609	239	401	188	162	321	483	7332	80.5272
Karimganj	11011	4958	821	1257	645	413	300	568	868	8962	81.3913

 
