thana_Name,Shukhi,Apon,Pill_total,Condom,Inj_vial,Inj_siringe,IUD_normal,IUD_partum,IUD_total,IUD_remove,Imp_normal,Imp_Jadel,Imp_total,implant_remove,ecp,misoprostol,mrm_pack,inj_mgs4,mnp_saset,ifa_number,sanitary_pad,per_male,femalenormal,femalepn,female_total,Permanent_method,Year,Month,District,Division,program
Patgram,1976919,7655,1984574,919833,239213,140766,2008,0,2008,465,5183,5,5188,616,1975,5412,4,0,2,96,20,2695,1110,1,1110,3805,2018,12,0108,07,distributionGO_thanaconsuprocess
Aditmari,2275118,6703,2281821,1556844,340950,196799,6152,354,6506,2228,10995,115,11110,1531,2068,5586,0,0,0,3690,224,3735,1713,426,2137,5872,2018,12,0108,07,distributionGO_thanaconsuprocess
Manikganj Sadar,2579610,20765,2600375,4158216,323788,208730,5712,1,5713,2,11968,0,11968,2575,3289,10226,92,0,0,5882,5,5195,3068,16,3082,8277,2018,12,0411,04,distributionGO_thanaconsuprocess
Saturia,1231043,5543,1236586,1047693,128837,61917,4550,2,4552,340,5791,121,5912,624,2232,3892,0,12,0,11600,18,1233,2770,0,2719,3952,2018,12,0411,04,distributionGO_thanaconsuprocess
Singair,2072065,11216,2083281,2923651,188933,93997,5351,12,5363,518,5658,14,5672,2250,2376,3107,0,0,0,0,42,3424,3972,161,4134,7558,2018,12,0411,04,distributionGO_thanaconsuprocess
Daulatpur,1911217,4717,1915934,2065348,164128,86341,4035,77,4112,757,5109,0,5109,576,2361,3035,4,0,0,277283,106,2632,2743,83,2811,5443,2018,12,0411,04,distributionGO_thanaconsuprocess
Harirampur,895949,5079,901028,1827252,122034,63254,3252,6,3258,181,4143,0,4143,941,2034,2664,0,0,0,508,97,1082,2252,0,2236,3318,2018,12,0411,04,distributionGO_thanaconsuprocess
Shibalaya,1380546,5793,1386339,2398214,219860,120418,3099,0,3099,231,4868,6,4874,1739,1955,2202,2,0,0,0,172,1840,2927,0,2930,4770,2018,12,0411,04,distributionGO_thanaconsuprocess
Ghior,1702703,5012,1707715,3193150,183013,84519,3136,2,3138,262,4128,0,4128,1121,6919,5033,100,0,0,0,10,643,3020,0,2897,3540,2018,12,0411,04,distributionGO_thanaconsuprocess
Palong (Sadar),1351205,9887,1361092,1867527,220577,104909,9332,17,9349,884,4232,32,4264,934,1923,4878,2,0,0,0,29,701,1227,84,1304,2005,2018,12,0403,04,distributionGO_thanaconsuprocess
Naria,1502376,10450,1512826,1294592,136440,70126,5208,0,5208,405,2651,69,2720,487,1484,5520,5,0,0,81552,0,720,1555,114,1642,2362,2018,12,0403,04,distributionGO_thanaconsuprocess
Bhedarganj,1698590,12082,1710672,1855672,331701,167020,5378,2,5380,620,3753,0,3753,1802,2570,9751,0,0,0,0,46,991,1457,30,1457,2448,2018,12,0403,04,distributionGO_thanaconsuprocess
Damoddya,794092,4956,799048,1015905,110150,51143,3219,0,3219,410,1486,0,1486,606,1499,6216,6,0,0,0,6,471,943,19,962,1433,2018,12,0403,04,distributionGO_thanaconsuprocess
Goshairhat,1533942,6329,1540271,2069314,145329,83289,9422,66,9488,890,1931,0,1931,718,1873,6532,0,0,0,19263,55,671,449,14,449,1120,2018,12,0403,04,distributionGO_thanaconsuprocess
Janjira,1535407,12136,1547543,2031698,147973,77959,6163,23,6186,393,3488,87,3575,1718,1713,9107,60,0,10,961,597,516,2084,14,2098,2614,2018,12,0403,04,distributionGO_thanaconsuprocess
Jaldhaka,4514842,10034,4524876,1750185,430908,271054,5418,2,5420,1602,8754,0,8754,570,2285,9019,0,0,0,0,66,3467,2975,36,3011,6478,2018,12,0104,07,distributionGO_thanaconsuprocess
Domar,2567718,9919,2577637,991004,310678,177682,3913,5,3918,237,6287,249,6536,1739,1665,6564,0,0,0,0,0,2939,3003,225,3228,6167,2018,12,0104,07,distributionGO_thanaconsuprocess
Syadpur,2252120,7469,2259589,3003732,248266,146951,5402,7,5409,1457,6213,7,6220,1770,1542,5718,55,0,0,0,286,1781,2436,72,2509,4290,2018,12,0104,07,distributionGO_thanaconsuprocess
Dimla,3139346,8002,3147348,832861,311025,206007,5453,1,5454,1028,8808,2,8810,2163,2036,7047,0,0,0,0,34,3541,2426,57,2469,6010,2018,12,0104,07,distributionGO_thanaconsuprocess
Nilphamari Sadar,5233096,16814,5249910,2088469,591426,310240,15280,161,15441,1984,9849,55,9904,4431,3141,11586,51,0,0,0,51,14897,3042,405,3423,18320,2018,12,0104,07,distributionGO_thanaconsuprocess
Kishoreganj,3367413,9358,3376771,815063,301966,185603,4238,1,4239,1131,8575,64,8639,2891,2637,5028,0,0,2,238,77,1940,2143,0,2143,4083,2018,12,0104,07,distributionGO_thanaconsuprocess
