thana_Name,Shukhi,Apon,Pill_total,Condom,Inj_vial,Inj_siringe,IUD_normal,IUD_partum,IUD_total,IUD_remove,Imp_normal,Imp_Jadel,Imp_total,implant_remove,ecp,misoprostol,mrm_pack,inj_mgs4,mnp_saset,ifa_number,sanitary_pad,per_male,femalenormal,femalepn,female_total,Permanent_method,Year,Month,District,Division,program
Kabirhat,646522,10159,656681,908229,117170,99304,1414,28,1442,287,1710,260,1970,125,203,13283,0,5,0,0,24,17,350,826,1166,1183,2018,12,0505,05,distributionGO_thanaconsuprocess
Langadu,656775,2420,659195,967625,64318,37365,771,105,876,67,2665,39,2704,226,3884,279,8,0,0,366,17,806,144,3,147,953,2018,12,0509,05,distributionGO_thanaconsuprocess
Kawkhali,398226,3118,401344,609339,62343,39910,1220,0,1220,74,3011,0,3011,547,2942,99,1,0,0,0,0,261,293,0,289,550,2018,12,0509,05,distributionGO_thanaconsuprocess
Rangamati Sadar,954441,2175,956616,1369865,87981,48897,4056,312,4368,552,5331,4,5335,1478,6327,908,90,0,0,10550,121,1095,353,46,382,1477,2018,12,0509,05,distributionGO_thanaconsuprocess
Baghaichhari,832871,1536,834407,1132577,47452,29390,803,0,803,20,976,3,979,10,2312,83,24,0,0,63497,0,51,280,0,279,330,2018,12,0509,05,distributionGO_thanaconsuprocess
Barkal,380664,1352,382016,559821,44607,28842,614,2,616,52,161,0,161,3,2649,178,4,0,0,0,6,157,48,3,51,208,2018,12,0509,05,distributionGO_thanaconsuprocess
Naniarchar,568984,1988,570972,826379,30263,18105,612,4,616,209,1481,3,1484,225,3233,202,5,0,0,79,55,408,130,2,132,540,2018,12,0509,05,distributionGO_thanaconsuprocess
Jurachhari,268287,978,269265,224106,15720,9786,604,0,604,135,414,0,414,4,999,129,0,0,0,447,24,235,62,0,62,297,2018,12,0509,05,distributionGO_thanaconsuprocess
Kaptai,359302,1454,360756,666006,50212,28552,598,3,601,20,1986,18,2004,84,2117,0,0,0,0,0,0,119,572,14,586,705,2018,12,0509,05,distributionGO_thanaconsuprocess
Rajasthali,214515,557,215072,223920,18661,9049,541,0,541,47,1450,51,1501,253,1675,107,0,0,0,0,19,347,69,0,69,416,2018,12,0509,05,distributionGO_thanaconsuprocess
Belaichhari,307706,1549,309255,236756,18786,9424,503,0,503,9,683,23,706,6,335,72,0,0,0,0,0,73,159,1,156,229,2018,12,0509,05,distributionGO_thanaconsuprocess
Rupganj,4706347,14785,4721132,5126580,433123,249324,11354,91,11445,835,7889,142,8031,2418,1709,7613,218,0,0,6976,0,4846,2863,500,3355,8201,2018,12,0409,04,distributionGO_thanaconsuprocess
Sonargaon,3187661,11326,3198987,4004048,409063,229323,8216,4,8220,277,8282,134,8416,2471,3040,5212,12,0,0,0,0,3300,2414,931,3330,6630,2018,12,0409,04,distributionGO_thanaconsuprocess
Narayanganj Sadar,8565975,25086,8591061,15566653,1450953,727805,21091,688,21779,627,17284,499,17783,3022,6661,9170,108,0,1,0,51,21466,3675,3036,6812,28278,2018,12,0409,04,distributionGO_thanaconsuprocess
Araihazar,2883968,13669,2897637,1873207,424072,244897,14289,74,14363,1133,8090,0,8090,858,1402,8843,12,0,0,0,187,1685,2492,1111,3582,5267,2018,12,0409,04,distributionGO_thanaconsuprocess
Bandar,2545325,8712,2554037,6628903,287756,167477,7216,30,7246,336,6624,99,6723,1088,2881,2479,0,18,0,80,2,3237,2073,810,2857,6094,2018,12,0409,04,distributionGO_thanaconsuprocess
Pirganj,2581103,15368,2596471,848222,272698,153431,2962,107,3069,349,4740,235,4975,797,2898,14057,0,0,0,0,8,2478,767,363,1127,3605,2018,12,0102,07,distributionGO_thanaconsuprocess
Haripur,1385480,4525,1390005,766743,186519,84199,1073,150,1223,2,2359,0,2359,0,1667,5437,0,0,0,4350,5,1462,424,106,530,1992,2018,12,0102,07,distributionGO_thanaconsuprocess
Thakurgaon Sadar,5392633,21392,5414025,2416530,825506,443550,4941,1507,6448,205,17671,273,17944,870,6828,17871,51,0,0,0,0,6566,5724,4742,10463,17029,2018,12,0102,07,distributionGO_thanaconsuprocess
Baliadangi,1720229,5655,1725884,595708,366720,198392,2299,43,2342,191,2337,55,2392,583,2666,10175,1,0,0,0,27,2459,765,397,1162,3621,2018,12,0102,07,distributionGO_thanaconsuprocess
Ranisankail,2062070,8574,2070644,649604,271485,131919,2730,119,2849,285,5586,313,5899,2095,3282,12275,72,0,0,957,37,2690,483,496,979,3669,2018,12,0102,07,distributionGO_thanaconsuprocess
Rajbari Sadar,2446090,16965,2463055,3274254,351017,191755,11461,88,11549,1086,17834,638,18472,9688,5425,13086,99,340,0,0,0,3998,3156,1491,4602,8600,2018,12,0405,04,distributionGO_thanaconsuprocess
Baliakandi,2408880,9979,2418859,3798724,210811,102375,4535,2,4537,1119,4957,100,5057,2082,1827,9083,0,0,0,5872,10,1522,1575,669,2228,3750,2018,12,0405,04,distributionGO_thanaconsuprocess
Goalunda Ghat,1014368,4577,1018945,3009751,218248,120348,2053,4,2057,316,5173,62,5235,1750,818,4129,0,0,0,0,43,1191,1810,33,1832,3023,2018,12,0405,04,distributionGO_thanaconsuprocess
Pangsha,4433327,16633,4449960,5249862,379057,209689,7521,91,7612,447,10313,56,10369,1579,5068,7474,23,1,0,381,103,5273,2099,0,2094,7367,2018,12,0405,04,distributionGO_thanaconsuprocess
Chuadanga Sadar,2325868,9018,2334886,3099440,492481,270708,6390,331,6721,561,5696,19,5715,1275,3584,8715,80,0,344,0,70,1105,5225,1446,6673,7778,2018,12,0203,02,distributionGO_thanaconsuprocess
Jiban Nagar,1547796,3507,1551303,1726939,247020,148743,5406,44,5450,711,6146,100,6246,2287,1789,2437,0,0,0,0,116,87,2423,1433,3856,3943,2018,12,0203,02,distributionGO_thanaconsuprocess
Damurhuda,1873486,6919,1880405,2380535,497708,233733,5736,0,5736,215,6440,0,6440,1686,3270,5835,0,0,0,0,90,115,4635,1443,6073,6188,2018,12,0203,02,distributionGO_thanaconsuprocess
Alamdanga,2968561,9707,2978268,1934965,423915,230401,5344,5,5349,167,9656,0,9656,3294,4497,5536,0,0,0,0,0,786,3974,1316,5290,6076,2018,12,0203,02,distributionGO_thanaconsuprocess
Barisal Sadar,2897917,14967,2912884,3709044,585203,287152,11512,434,11946,527,11532,471,12003,2588,1719,12843,111,0,101029,65046,38,12617,2516,2791,5307,17924,2018,12,0303,03,distributionGO_thanaconsuprocess
Uzirpur,2160077,9666,2169743,1908702,181769,91685,4182,31,4213,264,8457,0,8457,1662,2064,11641,56,0,0,0,15,709,1823,50,1873,2582,2018,12,0303,03,distributionGO_thanaconsuprocess
Bakerganj,2254038,17606,2271644,2013221,439452,205732,11986,15,12001,1445,4628,22,4650,0,5072,10837,19,0,84696,385479,1630,1624,2235,3,2238,3862,2018,12,0303,03,distributionGO_thanaconsuprocess
Babuganj,1002120,4412,1006532,676373,121101,58490,4525,0,4525,292,3543,33,3576,1192,634,6290,0,0,0,0,0,749,1094,5,1099,1848,2018,12,0303,03,distributionGO_thanaconsuprocess
Mehendiganj,1633744,10290,1644034,2010197,574176,369485,6940,24,6964,685,3807,0,3807,1217,2393,13956,0,0,0,378954,0,1541,122,25,147,1688,2018,12,0303,03,distributionGO_thanaconsuprocess
Gournadi,1380819,8233,1389052,1014279,142039,84488,3846,3,3849,164,4108,0,4108,865,1924,9335,75,0,0,0,8,307,2369,1,2370,2677,2018,12,0303,03,distributionGO_thanaconsuprocess
Muladi,1020358,3837,1024195,1234747,283707,170593,5171,0,5171,1418,1601,0,1601,300,1728,3352,0,0,27482,96701,186,455,657,12,675,1130,2018,12,0303,03,distributionGO_thanaconsuprocess
Hizla,951385,6225,957610,1439138,351022,219472,3581,19,3600,438,1191,0,1191,266,4697,7921,0,0,0,103519,405,679,200,1,201,880,2018,12,0303,03,distributionGO_thanaconsuprocess
Agailjhara,1311079,5111,1316190,1183405,89184,47306,3034,5,3039,334,2774,420,3194,668,1405,9632,3,0,0,41070,13,301,1019,270,1280,1581,2018,12,0303,03,distributionGO_thanaconsuprocess
Banaripara,1374008,7332,1381340,945368,108480,54251,3350,23,3373,298,4446,1,4447,244,888,3752,0,0,0,0,23,533,1061,26,1087,1620,2018,12,0303,03,distributionGO_thanaconsuprocess
Nachol,928926,2179,931105,1385714,145289,85159,839,0,839,182,1585,119,1704,499,1186,2263,0,0,0,0,33,795,2660,2,2662,3457,2018,12,0112,01,distributionGO_thanaconsuprocess
Gomostapur,2125281,5585,2130866,2683019,225788,112028,2609,4,2613,92,1670,484,2154,401,3385,5600,3,0,0,0,167,3596,4521,0,4521,8117,2018,12,0112,01,distributionGO_thanaconsuprocess
Shibganj,3744555,13099,3757654,4098260,433989,222021,5577,65,5642,213,3667,1016,4683,547,3544,6998,7,0,1,0,158,2471,6718,38,6753,9224,2018,12,0112,01,distributionGO_thanaconsuprocess
Chapai Nawabganj (Sadar),3279199,10599,3289798,5202214,543949,311575,5581,24,5605,46,2332,629,2961,28,3556,11132,59,0,0,0,287,2923,5862,24,5886,8809,2018,12,0112,01,distributionGO_thanaconsuprocess
Bholahat,733190,5239,738429,948316,104346,52789,1154,3,1157,78,1147,432,1579,305,1298,5017,32,0,3,0,132,1074,1220,220,1438,2512,2018,12,0112,01,distributionGO_thanaconsuprocess
Daulatpur,3518149,14248,3532397,5237153,546385,200674,2218,0,2218,24,2614,0,2614,8,2663,7841,12,0,0,0,0,93,8492,1492,9985,10078,2018,12,0201,02,distributionGO_thanaconsuprocess
Kushtia Sadar,5026664,13835,5040499,4677050,668601,378004,7336,17,7353,1319,15300,183,15483,3325,9807,3497,49,0,0,0,9,2240,3665,993,4572,6812,2018,12,0201,02,distributionGO_thanaconsuprocess
Kumarkhali,2443347,7675,2451022,5296537,447588,223190,2903,0,2903,74,4185,14,4199,424,4907,1437,8,7,0,0,0,3601,3214,13,3229,6830,2018,12,0201,02,distributionGO_thanaconsuprocess
Bheramara,1545280,4200,1549480,2907638,245698,135525,1499,0,1499,231,1506,0,1506,658,2589,3317,5,0,0,0,259,54,2914,1158,4058,4112,2018,12,0201,02,distributionGO_thanaconsuprocess
Mirpur,2608160,8302,2616462,3001385,361843,186775,2225,0,2225,189,3752,0,3752,765,3424,6702,0,0,0,0,0,463,4094,273,4363,4826,2018,12,0201,02,distributionGO_thanaconsuprocess
Khoksa,1279106,3360,1282466,2193624,80011,41746,1951,0,1951,66,3283,0,3283,852,2015,4458,45,0,0,198,7,652,906,39,945,1597,2018,12,0201,02,distributionGO_thanaconsuprocess
Khetlal,923167,3008,926175,889787,55303,24455,1660,0,1660,251,3291,45,3336,968,2160,3727,17,3,5,8,26,1679,647,320,965,2644,2018,12,0110,01,distributionGO_thanaconsuprocess
Akkelpur,1308939,4010,1312949,720074,96315,45381,1544,0,1544,205,6227,102,6329,1966,2179,3603,0,0,0,0,0,1312,773,1,774,2086,2018,12,0110,01,distributionGO_thanaconsuprocess
Panchbibi,1960088,6806,1966894,1928819,138345,45076,2236,0,2236,283,8553,0,8553,2421,3565,5032,0,0,0,0,0,2311,1368,0,1368,3679,2018,12,0110,01,distributionGO_thanaconsuprocess
Joypurhat Sadar,2370039,14180,2384219,3132660,225517,120195,7343,23,7366,567,10990,158,11148,3594,3173,4815,0,0,0,0,0,11832,4395,2668,7006,18838,2018,12,0110,01,distributionGO_thanaconsuprocess
Kalai,1394888,4493,1399381,1006063,131129,55965,1801,0,1801,230,3095,152,3247,972,2607,4013,0,5,0,0,82,1537,932,0,932,2469,2018,12,0110,01,distributionGO_thanaconsuprocess
Patharghata,1106043,8670,1114713,749413,238055,118321,2946,3,2949,234,4649,298,4947,1295,3078,16918,0,0,71735,18820,176,2375,107,644,751,3126,2018,12,0301,03,distributionGO_thanaconsuprocess
Bmna,491341,4565,495906,359182,39222,18543,1701,1,1702,188,4438,60,4498,1352,1333,5699,34,0,44940,129048,1850,1219,55,279,334,1553,2018,12,0301,03,distributionGO_thanaconsuprocess
Amtali,2299477,14506,2313983,1179524,334720,170534,3206,5,3211,87,10431,20,10451,1870,3975,16770,64,0,78588,0,6253,4371,713,0,713,5084,2018,12,0301,03,distributionGO_thanaconsuprocess
Betagi,738550,6199,744749,492270,122273,61396,4377,0,4377,104,2866,22,2888,272,2842,11401,150,0,30187,50004,7,1794,297,33,330,2124,2018,12,0301,03,distributionGO_thanaconsuprocess
Barguna Sadar,2036537,16163,2052700,1172226,515319,292446,9786,4,9790,64,11678,150,11828,365,4689,17268,115,9,12241,0,40,3659,298,514,812,4471,2018,12,0301,03,distributionGO_thanaconsuprocess
Panchlaish,1988240,4208,1992448,8768368,668351,304793,15028,212,15240,964,14155,531,14686,2802,12147,7213,339,0,0,5298,0,11757,2589,1757,4331,16088,2018,12,0507,05,distributionGO_thanaconsuprocess
Rangunia,2542026,10572,2552598,3167214,240460,129582,8990,15,9005,993,6724,8,6732,2973,6594,4683,18,0,0,0,0,729,1738,101,1834,2563,2018,12,0507,05,distributionGO_thanaconsuprocess
Doublemooring,2770749,7663,2778412,11647362,951207,443668,18591,361,18952,1599,18647,849,19496,4771,10619,5854,0,0,0,0,0,13305,2959,2112,5034,18339,2018,12,0507,05,distributionGO_thanaconsuprocess
Fatichhari,2668809,16591,2685400,3947571,362400,199424,9086,2,9088,1205,13545,0,13545,6395,7154,11144,0,0,0,0,0,633,3067,124,3191,3824,2018,12,0507,05,distributionGO_thanaconsuprocess
Hathazari,2266688,8864,2275552,4052157,173962,99383,7194,20,7214,295,5905,0,5905,1884,4714,6006,0,14,0,0,137,1203,1993,117,2073,3276,2018,12,0507,05,distributionGO_thanaconsuprocess
Sitakunda,2780049,7716,2787765,3876983,314915,146979,10336,15,10351,112,7226,0,7226,404,5133,7743,0,0,0,0,1,542,2066,0,2066,2608,2018,12,0507,05,distributionGO_thanaconsuprocess
Mirsharai,2151205,8815,2160020,1809867,403673,192750,10183,32,10215,210,6832,22,6854,1987,5912,5970,0,0,0,0,0,153,1845,271,2116,2269,2018,12,0507,05,distributionGO_thanaconsuprocess
Rawzan,2292338,11573,2303911,4248429,202371,98792,10020,36,10056,370,4965,80,5045,1345,7260,4044,46,10,0,0,124,1508,2044,9,2051,3559,2018,12,0507,05,distributionGO_thanaconsuprocess
Sandwip,1789715,10683,1800398,1362189,272920,139309,10206,3,10209,1989,3406,6,3412,891,2554,7095,38,0,0,0,0,380,593,88,673,1053,2018,12,0507,05,distributionGO_thanaconsuprocess
Boalkhali,1639165,5371,1644536,1155147,73113,40114,4824,26,4850,110,5915,125,6040,1168,2317,3869,1,5,0,0,34,869,1244,56,1292,2161,2018,12,0507,05,distributionGO_thanaconsuprocess
Chandlaish,1601111,7408,1608519,1635086,124834,67966,6349,6,6355,741,3664,0,3664,427,3413,7351,4,0,20,2977,578,636,1702,80,1780,2416,2018,12,0507,05,distributionGO_thanaconsuprocess
Banshkhali,2456405,11375,2467780,3091630,340439,181158,5915,0,5915,6,6211,479,6690,0,4187,6737,4,0,0,208,33,946,2751,0,2736,3682,2018,12,0507,05,distributionGO_thanaconsuprocess
Satkania,1661803,10423,1672226,1591012,203292,92715,6515,18,6533,208,5697,59,5756,564,5663,5345,50,0,0,0,0,693,1877,35,1895,2588,2018,12,0507,05,distributionGO_thanaconsuprocess
Anwara,1866990,5063,1872053,1871880,127545,71146,6008,124,6132,865,5090,0,5090,1627,2954,7620,5,0,0,0,36,922,1774,24,1790,2712,2018,12,0507,05,distributionGO_thanaconsuprocess
Patiya,3142109,17866,3159975,2701450,314507,176413,15491,917,16408,1516,14372,32,14404,4525,7166,15272,0,0,0,0,0,1554,3395,122,3460,5014,2018,12,0507,05,distributionGO_thanaconsuprocess
Lohagora,1755272,5204,1760476,1503556,227335,112849,4127,6,4133,374,3916,50,3966,838,2985,8075,0,0,0,99054,109,477,1690,86,1760,2237,2018,12,0507,05,distributionGO_thanaconsuprocess
Kaliakair,3365968,8623,3374591,2984172,135548,75375,6455,63,6518,210,5309,0,5309,2085,3719,10860,390,0,45,67883,677,1214,3141,1049,4193,5407,2018,12,0407,04,distributionGO_thanaconsuprocess
Sreepur,4451217,15213,4466430,5896308,269516,153008,9726,147,9873,870,8196,29,8225,2728,3299,11366,104,0,0,96307,1110,860,3268,598,3862,4722,2018,12,0407,04,distributionGO_thanaconsuprocess
Gazipur Sadar,5361608,13608,5375216,8106007,463471,241113,21111,156,21267,1233,10487,0,10487,2571,3468,12312,0,0,0,0,42,3421,3979,957,4915,8336,2018,12,0407,04,distributionGO_thanaconsuprocess
Kapasia,2707607,9751,2717358,2964352,164906,77623,7991,5,7996,698,3430,9,3439,1085,1100,4163,0,0,0,63430,119,632,3404,746,4151,4783,2018,12,0407,04,distributionGO_thanaconsuprocess
Kaliganj,2445515,7816,2453331,4344497,153732,86234,6009,12,6021,513,2260,58,2318,471,3687,9740,0,0,0,0,27,337,1679,332,2011,2348,2018,12,0407,04,distributionGO_thanaconsuprocess
Tongi,2284282,3730,2288012,5395453,243687,123077,7876,246,8122,361,8490,2,8492,543,1468,5082,251,0,3,0,0,9738,1842,806,2648,12386,2018,12,0407,04,distributionGO_thanaconsuprocess
Dherai,1669723,12269,1681992,3692424,96167,72566,3882,43,3925,648,3490,0,3490,918,3346,12738,95,0,738350,166920,10,2036,2778,2,2780,4816,2018,12,0604,06,distributionGO_thanaconsuprocess
Sunamganj Sadar,1511022,10348,1521370,2343698,169609,110605,4721,383,5104,1909,5980,0,5980,3349,3028,8722,96,0,0,73508,92,1199,3077,617,3694,4893,2018,12,0604,06,distributionGO_thanaconsuprocess
Dharmapasa,2195443,6800,2202243,2223861,188106,132859,3686,2,3688,291,3284,670,3954,116,2612,12871,41,0,0,39680,54,480,2743,34,2777,3257,2018,12,0604,06,distributionGO_thanaconsuprocess
Sulla,829844,4162,834006,1305714,41337,30980,1614,39,1653,157,1141,0,1141,343,1901,4914,16,0,0,15583,25,567,1053,1,1054,1621,2018,12,0604,06,distributionGO_thanaconsuprocess
Tahirpur,1442401,9129,1451530,2040029,72430,42374,4008,53,4061,1529,3478,81,3559,885,1605,12312,0,0,0,262036,0,1667,1842,45,1885,3552,2018,12,0604,06,distributionGO_thanaconsuprocess
Chhatak,1233053,8046,1241099,1839396,78737,47324,6903,31,6934,744,1109,7,1116,196,4250,7641,41,0,1350,299809,336,1891,3248,30,3278,5169,2018,12,0604,06,distributionGO_thanaconsuprocess
Jogonnathpur,1086884,7641,1094525,1740203,40707,27167,2458,1,2459,125,2962,0,2962,515,370,9520,0,0,0,0,3,2119,2640,0,2640,4759,2018,12,0604,06,distributionGO_thanaconsuprocess
Jamalganj,1529436,5732,1535168,1851352,172988,93718,1967,0,1967,837,1441,81,1522,280,1615,11821,3,0,0,175546,86,524,1424,0,1425,1949,2018,12,0604,06,distributionGO_thanaconsuprocess
Bishwamvarpur,959331,6440,965771,966414,63631,39466,1898,12,1910,128,2019,1,2020,228,2166,6503,0,0,0,31418,836,1671,1283,1,1284,2955,2018,12,0604,06,distributionGO_thanaconsuprocess
Dowara Bazar,1494997,58119,1553116,1304409,138169,85747,2067,10,2077,235,2603,73,2676,316,991,4264,59,0,363058,87214,991,2292,1532,17,1548,3840,2018,12,0604,06,distributionGO_thanaconsuprocess
Sadar (South),929745,12149,941894,1414241,74825,55274,2068,2,2070,180,2037,0,2037,502,1475,9654,0,0,4,180119,131,795,1767,0,1766,2561,2018,12,0604,06,distributionGO_thanaconsuprocess
Adarsho Sadar,2640712,10867,2651579,6170632,602990,291920,13381,1284,14665,951,13057,485,13542,3588,3889,18403,113,0,43180,0,48,6413,4428,2711,7135,13548,2018,12,0502,05,distributionGO_thanaconsuprocess
Chouddagram,2700744,13425,2714169,2568318,604265,331802,8696,298,8994,377,4160,420,4580,777,3741,10374,5,0,32690,0,20,1407,2863,712,3575,4982,2018,12,0502,05,distributionGO_thanaconsuprocess
Barura,3227455,12045,3239500,4819041,483621,255628,7756,220,7976,275,5238,237,5475,975,4448,16038,0,0,0,0,1,1909,1553,677,2230,4139,2018,12,0502,05,distributionGO_thanaconsuprocess
Laksham,1481148,7269,1488417,2174538,309770,142014,5522,0,5522,14,2978,320,3298,0,1026,12001,87,0,0,15,15,421,2738,373,3107,3528,2018,12,0502,05,distributionGO_thanaconsuprocess
Burichong,2863841,11831,2875672,5418847,293983,166549,8252,124,8376,331,7339,915,8254,1235,2436,16038,390,170,514833,301288,864,1812,1500,239,1722,3534,2018,12,0502,05,distributionGO_thanaconsuprocess
Brahmanpara,1193588,9112,1202700,1441224,168106,75982,4096,16,4112,44,2842,299,3141,244,2006,14728,0,0,0,0,1,364,2199,180,2369,2733,2018,12,0502,05,distributionGO_thanaconsuprocess
Homna,1188421,6845,1195266,3456880,214343,118035,4160,0,4160,268,1666,18,1684,391,2166,14019,4401,0,22849,28485,142,356,1371,704,2073,2429,2018,12,0502,05,distributionGO_thanaconsuprocess
Muradnagar,3987792,16565,4004357,9204717,624980,333474,11551,27,11578,1158,8448,18,8466,44,4392,20580,0,84,0,6,79,473,4552,644,5176,5649,2018,12,0502,05,distributionGO_thanaconsuprocess
Debidwar,3091664,19180,3110844,4332618,432231,236688,13365,2339,15704,1183,4045,106,4151,272,3087,16569,0,0,6270,0,3,895,3039,1704,4679,5574,2018,12,0502,05,distributionGO_thanaconsuprocess
Daudkandi,1881950,13593,1895543,3980266,360712,190440,10667,397,11064,692,4206,89,4295,1415,4869,14932,0,2,62874,0,0,1264,4234,953,5189,6453,2018,12,0502,05,distributionGO_thanaconsuprocess
Chandina,2299372,9728,2309100,4153682,408734,220160,5512,365,5877,505,1971,109,2080,589,1802,9800,0,0,0,0,0,2211,1211,1100,2311,4522,2018,12,0502,05,distributionGO_thanaconsuprocess
Nangolkot,1588932,12954,1601886,5413374,466918,228713,4893,108,5001,120,5652,2,5654,103,3617,14684,0,0,40437,82100,26,52,3433,28,3461,3513,2018,12,0502,05,distributionGO_thanaconsuprocess
Meghna,590913,4206,595119,817766,145343,77796,1653,17,1670,120,906,8,914,251,1305,14341,1,11,10269,12796,417,86,1534,0,1534,1620,2018,12,0502,05,distributionGO_thanaconsuprocess
Titash,742872,6199,749071,1970251,176228,97726,3643,84,3727,34,1966,22,1988,265,2309,8933,0,0,210,0,2,307,1692,785,2477,2784,2018,12,0502,05,distributionGO_thanaconsuprocess
Comilla Sadar South,2449147,14127,2463274,2142900,375531,209364,6075,295,6370,252,4122,135,4257,903,1858,11535,0,0,0,0,0,1581,2344,504,2831,4412,2018,12,0502,05,distributionGO_thanaconsuprocess
Monohargonj,1124974,9256,1134230,1435190,239741,105631,3208,128,3336,242,2138,283,2421,39,1070,11485,23,0,2820,3108,204,313,2263,315,2555,2868,2018,12,0502,05,distributionGO_thanaconsuprocess
Dighinala,1080032,4246,1084278,1153078,145362,88160,2116,41,2157,420,994,0,994,129,1676,3367,0,0,0,0,85,938,307,5,310,1248,2018,12,0510,05,distributionGO_thanaconsuprocess
Khagrachhari Sadar,896946,4326,901272,1133240,116021,66440,1572,1318,2890,198,2811,37,2848,1282,1798,3825,98,0,0,6300,223,1007,388,325,708,1715,2018,12,0510,05,distributionGO_thanaconsuprocess
Mahalchhari,558561,1520,560081,648567,55558,30801,1645,0,1645,106,1089,19,1108,365,600,817,0,0,0,75,77,971,110,2,112,1083,2018,12,0510,05,distributionGO_thanaconsuprocess
Panchhari,704149,2237,706386,403031,40791,21999,770,12,782,103,1033,97,1130,273,867,224,0,0,0,0,7,397,133,2,135,532,2018,12,0510,05,distributionGO_thanaconsuprocess
Ramgarh,536714,1686,538400,575750,39056,20253,1129,138,1267,183,1486,7,1493,488,1402,1504,0,0,0,1102,85,294,173,6,179,473,2018,12,0510,05,distributionGO_thanaconsuprocess
Manikchhari,286656,778,287434,235245,66603,37516,550,0,550,70,1205,0,1205,206,757,525,0,0,0,94,64,272,609,0,609,881,2018,12,0510,05,distributionGO_thanaconsuprocess
Matiranga,1116211,4601,1120812,1300582,142240,75998,3051,14,3065,18,2296,0,2296,12,1253,4248,0,0,0,0,0,1846,966,3,969,2815,2018,12,0510,05,distributionGO_thanaconsuprocess
Lakshmichhari,333683,819,334502,229471,17979,8994,1448,64,1512,146,342,0,342,79,1110,783,3,0,0,0,0,199,208,1,208,407,2018,12,0510,05,distributionGO_thanaconsuprocess
Narshingdi Sadar,6176328,7901,6184229,7986958,975747,638360,12874,56,12930,59,10273,0,10273,50,2212,112,0,0,0,0,0,9516,7792,2314,10121,19637,2018,12,0410,04,distributionGO_thanaconsuprocess
Raipura,3237168,16634,3253802,9850344,588796,330717,18079,57,18136,856,2929,0,2929,78,5606,914,0,0,0,0,60,275,6077,5,6068,6343,2018,12,0410,04,distributionGO_thanaconsuprocess
Monohordi,2153285,2998,2156283,3416344,351057,184890,10280,0,10280,0,2566,0,2566,0,1975,9677,0,0,0,0,0,106,4305,55,4359,4465,2018,12,0410,04,distributionGO_thanaconsuprocess
Shibpur,2441223,10535,2451758,3219628,311914,196711,11487,0,11487,374,7367,69,7436,1977,2058,4421,0,0,0,1197,487,684,2673,22,2695,3379,2018,12,0410,04,distributionGO_thanaconsuprocess
Palash,1651364,5744,1657108,1317426,239758,106543,5173,10,5183,232,3861,0,3861,1533,674,4144,0,0,0,105590,9,842,1601,19,1619,2461,2018,12,0410,04,distributionGO_thanaconsuprocess
Belaboo,1625519,7017,1632536,1965617,188792,105081,6666,51,6717,451,5129,0,5129,1714,1511,3516,0,0,0,0,0,275,2719,221,2937,3212,2018,12,0410,04,distributionGO_thanaconsuprocess
Mymensingh Sadar,7651258,44840,7696098,8180636,426218,256573,16033,759,16792,726,28229,118,28347,5676,2557,7111,0,0,0,0,0,22395,2598,2720,5244,27639,2018,12,0415,08,distributionGO_thanaconsuprocess
Trisal,5885406,15281,5900687,3627659,277273,155388,6056,3,6059,523,7232,1233,8465,2529,1597,10597,0,0,1,0,8,4107,604,0,599,4706,2018,12,0415,08,distributionGO_thanaconsuprocess
Fulbaria,5657701,25219,5682920,2367928,192622,117110,6889,15,6904,404,5571,105,5676,1115,273,409,0,0,0,0,0,3725,308,11,319,4044,2018,12,0415,08,distributionGO_thanaconsuprocess
Bhaluka,4581819,14161,4595980,3804158,221871,138888,11277,39,11316,888,7229,16,7245,1385,1045,5042,8,0,0,0,25,4048,1032,1274,2288,6336,2018,12,0415,08,distributionGO_thanaconsuprocess
Muktagacha,6496850,12212,6509062,4661784,289493,164880,6230,13,6243,232,7146,36,7182,942,1304,6963,0,0,0,0,3,4625,224,1,216,4841,2018,12,0415,08,distributionGO_thanaconsuprocess
Gafargaon,5264412,20518,5284930,5111788,260986,160493,8519,0,8519,1866,3934,65,3999,1402,2668,11773,0,0,0,0,0,2378,2033,0,2032,4410,2018,12,0415,08,distributionGO_thanaconsuprocess
Phulpur,6883537,22983,6906520,3149415,275406,153158,14518,7,14525,2481,15736,48,15784,4456,3250,9297,8,0,0,0,0,4677,2372,316,2675,7352,2018,12,0415,08,distributionGO_thanaconsuprocess
Gouripur,3426910,9008,3435918,2588193,252377,146592,6205,16,6221,831,5908,100,6008,1469,919,4016,13,0,0,0,4,1392,1673,0,1673,3065,2018,12,0415,08,distributionGO_thanaconsuprocess
Ishwarganj,6201302,5959,6207261,2688471,226273,122549,3646,4,3650,208,7514,19,7533,2088,1491,8445,37,0,0,0,52,1853,1410,6,1416,3269,2018,12,0415,08,distributionGO_thanaconsuprocess
Nandail,6903001,10184,6913185,1765812,344831,205987,8322,2,8324,694,5945,16,5961,1848,1534,10708,0,0,0,0,10,1883,586,5,589,2472,2018,12,0415,08,distributionGO_thanaconsuprocess
Haluaghat,4552145,7075,4559220,3151739,281801,144295,3792,3,3795,29,8369,54,8423,1,1091,4666,20,0,0,3402,468,1890,1197,649,1795,3685,2018,12,0415,08,distributionGO_thanaconsuprocess
