thana_Name,Shukhi,Apon,Condom,Inj_Vial,Inj_Siringe,IUD_Normal,IUD_Partum,IUD_Remove,Implanon,Jadel,Implant_Remove,ECP,Misoprostol,MRM_Pack,Inj_mgs4,MNP_Saset,IFA_number,Sanitary_Pad,NSV,Tubectomy_Normal,Tubectomy_Partum,Year,Month,District,Division,program
Sripur,803263,398,563552,104472,44370,1016,0,55,606,18,148,40,0,0,0,0,0,0,147,563,0,2018,12,0205,02,distributionNGO_thanaconsuprocess
Magura Sadar,822809,497,1852215,121407,88324,1888,74,60,2485,32,27,1015,0,0,0,0,0,0,56,800,1044,2018,12,0205,02,distributionNGO_thanaconsuprocess
Lalmonirhat Sadar,67275,179,310041,44822,20131,121,0,12,52,0,0,84,0,0,0,0,0,0,23,35,0,2018,12,0108,07,distributionNGO_thanaconsuprocess
Hatibandha,3753,0,1114,406,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0108,07,distributionNGO_thanaconsuprocess
Manikganj Sadar,596881,7863,1377200,110796,66301,1557,0,38,699,0,0,801,568,0,0,0,0,0,3,11,0,2018,12,0411,04,distributionNGO_thanaconsuprocess
Singair,375712,107,801849,36487,23304,470,0,199,202,0,3,51,76,0,0,0,0,0,67,128,4,2018,12,0411,04,distributionNGO_thanaconsuprocess
Daulatpur,2313,0,6631,455,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,2018,12,0411,04,distributionNGO_thanaconsuprocess
Harirampur,197019,44,519387,45302,22991,578,6,3,383,0,0,613,111,0,0,0,0,0,129,198,6,2018,12,0411,04,distributionNGO_thanaconsuprocess
Shibalaya,348252,294,972692,77401,43378,608,0,31,348,0,215,910,431,0,0,0,0,74,142,228,0,2018,12,0411,04,distributionNGO_thanaconsuprocess
Ghior,519024,30,1471374,83844,38536,656,0,74,276,0,7,4262,351,0,0,0,0,0,54,284,0,2018,12,0411,04,distributionNGO_thanaconsuprocess
Palong (Sadar),103866,260,487860,35458,14590,2210,4,98,41,0,1,69,70,0,0,0,0,0,54,39,0,2018,12,0403,04,distributionNGO_thanaconsuprocess
Naria,166962,0,182700,12523,10999,62,0,0,79,0,0,7,0,0,0,0,0,0,3,8,0,2018,12,0403,04,distributionNGO_thanaconsuprocess
Bhedarganj,391128,833,938482,83432,47197,537,0,29,25,0,4,133,0,0,0,0,0,0,26,7,0,2018,12,0403,04,distributionNGO_thanaconsuprocess
Damoddya,247574,40,323554,34017,15662,375,0,83,31,0,1,220,0,0,0,0,0,0,25,27,0,2018,12,0403,04,distributionNGO_thanaconsuprocess
Goshairhat,404783,204,495037,37132,21211,282,0,6,102,0,0,212,7,0,0,0,0,0,60,18,0,2018,12,0403,04,distributionNGO_thanaconsuprocess
Janjira,493342,723,511887,35053,17315,262,0,25,126,0,5,122,317,0,0,0,139,358,30,63,0,2018,12,0403,04,distributionNGO_thanaconsuprocess
Syadpur,764558,497,1844740,68351,44182,1092,3,189,591,0,150,343,537,0,0,0,0,222,170,221,15,2018,12,0104,07,distributionNGO_thanaconsuprocess
Nilphamari Sadar,187302,111,217539,44756,29802,1603,5,282,210,0,13,67,26,0,0,0,0,0,122,12,1,2018,12,0104,07,distributionNGO_thanaconsuprocess
Sribordi,46384,577,76876,12515,13741,0,0,0,172,0,0,0,166,0,0,0,0,0,0,2,5,2018,12,0414,08,distributionNGO_thanaconsuprocess
Sherpur Sadar,303012,299,1390668,92831,61980,1258,0,7,1567,0,0,226,122,0,0,0,4302,401,43,11,68,2018,12,0414,08,distributionNGO_thanaconsuprocess
Nalitabari,23986,462,75306,3517,3620,0,0,0,89,0,95,80,222,0,0,0,169,210,1,3,3,2018,12,0414,08,distributionNGO_thanaconsuprocess
Jhenaigati,45054,369,66578,4071,4346,74,0,0,0,0,0,7,188,0,0,0,0,0,0,0,3,2018,12,0414,08,distributionNGO_thanaconsuprocess
Matlab (South),336920,863,823735,231361,116663,279,0,2,43,7,0,253,453,0,0,0,0,0,0,2,6,2018,12,0503,05,distributionNGO_thanaconsuprocess
Hajiganj,173155,112,680395,97219,49571,386,0,44,3,0,0,378,130,0,0,0,0,0,1,14,0,2018,12,0503,05,distributionNGO_thanaconsuprocess
Chandpur Sadar,319234,59,1388672,127115,75142,1889,27,66,226,0,85,339,0,0,0,0,0,0,2981,10,0,2018,12,0503,05,distributionNGO_thanaconsuprocess
Kachua,290961,0,2269066,97223,61873,647,0,7,98,0,0,1089,0,0,0,0,0,0,14,19,3,2018,12,0503,05,distributionNGO_thanaconsuprocess
Faridganj,186244,6917,1268338,96427,51408,387,0,47,40,0,0,311,217,0,0,0,8,0,0,6,13,2018,12,0503,05,distributionNGO_thanaconsuprocess
Motlab (North),213999,324,926453,92202,41089,255,0,8,0,0,0,6,168,0,0,0,0,0,0,3,0,2018,12,0503,05,distributionNGO_thanaconsuprocess
Bandarban Sadar,81972,2812,66629,15004,13590,42,6,10,299,0,29,2,748,0,0,2500,0,0,0,0,0,2018,12,0511,05,distributionNGO_thanaconsuprocess
Lama,6139,42,31677,2754,2754,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,2018,12,0511,05,distributionNGO_thanaconsuprocess
Alikadam,253,39,0,86,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2018,12,0511,05,distributionNGO_thanaconsuprocess
Naikhongchhari,7760,39,16060,2080,2080,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0511,05,distributionNGO_thanaconsuprocess
Bhurungamari,1572680,809,1678776,190724,88507,384,0,1,939,0,0,207,904,0,0,0,0,0,1021,1035,88,2018,12,0106,07,distributionNGO_thanaconsuprocess
Roumari,364160,1340,2118242,87345,42328,349,0,9,243,0,0,156,7732,0,0,0,0,0,254,10,0,2018,12,0106,07,distributionNGO_thanaconsuprocess
Kurigram Sadar,122030,417,231896,91524,52148,464,0,22,824,39,4,187,1291,0,0,0,0,0,274,278,0,2018,12,0106,07,distributionNGO_thanaconsuprocess
Ulipur,114009,0,33946,14645,0,84,0,0,399,0,0,30,0,0,0,0,0,0,31,50,0,2018,12,0106,07,distributionNGO_thanaconsuprocess
Nageswari,339159,0,93829,18052,18676,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,2018,12,0106,07,distributionNGO_thanaconsuprocess
