thana_Name,Shukhi,Apon,Condom,Inj_Vial,Inj_Siringe,IUD_Normal,IUD_Partum,IUD_Remove,Implanon,Jadel,Implant_Remove,ECP,Misoprostol,MRM_Pack,Inj_mgs4,MNP_Saset,IFA_number,Sanitary_Pad,NSV,Tubectomy_Normal,Tubectomy_Partum,Year,Month,District,Division,program
Daudkandi,221222,28,1572179,43165,23566,311,2,7,38,0,0,89,4,0,0,0,0,0,9,30,1,2018,12,0502,05,distributionNGO_thanaconsuprocess
Chandina,170844,0,1724300,86438,46573,497,0,26,7,0,0,283,0,0,0,0,0,0,31,47,1,2018,12,0502,05,distributionNGO_thanaconsuprocess
Nangolkot,249392,259,1551472,98493,32199,882,1,0,248,0,0,222,399,0,0,0,0,0,8,167,1,2018,12,0502,05,distributionNGO_thanaconsuprocess
Meghna,13449,0,13824,629,502,4,0,0,26,0,0,0,0,0,0,0,0,0,0,19,0,2018,12,0502,05,distributionNGO_thanaconsuprocess
Titash,124630,321,982992,25478,15339,182,0,0,26,0,0,327,226,0,0,0,0,0,2,28,12,2018,12,0502,05,distributionNGO_thanaconsuprocess
Comilla Sadar South,70201,380,320608,16469,15585,292,3,4,247,0,0,28,18,0,0,0,0,0,19,9,35,2018,12,0502,05,distributionNGO_thanaconsuprocess
Monohargonj,18836,116,98916,3501,1975,51,0,1,0,0,0,0,16,0,0,0,385,120,1,2,0,2018,12,0502,05,distributionNGO_thanaconsuprocess
Dighinala,6693,297,8278,1077,1100,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,2018,12,0510,05,distributionNGO_thanaconsuprocess
Khagrachhari Sadar,235766,160,400025,41110,25243,394,0,5,881,20,249,177,0,0,0,0,6300,0,24,1,0,2018,12,0510,05,distributionNGO_thanaconsuprocess
Narshingdi Sadar,424938,578,1415573,114479,82167,2506,12,4,2318,0,18,173,0,0,0,0,0,0,8597,675,40,2018,12,0410,04,distributionNGO_thanaconsuprocess
Raipura,479129,1713,2163669,100166,67191,294,0,4,114,0,0,64,0,0,0,0,0,0,8,147,0,2018,12,0410,04,distributionNGO_thanaconsuprocess
Monohordi,601214,0,1312936,64643,33466,236,0,0,8,0,0,41,0,0,0,0,0,0,2,94,0,2018,12,0410,04,distributionNGO_thanaconsuprocess
Shibpur,19934,0,101850,11440,12187,397,0,0,1025,0,58,13,0,0,0,0,25,0,9,24,0,2018,12,0410,04,distributionNGO_thanaconsuprocess
Palash,220755,614,207391,30672,10918,344,0,19,382,0,1,54,165,0,0,0,0,0,59,145,0,2018,12,0410,04,distributionNGO_thanaconsuprocess
Belaboo,571088,0,282507,71495,39319,391,0,6,146,0,0,24,0,0,0,0,0,0,19,233,15,2018,12,0410,04,distributionNGO_thanaconsuprocess
Mymensingh Sadar,1496096,2307,4288873,109802,64831,4939,281,386,11444,0,2174,2535,5,0,0,0,0,0,14369,440,261,2018,12,0415,08,distributionNGO_thanaconsuprocess
Trisal,757893,720,994448,34650,19095,125,0,0,579,0,0,39,0,0,0,0,0,0,516,17,0,2018,12,0415,08,distributionNGO_thanaconsuprocess
Fulbaria,16919,0,16392,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,2018,12,0415,08,distributionNGO_thanaconsuprocess
Bhaluka,408589,0,335311,97,0,51,12,6,185,0,2,5,0,0,0,0,0,0,476,33,0,2018,12,0415,08,distributionNGO_thanaconsuprocess
Muktagacha,387470,0,582038,24796,14832,107,0,0,20,0,0,50,0,0,0,0,0,0,679,57,0,2018,12,0415,08,distributionNGO_thanaconsuprocess
Gafargaon,2115,0,4890,1498,1509,180,0,0,0,0,0,4,0,0,0,0,0,0,181,0,0,2018,12,0415,08,distributionNGO_thanaconsuprocess
Gouripur,493521,241,966478,75870,49835,745,0,11,677,4,27,66,101,0,0,0,0,0,388,78,0,2018,12,0415,08,distributionNGO_thanaconsuprocess
Ishwarganj,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,35,8,0,2018,12,0415,08,distributionNGO_thanaconsuprocess
Haluaghat,2604,0,116,14493,6894,2,0,0,0,0,0,0,0,0,0,0,0,0,61,409,648,2018,12,0415,08,distributionNGO_thanaconsuprocess
Fenchuganj,3667,0,596,770,0,2,0,0,83,0,0,8,0,0,0,0,0,0,2,21,0,2018,12,0601,06,distributionNGO_thanaconsuprocess
Jakiganj,384897,3,1218397,42576,20918,436,0,6,0,0,0,177,0,0,0,0,0,0,8,10,0,2018,12,0601,06,distributionNGO_thanaconsuprocess
Jaintapur,116142,556,435856,29391,15253,642,1,46,116,0,0,181,1,0,0,0,0,0,48,123,0,2018,12,0601,06,distributionNGO_thanaconsuprocess
Balaganj,338571,900,1170576,34549,21201,915,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,2018,12,0601,06,distributionNGO_thanaconsuprocess
Golapganj,286249,125,527667,17760,8031,1061,1,13,76,0,0,112,229,0,0,0,0,0,24,78,0,2018,12,0601,06,distributionNGO_thanaconsuprocess
Sylhet Sadar,2223068,7741,3744041,546513,399602,4478,218,365,17300,406,2785,1030,1815,15,0,0,0,257,8406,13786,528,2018,12,0601,06,distributionNGO_thanaconsuprocess
Biani Bazar,174019,4600,814396,13606,5678,195,0,0,0,0,0,80,200,0,0,0,70,0,10,12,0,2018,12,0601,06,distributionNGO_thanaconsuprocess
Kanaighat,327603,234,753048,23253,13946,287,0,42,30,0,0,557,0,0,0,0,9385,8,62,53,2,2018,12,0601,06,distributionNGO_thanaconsuprocess
Biswanath,11702,0,71074,4381,2253,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0601,06,distributionNGO_thanaconsuprocess
Companiganj,11100,0,31044,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,0,2018,12,0601,06,distributionNGO_thanaconsuprocess
South Shurma,214891,24257,759079,13769,10923,86,1,4,407,0,102,0,286,0,0,0,0,0,457,461,2,2018,12,0601,06,distributionNGO_thanaconsuprocess
Gangachara,529968,0,223461,12567,12663,68,0,0,540,3,0,104,18,0,0,0,0,0,1250,23,1,2018,12,0105,07,distributionNGO_thanaconsuprocess
Pirganj,1320955,236,1770914,234535,115456,859,0,13,403,0,0,352,0,0,0,0,0,0,84,70,0,2018,12,0105,07,distributionNGO_thanaconsuprocess
Pirgachha,1031871,150,1396427,142656,81426,768,0,29,164,0,23,146,257,0,0,7560,0,0,75,75,0,2018,12,0105,07,distributionNGO_thanaconsuprocess
Badarganj,143369,0,72560,1060,1120,1,0,0,11,0,0,86,76,0,0,0,0,0,24,2,0,2018,12,0105,07,distributionNGO_thanaconsuprocess
Mithapukur,1094590,20,1422672,173248,82473,1156,0,0,417,0,7,1220,120,0,0,0,0,0,138,23,0,2018,12,0105,07,distributionNGO_thanaconsuprocess
Kaunia,52041,0,275751,47850,23219,597,27,83,278,3,5,125,0,0,0,0,0,0,149,1,0,2018,12,0105,07,distributionNGO_thanaconsuprocess
Rangpur Sadar,1564858,2270,2877477,280572,147704,4941,83,326,6846,7,1101,367,3152,0,0,0,0,0,13149,7858,924,2018,12,0105,07,distributionNGO_thanaconsuprocess
Taraganj,354649,0,311615,11826,11982,14,0,0,822,0,0,140,225,0,0,0,74,0,3410,272,0,2018,12,0105,07,distributionNGO_thanaconsuprocess
Rajoir,632721,1614,1050421,65449,43766,378,0,0,1163,0,0,54,138,0,0,0,0,0,11,93,2,2018,12,0402,04,distributionNGO_thanaconsuprocess
Shibchar,830337,20,1476368,88376,48720,341,0,15,247,0,0,0,0,0,0,0,0,0,2,13,1,2018,12,0402,04,distributionNGO_thanaconsuprocess
Madaripur Sadar,131674,834,354747,49900,36203,2177,0,47,0,0,0,133,2,0,0,0,0,0,1,0,0,2018,12,0402,04,distributionNGO_thanaconsuprocess
Digholia,1913370,0,7153012,487195,288037,1519,12,7,3204,0,37,205,70,12,0,0,0,0,483,654,394,2018,12,0208,02,distributionNGO_thanaconsuprocess
Dumuria,145122,40,278287,29032,17012,86,0,1,136,0,0,373,47,0,0,0,0,0,19,68,0,2018,12,0208,02,distributionNGO_thanaconsuprocess
Khulna Sadar,3441916,363,10919067,455790,241229,5822,96,481,7600,48,1219,2245,0,0,0,0,901,163,33028,1249,107,2018,12,0208,02,distributionNGO_thanaconsuprocess
Dacope,37552,116,45231,2236,2429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0208,02,distributionNGO_thanaconsuprocess
Terokhada,243360,0,257500,1594,298,345,0,0,502,0,0,114,0,0,0,0,0,0,20,23,0,2018,12,0208,02,distributionNGO_thanaconsuprocess
Fultala,409864,0,1564280,46564,30123,2266,0,43,4,0,0,151,0,0,0,0,0,0,0,0,0,2018,12,0208,02,distributionNGO_thanaconsuprocess
Batiaghata,165299,198,234221,3638,2575,64,0,0,33,0,0,41,0,0,0,0,0,0,34,34,0,2018,12,0208,02,distributionNGO_thanaconsuprocess
Rupsha,475206,0,465350,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,2018,12,0208,02,distributionNGO_thanaconsuprocess
Koyra,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0208,02,distributionNGO_thanaconsuprocess
Moheshpur,494764,0,1082230,128028,71488,751,2,41,721,1,24,151,15,0,0,0,0,0,67,319,38,2018,12,0204,02,distributionNGO_thanaconsuprocess
Jhenaidaha Sadar,105298,120,465229,69425,42034,1440,0,31,836,29,38,100,21,0,0,0,0,0,12,144,65,2018,12,0204,02,distributionNGO_thanaconsuprocess
Kaliganj,24945,16,183743,4363,4657,23,0,0,28,0,0,3,45,0,0,0,0,0,0,1,2,2018,12,0204,02,distributionNGO_thanaconsuprocess
Sailkupa,13555,0,31021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0204,02,distributionNGO_thanaconsuprocess
Jhalakati Sadar,309727,199,382888,42708,21089,1072,0,122,1368,6,27,126,5,0,0,0,0,0,79,264,14,2018,12,0304,03,distributionNGO_thanaconsuprocess
Nalchhiti,61,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0304,03,distributionNGO_thanaconsuprocess
Atghoria,184828,322,254584,8909,5149,29,0,0,18,0,0,301,0,0,0,0,0,0,1,5,0,2018,12,0115,01,distributionNGO_thanaconsuprocess
Pabna Sadar,4449067,223,4549878,464629,242604,3556,956,863,4149,78,2028,6178,8,0,0,0,0,0,7038,299,0,2018,12,0115,01,distributionNGO_thanaconsuprocess
Chatmohor,203134,0,383623,536,0,29,0,0,85,0,0,0,0,0,0,0,0,0,3,1,0,2018,12,0115,01,distributionNGO_thanaconsuprocess
Ishwardi,651086,577,1516244,69235,30618,580,0,34,168,0,0,674,8,0,0,0,0,0,16,44,0,2018,12,0115,01,distributionNGO_thanaconsuprocess
Sujanagar,357460,151,529944,68254,33713,876,0,0,118,15,0,91,366,0,0,0,0,0,22,59,0,2018,12,0115,01,distributionNGO_thanaconsuprocess
Santhia,249619,660,357427,47959,46390,2,0,0,25,0,0,59,0,0,0,0,0,0,1,4,0,2018,12,0115,01,distributionNGO_thanaconsuprocess
Lohagara,685240,403,1141258,77352,26639,539,1,0,417,0,1,1904,347,0,0,9500,23666,0,203,184,6,2018,12,0206,02,distributionNGO_thanaconsuprocess
Narail Sadar,1017259,43,1469323,138199,59694,2001,1,43,643,0,275,396,7,0,0,0,1082,0,33,387,35,2018,12,0206,02,distributionNGO_thanaconsuprocess
Sariakandi,221648,104,768488,15735,7424,32,0,0,12,0,0,797,92,0,0,0,0,0,83,49,0,2018,12,0109,01,distributionNGO_thanaconsuprocess
Sherpur,17764,0,107291,25708,15629,562,0,0,3,0,0,70,0,0,0,0,0,0,2,8,0,2018,12,0109,01,distributionNGO_thanaconsuprocess
Shibganj,1481269,2780,2508891,178027,103768,880,9,68,941,42,0,3706,2262,0,0,0,0,0,142,216,46,2018,12,0109,01,distributionNGO_thanaconsuprocess
Dhunot,20560,0,15110,1661,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,2018,12,0109,01,distributionNGO_thanaconsuprocess
Adamdighi,22393,0,16458,232,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,2018,12,0109,01,distributionNGO_thanaconsuprocess
Bogra Sadar,1185303,2553,4975731,199010,107329,4567,71,440,8569,743,1748,1919,279,0,0,0,0,0,4907,1464,419,2018,12,0109,01,distributionNGO_thanaconsuprocess
Gabtali,1114661,121,2757204,163382,73604,765,0,20,978,26,0,820,0,0,0,0,0,0,15,19,0,2018,12,0109,01,distributionNGO_thanaconsuprocess
Sonatola,1483953,404,1792948,73210,35352,756,4,53,545,0,0,1537,330,0,0,0,0,0,28,62,1,2018,12,0109,01,distributionNGO_thanaconsuprocess
Shajahanpur,423310,0,1033618,16452,10019,30,0,7,239,0,0,473,0,0,0,0,0,0,4029,231,6,2018,12,0109,01,distributionNGO_thanaconsuprocess
Nazirpur,53008,319,56584,2051,2146,10,0,0,31,0,2,20,0,0,0,0,3609,0,23,7,1,2018,12,0306,03,distributionNGO_thanaconsuprocess
Pirojpur Sadar,193001,126,348527,37625,14285,1514,2,67,452,0,56,206,78,5,0,0,0,0,2,3,0,2018,12,0306,03,distributionNGO_thanaconsuprocess
Indurkani,39109,0,27342,9537,2603,127,0,0,109,0,0,46,0,0,0,0,0,0,19,5,0,2018,12,0306,03,distributionNGO_thanaconsuprocess
Atpara,212651,0,287024,14803,4281,406,0,0,158,0,0,179,0,0,0,0,0,0,22,5,0,2018,12,0417,08,distributionNGO_thanaconsuprocess
Kalmakanda,330681,265,958735,33652,16827,192,0,0,107,0,0,95,0,0,0,0,0,0,30,29,0,2018,12,0417,08,distributionNGO_thanaconsuprocess
Modan,187690,166,469014,11377,8147,206,0,13,21,0,1,35,0,0,0,0,0,24,18,9,0,2018,12,0417,08,distributionNGO_thanaconsuprocess
Purbadhala,380255,0,474713,18304,6777,248,0,1,245,1,8,75,0,0,0,0,0,0,57,60,0,2018,12,0417,08,distributionNGO_thanaconsuprocess
Kendua,432,0,1240,28,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2018,12,0417,08,distributionNGO_thanaconsuprocess
Netrokona Sadar,276690,194,1513909,34494,18360,922,1,1,984,39,0,185,107,92,0,0,148,47,167,154,35,2018,12,0417,08,distributionNGO_thanaconsuprocess
Mohonganj,501096,90,446335,23435,9520,762,0,2,12,1,0,5,0,0,0,0,45,0,84,24,0,2018,12,0417,08,distributionNGO_thanaconsuprocess
Khaliajhuri,7575,0,9728,363,0,12,0,0,3,0,0,55,0,0,0,0,0,0,2,0,0,2018,12,0417,08,distributionNGO_thanaconsuprocess
Gobindaganj,843248,20,1725256,119625,93051,512,4,24,978,0,0,62,15,0,0,0,0,0,129,117,2,2018,12,0107,07,distributionNGO_thanaconsuprocess
Sundarganj,657565,127,807447,93706,60723,1398,0,462,1421,0,455,81,0,0,0,0,0,0,303,342,6,2018,12,0107,07,distributionNGO_thanaconsuprocess
Fulchhari,562295,208,1054715,109411,65237,1076,4,187,1008,7,110,58,71,0,0,0,92,94,175,131,0,2018,12,0107,07,distributionNGO_thanaconsuprocess
Sadullahpur,807411,130,1571389,139521,88847,1448,0,540,609,0,44,126,404,0,0,0,0,0,392,442,0,2018,12,0107,07,distributionNGO_thanaconsuprocess
Shaghata,33420,0,76583,15147,3324,45,0,0,233,2,0,87,0,0,0,0,0,0,25,14,0,2018,12,0107,07,distributionNGO_thanaconsuprocess
Gaibandha Sadar,204166,100,558460,76279,69737,2367,156,77,20,0,0,0,0,0,0,0,0,0,5,6,0,2018,12,0107,07,distributionNGO_thanaconsuprocess
Sreemongal,196541,0,323187,27987,16811,279,0,4,0,0,0,246,0,0,0,0,0,0,0,0,0,2018,12,0603,06,distributionNGO_thanaconsuprocess
Moulavi Bazar Sadar,70466,388,334481,27532,15988,792,4,9,670,0,6,158,0,0,0,0,0,0,5923,1837,0,2018,12,0603,06,distributionNGO_thanaconsuprocess
Komolganj,11435,0,5745,591,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0603,06,distributionNGO_thanaconsuprocess
Mirzapur,371289,2371,432523,4612,5052,128,0,0,284,0,4,164,1,0,0,0,0,0,82,563,212,2018,12,0412,04,distributionNGO_thanaconsuprocess
Nagarpur,408004,0,413700,68696,73114,385,4,9,316,0,3,0,706,0,0,0,0,0,360,9,0,2018,12,0412,04,distributionNGO_thanaconsuprocess
Bhuapur,1498023,1330,1403566,72092,18649,640,0,7,380,0,69,458,1519,0,0,0,0,0,495,11,10,2018,12,0412,04,distributionNGO_thanaconsuprocess
Ghatail,2272596,546,3078897,135264,64036,1868,8,0,8,0,0,609,422,0,0,0,0,0,662,220,82,2018,12,0412,04,distributionNGO_thanaconsuprocess
Basail,431389,72,1596171,53095,56743,555,3,28,219,22,29,8,1081,0,0,0,270,0,204,17,4,2018,12,0412,04,distributionNGO_thanaconsuprocess
Tangail Sadar,649008,277,1870505,120825,57507,3160,50,507,7462,186,1876,2117,962,0,0,0,0,0,7130,351,90,2018,12,0412,04,distributionNGO_thanaconsuprocess
Kalihati,1484755,995,2531690,100713,60444,1969,1,84,838,19,63,963,1144,4,0,0,20,0,842,154,22,2018,12,0412,04,distributionNGO_thanaconsuprocess
Modhupur,1935710,1556,1561994,127818,73306,986,0,10,313,36,17,298,644,0,0,0,1000,0,300,5,14,2018,12,0412,04,distributionNGO_thanaconsuprocess
Gopalpur,842039,0,1365938,125205,59151,1114,0,153,437,67,0,60,2738,0,0,0,0,0,209,36,48,2018,12,0412,04,distributionNGO_thanaconsuprocess
Shakhipur,192,0,3396,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,74,3,5,2018,12,0412,04,distributionNGO_thanaconsuprocess
Delduar,1523317,0,3171536,111484,57154,764,0,24,200,0,0,703,0,0,0,0,0,0,1317,32,2,2018,12,0412,04,distributionNGO_thanaconsuprocess
Patuakhali Sadar,642171,0,1168569,120993,56876,2633,4,110,3040,74,717,806,0,0,0,0,0,0,1485,259,5,2018,12,0302,03,distributionNGO_thanaconsuprocess
Golachipa,658120,0,167690,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,13,18,0,2018,12,0302,03,distributionNGO_thanaconsuprocess
Bauphal,111266,0,142618,514,0,3,0,0,206,0,0,549,0,0,0,0,0,0,6,13,0,2018,12,0302,03,distributionNGO_thanaconsuprocess
Poba (Sadar),802249,0,2408196,236272,131558,953,1,54,218,0,0,591,12,0,0,0,0,0,45,270,0,2018,12,0113,01,distributionNGO_thanaconsuprocess
Mohanpur,862394,0,1036964,129280,66215,242,0,6,395,31,30,338,0,0,0,0,0,0,66,173,5,2018,12,0113,01,distributionNGO_thanaconsuprocess
Puthiya,243928,120,498634,13746,12490,0,0,0,38,0,6,0,6,0,0,0,0,0,1,49,0,2018,12,0113,01,distributionNGO_thanaconsuprocess
Bagmara,1226073,65,3175610,140697,67478,828,0,45,423,5,0,445,30,0,0,0,0,0,55,144,19,2018,12,0113,01,distributionNGO_thanaconsuprocess
Charghat,149443,0,227402,10401,8568,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,2018,12,0113,01,distributionNGO_thanaconsuprocess
Boalia,937134,9075,8755789,300898,192862,4732,28,448,11581,49,4343,1424,64,0,0,0,158,0,30192,8462,786,2018,12,0113,01,distributionNGO_thanaconsuprocess
Tanore,256796,0,272038,5897,5703,185,0,0,1050,0,0,175,0,0,0,0,0,0,61,383,46,2018,12,0113,01,distributionNGO_thanaconsuprocess
Godagari,1462377,4382,2448507,196793,106199,515,10,0,69,0,0,790,0,0,0,0,0,0,1,107,17,2018,12,0113,01,distributionNGO_thanaconsuprocess
Satkhira Sadar,461628,720,1711959,123771,72309,2626,0,72,1542,208,507,225,600,0,0,0,1948,0,381,250,319,2018,12,0210,02,distributionNGO_thanaconsuprocess
Kolaroa,90,48,1010,139,152,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0210,02,distributionNGO_thanaconsuprocess
Shyamnagar,15595,0,56574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0210,02,distributionNGO_thanaconsuprocess
Kaliganj,21,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0210,02,distributionNGO_thanaconsuprocess
Asasuni,19836,0,6559,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,1,6,0,2018,12,0210,02,distributionNGO_thanaconsuprocess
Meherpur Sadar,51120,1464,772605,51070,23540,1217,8,159,394,39,7,163,0,158,0,0,81,6,0,0,0,2018,12,0202,02,distributionNGO_thanaconsuprocess
Gagni,178476,131,753698,64386,20340,187,2,3,354,4,87,154,0,0,0,0,0,0,23,98,27,2018,12,0202,02,distributionNGO_thanaconsuprocess
Katiadi,1074298,451,2382324,130950,80075,1250,2,183,1024,4,280,509,1423,0,0,0,2393,1120,162,289,24,2018,12,0416,04,distributionNGO_thanaconsuprocess
Bhariab Bazar,1625460,320,2552182,88430,49711,1557,0,94,1886,69,142,210,1111,0,0,0,0,0,82,547,470,2018,12,0416,04,distributionNGO_thanaconsuprocess
Austagram,623685,1072,917012,67039,31750,1078,2,137,322,0,9,173,2426,0,0,0,10535,12,53,492,0,2018,12,0416,04,distributionNGO_thanaconsuprocess
Kishoreganj Sadar,350288,0,1572010,61223,41085,1543,0,58,1460,3,256,170,290,0,0,0,0,0,558,286,479,2018,12,0416,04,distributionNGO_thanaconsuprocess
Hossainpur,888072,138,1252768,67847,37417,1050,0,16,967,0,42,36,372,0,160,0,0,0,117,304,215,2018,12,0416,04,distributionNGO_thanaconsuprocess
Nikli,451791,853,1404758,81390,32554,856,4,597,317,4,154,633,2182,0,0,0,0,0,10,290,2,2018,12,0416,04,distributionNGO_thanaconsuprocess
Pakundia,1081398,207,1142100,71184,43205,877,0,26,608,0,12,88,210,0,0,0,0,0,217,132,46,2018,12,0416,04,distributionNGO_thanaconsuprocess
Itna,867782,152,1092202,37267,23514,1080,0,462,458,7,143,209,590,0,0,0,2668,0,136,181,5,2018,12,0416,04,distributionNGO_thanaconsuprocess
Kuliarchar,930807,437,1428679,66902,38398,1125,0,224,1495,1,0,327,1732,0,0,0,5800,0,197,478,60,2018,12,0416,04,distributionNGO_thanaconsuprocess
Tarail,665157,300,1253198,39544,21393,853,0,269,670,11,93,151,72,0,0,0,0,0,171,210,13,2018,12,0416,04,distributionNGO_thanaconsuprocess
Karimganj,960942,180,1091404,64440,25976,1046,0,141,769,19,40,114,250,0,0,0,0,0,188,493,9,2018,12,0416,04,distributionNGO_thanaconsuprocess
Tongibari,17103,0,12734,1733,0,3,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,2018,12,0408,04,distributionNGO_thanaconsuprocess
Serajdikhan,248182,377,325129,17589,17938,589,0,2,11,0,0,16,40,0,0,0,0,0,0,24,38,2018,12,0408,04,distributionNGO_thanaconsuprocess
Munshiganj Sadar,205016,254,373226,59880,34712,874,153,131,77,0,2,275,30,0,0,0,0,0,14,145,24,2018,12,0408,04,distributionNGO_thanaconsuprocess
Srinagar,1143918,28036,2148336,90101,98227,456,4,7,59,14,3,648,263,0,0,0,49225,0,38,27,7,2018,12,0408,04,distributionNGO_thanaconsuprocess
Lohajong,531557,786,1400738,59689,30043,775,3,10,434,0,30,290,687,0,0,0,0,0,59,96,0,2018,12,0408,04,distributionNGO_thanaconsuprocess
Faridpur Sadar,566016,2500,3277665,221625,127740,2825,57,43,6081,68,675,632,1062,0,100,0,0,71,3248,535,1,2018,12,0404,04,distributionNGO_thanaconsuprocess
Boalmari,469822,46,1748253,63223,30577,543,0,81,120,0,11,178,62,0,0,0,105,0,90,192,0,2018,12,0404,04,distributionNGO_thanaconsuprocess
Char Bhadrashion,90190,0,331173,702,20,303,0,27,444,0,74,114,60,0,0,0,0,0,53,49,29,2018,12,0404,04,distributionNGO_thanaconsuprocess
Nagarkanda,172724,0,454128,1105,0,587,6,9,551,0,89,285,54,0,0,0,4,9,144,154,27,2018,12,0404,04,distributionNGO_thanaconsuprocess
Sadarpur,94468,1440,217972,406,377,158,0,0,167,0,0,0,0,0,0,0,0,0,26,128,0,2018,12,0404,04,distributionNGO_thanaconsuprocess
Alphadanga,516072,230,1815140,42923,22760,536,3,16,87,0,5,209,261,0,0,0,0,0,102,159,0,2018,12,0404,04,distributionNGO_thanaconsuprocess
Modhukhali,132756,618,259618,22162,23726,107,0,6,121,0,0,40,502,0,0,0,0,0,7,11,5,2018,12,0404,04,distributionNGO_thanaconsuprocess
Saltha,98964,0,215488,33,0,9,0,0,9,0,0,9,7,0,0,0,0,0,4,1,0,2018,12,0404,04,distributionNGO_thanaconsuprocess
Boda,161167,0,143880,10358,10133,95,5,9,511,0,37,0,0,0,0,1,310,85,22,16,29,2018,12,0103,07,distributionNGO_thanaconsuprocess
Panchgarh Sadar,485019,0,497014,62065,35405,736,0,78,1341,38,515,630,0,0,0,0,0,0,244,146,177,2018,12,0103,07,distributionNGO_thanaconsuprocess
Tetulia,125126,184,82500,3311,3177,0,0,0,115,27,0,0,0,0,0,0,0,0,0,5,3,2018,12,0103,07,distributionNGO_thanaconsuprocess
Atowari,775467,0,638939,70723,38435,544,0,39,673,8,76,765,94,0,0,0,0,0,635,54,12,2018,12,0103,07,distributionNGO_thanaconsuprocess
Debiganj,963272,0,494988,131077,71441,766,0,302,352,2,39,181,0,0,0,0,0,0,2028,28,6,2018,12,0103,07,distributionNGO_thanaconsuprocess
Jamalpur Sadar,1364987,0,3629605,86526,46515,1382,26,59,2115,0,0,724,35,0,0,0,0,0,256,194,63,2018,12,0413,08,distributionNGO_thanaconsuprocess
Melandaha,1156866,187,1760766,143166,81405,1423,9,18,784,0,15,1237,140,0,0,0,0,0,241,28,29,2018,12,0413,08,distributionNGO_thanaconsuprocess
Dewanganj,806609,0,1899331,155225,81753,980,0,102,597,0,78,261,512,0,0,15,0,0,128,93,2,2018,12,0413,08,distributionNGO_thanaconsuprocess
Islampur,1061299,0,1954123,179776,52908,960,0,11,240,0,0,810,14,0,0,0,0,0,72,57,16,2018,12,0413,08,distributionNGO_thanaconsuprocess
Sharishabari,23072,160,39150,4543,4421,1,0,0,2,0,0,0,0,0,0,270,0,0,5,0,0,2018,12,0413,08,distributionNGO_thanaconsuprocess
Madarganj,110858,0,192818,6637,6678,157,17,0,148,2,0,3,0,0,0,0,0,0,7,2,9,2018,12,0413,08,distributionNGO_thanaconsuprocess
Bakshiganj,527686,733,1274105,91493,16502,748,0,10,440,13,0,219,543,0,0,0,15271,0,150,109,12,2018,12,0413,08,distributionNGO_thanaconsuprocess
Parshuram,262818,211,953323,52470,28729,570,0,61,119,0,0,527,28,0,0,0,0,0,12,164,1,2018,12,0504,05,distributionNGO_thanaconsuprocess
Chhagalnaiya,556485,517,549449,58420,32025,575,0,0,41,1,0,213,664,0,0,0,5820,0,5,42,13,2018,12,0504,05,distributionNGO_thanaconsuprocess
Feni Sadar,677770,1784,2116191,140976,76214,2941,32,326,2702,279,298,1783,0,0,0,0,0,0,63,638,207,2018,12,0504,05,distributionNGO_thanaconsuprocess
Sonagazi,479680,533,762686,63939,33867,507,1,1,76,0,0,572,382,0,0,0,0,0,12,118,5,2018,12,0504,05,distributionNGO_thanaconsuprocess
Dagonbhuiyan,350661,305,789705,33577,19274,365,0,10,137,5,7,3,276,0,0,0,0,0,9,103,16,2018,12,0504,05,distributionNGO_thanaconsuprocess
Fulgazi,180178,101,611528,33935,19996,264,3,35,27,0,5,426,0,0,0,0,0,0,18,121,1,2018,12,0504,05,distributionNGO_thanaconsuprocess
Kutubdia,315797,234,349799,56351,22967,191,0,0,33,0,0,41,892,0,0,0,0,0,5,18,0,2018,12,0508,05,distributionNGO_thanaconsuprocess
