
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
      0752   76    39     31      1     264          1313
      0753   76    55     16      3     225          1061
      0754   76    55     43      1     216           951
      0755   76    72     15      1     244          1017
      0756   76    72     60      1     236          1088
      0757   76    83     38      1     227          1126
      0758   88    11     40      1     250          1263
      0759   88    11     81      1     280          1287
      0760   88    44     19      1     234          1010
      0761   88    50     17      1     224           897
      0762   88    50     94      1     188           888
      0763   88    61     57      1     208           893
      0764   88    67     21      1     205           944
      0765   88    67     65      1     283          1664
      0766   88    78     17      1     197           839
      0767   88    78     69      1     207           939
      0768   88    89     52      1     185           769
      0769   88    94     29      1     240          1277
      0770   88    94     58      1     182           882
      0771   64    03     31      1     208           764
      0772   64    06     21      1     252           968
      0773   64    28     10      1     237           960
      0774   64    47     06      1     189           696
      0775   64    47     54      1     219           878
      0776   64    47     94      1     191           766
      0777   64    50     66      1     232           922
      0778   64    60     29      1     237           974
      0779   64    69     10      1     211           809
      0780   64    69     73      1     212          1050
      0781   64    75     69      1     244          1066
      0782   64    85     10      1     234          1062
      0783   64    86     07      1     197           825
      0784   69    09     42      1     262           969
      0785   69    15     35      1     200           906
      0786   69    15     83      1     233           933
      0787   69    41     67      1     259          1061
      0788   69    44     38      1     212           943
      0789   69    44     95      1     198           786
      0790   69    63     36      1     214           982
      0791   69    63     73      1     283          1123
      0792   69    91     31      1     249          1047
      0793   69    91     71      1     231           934
      0794   70    18     56      1     212           899
      0795   70    37     52      3     213          1014
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0796   70    56     38      1     235          1221
      0797   70    66     19      1     233          1186
      0798   70    66     67      1      95           502
      0799   70    88     11      1     206           916
      0800   70    88     41      1     216          1009
      0801   70    88     71      1     209           955
      0802   81    10     23      1     229           921
      0803   81    12     24      1     246           908
      0804   81    12     69      1     248           998
      0805   81    25     47      1     217          1003
      0806   81    31     23      1     234           932
      0807   81    34     19      1     213          1070
      0808   81    34     76      1     240          1200
      0809   81    53     67      1     204           807
      0810   81    82     40      1     236           901
      0811   81    94     27      1     226           881
      0812   32    21     47      1     193           840
      0813   32    24     36      1     221          1122
      0814   32    24     85      1     219          1010
      0815   32    30     27      1     226           919
      0816   32    30     61      1     196           756
      0817   32    67     09      1     217           911
      0818   32    67     76      1     205           844
      0819   32    82     43      1     237           880
      0820   32    88     19      1     238          1033
      0821   32    88     76      1     195           782
      0822   32    91     25      1     253           999
      0823   32    91     69      1     274          1092
      0824   49    06     19      1     208           873
      0825   49    08     19      1     231          1119
      0826   49    18     13      1     238          1135
      0827   49    52     19      1     222          1092
      0828   49    61     06      1     222          1221
      0829   49    61     65      3     187           923
      0830   49    77     21      1     187           848
      0831   49    79     11      1     231          1060
      0832   49    94     16      1     228           957
      0833   49    94     61      1     229          1017
      0834   52    02     41      1     231          1146
      0835   52    02     89      1     233          1103
      0836   52    33     47      1     219           967
      0837   52    39     23      1     215           936
      0838   52    39     65      1     221           980
      0839   52    55     36      1     217           961
      0840   52    55     83      1     248          1078
      0841   52    70     54      1     223          1117
      0842   73    12     19      1     234          1105
      0843   73    12     85      1     207          1025
      0844   73    15     76      1     228          1046
      0845   73    36     43      3     235          1067
      0846   73    36     87      1     232          1111
      0847   73    45     60      1     211           875
      0848   73    64     12      1     224          1043
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0849   73    64     63      1     218          1050
      0850   73    85     27      1     225          1081
      0851   85    03     25      1     205           859
      0852   85    03     88      1     218           878
      0853   85    27     42      1     231          1044
      0854   85    42     27      1     227          1031
      0855   85    49     23      1     206           870
      0856   85    49     71      1     223          1073
      0857   85    58     11      1     223           864
      0858   85    58     44      1     228           946
      0859   85    58     72      1     212           835
      0860   85    73     19      1     202           809
      0861   85    73     66      1     222           971
      0862   85    76     18      1     213           893
      0863   85    76     56      1     243           915
      0864   85    92     15      1     250          1170
      0865   10    06     02      2     170           722
      0866   10    20     02      2     220           943
      0867   10    20     06      2     220           944
      0868   10    20     11      2     265          1047
      0869   10    81     01      2     219           949
      0870   38    13     02      2     275          1119
      0871   38    47     01      2     280          1050
      0872   38    47     05      2     244          1010
      0873   38    47     09      2     234           993
      0874   27    10     02      2     247          1074
      0875   27    38     01      2     194           891
      0876   27    64     01      2     224          1010
      0877   27    64     06      2     227           970
      0878   27    64     10      2     192           832
      0879   77    73     01      2     219          1011
      0880   77    73     03      2     183           893
      0881   77    73     05      2     214          1060
      0882   77    73     09      2     183           813
      0883   94    82     03      2     235           960
      0884   94    82     08      2     209           907
      0885   94    94     04      2     206           938
      0886   94    94     07      2     224           993
      0887   76    16     01      2     210          1078
      0888   76    19     02      2     251          1094
      0889   76    39     05      2     243          1146
      0890   76    55     02      2     210           918
      0891   76    55     10      2     234           975
      0892   76    72     02      2     257          1262
      0893   88    50     03      2     199           892
      0894   88    67     06      2     219          1031
      0895   88    78     04      2     233          1125
      0896   88    78     09      2     202          1014
      0897   88    78     15      2     214          1027
      0898   64    60     01      2     252          1038
      0899   64    60     03      2     198           824
      0900   64    60     06      2     228          1038
      0901   64    60     09      2     249          1038
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0902   69    41     02      2     196           777
      0903   69    44     05      2     196           795
      0904   69    63     04      2     173           748
      0905   69    63     08      2     214          1036
      0906   70    37     02      2     254          1159
      0907   70    66     03      2     213           943
      0908   70    66     09      2     223           987
      0909   70    66     14      2     198           906
      0910   81    10     02      2     250          1042
      0911   81    12     01      2     224          1205
      0912   81    25     06      2     243          1191
      0913   81    34     08      2     244          1269
      0914   32    24     01      2     192           877
      0915   32    24     05      2     241          1150
      0916   32    24     08      2     209           967
      0917   32    30     05      2     223           883
      0918   49    52     01      2     196           918
      0919   49    52     04      2     197           917
      0920   49    52     07      2     208           974
      0921   49    94     01      2     256          1022
      0922   49    94     06      2     237          1058
      0923   52    55     01      2     225           984
      0924   52    55     04      2     202           937
      0925   52    55     07      2     207          1012
      0926   52    70     04      2     208          1004
      0927   73    15     03      2     204           935
      0928   73    64     06      2     212          1001
      0929   73    85     04      2     194           968
      0930   73    85     10      2     244          1266
      0931   85    03     02      2     231          1107
      0932   85    42     06      2     222          1040
      0933   85    49     03      2     218          1066
      0934   85    49     08      2     210          1035
      0935   85    49     12      2     216           988
      0936   81    22     17      2     160           728
      0937   81    22     25      2     234          1026
      0938   81    40     31      2     256          1151
      0939   81    72     07      2     230          1002
      0940   81    72     31      2     245          1055
      0941   81    72     47      2     248          1170
      0942   81    72     71      2     245           975
      0943   81    72     87      2     245          1019
      0944   81    85     06      2     200           863
      0945   81    90     20      2     156           702
      0946   36    02     67      1     199          1103
      0947   36    05     83      1     232          1355
      0948   36    11     63      1     173          1106
      0949   36    26     38      1     200          1035
      0950   36    26     95      1     260          1350
      0951   36    44     85      1     232          1228
      0952   36    71     17      1     189          1027
      0953   36    71     86      1     169           831
      0954   36    77     58      1     208          1189
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0955   58    14     31      1     185          1282
      0956   58    56     17      1     213          1066
      0957   58    56     76      1     189          1103
      0958   58    65     35      1     192          1160
      0959   58    65     77      1     234          1295
      0960   58    74     36      1     206          1043
      0961   58    80     21      1     233          1206
      0962   58    83     15      1     177           829
      0963   58    83     57      1     179           919
      0964   90    18     34      1     266          1603
      0965   90    23     52      1     208          1169
      0966   90    29     19      1     214          1114
      0967   90    32     35      1     212          1184
      0968   90    33     32      1     236          1331
      0969   90    47     17      1     181          1112
      0970   90    50     27      1     258          1440
      0971   90    86     95      1     229          1243
      0972   90    89     72      1     216          1127
      0973   90    92     43      1     200          1143
      0974   91    08     33      1     207          1172
      0975   91    17     17      3     239          1465
      0976   91    20     31      1     181          1096
      0977   91    35     23      1     197          1358
      0978   91    38     43      3     262          1534
      0979   91    41     42      1     221          1418
      0980   91    53     63      3     172           896
      0981   91    59     85      1     224          1296
      0982   91    62     50      1     226          1460
      0983   91    94     19      1     186          1202
      0984   36    44     01      2     194          1214
      0985   36    44     06      2     219          1094
      0986   36    44     03      2     151           639
      0987   36    71     07      2     187          1033
      0988   58    56     04      2     200          1089
      0989   58    65     07      2     165           898
      0990   58    74     04      2     222          1151
      0991   58    83     02      2     209          1057
      0992   90    23     02      2     247          1351
      0993   90    29     02      2     224          1395
      0994   90    47     05      2     221          1401
      0995   90    89     04      2     203          1065
      0996   90    29     02      2     179           871
      0997   91    62     07      2     211          1071
      0998   91    62     11      2     194           994
      0999   91    62     17      2     166           665

                                   TOT POPULATION   1046994
