
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
      0172   51    58     23      1     260          1337
      0173   51    58     83      1     214          1028
      0174   51    65     42      1     206          1079
      0175   51    73     31      1     212          1157
      0176   51    73     71      1     258          1464
      0177   75    07     13      1     218          1261
      0178   75    07     42      1     207          1239
      0179   75    07     70      1     232          1329
      0180   75    07     91      1     239          1250
      0181   75    10     76      1     220          1251
      0182   75    21     83      1     243          1444
      0183   75    36     47      3     205          1272
      0184   75    36     95      1     200           982
      0185   75    80     76      1     236          1301
      0186   75    87     31      1     225          1270
      0187   75    87     40      1     264          1503
      0188   75    87     80      1     247          1721
      0189   84    07     47      1     251          1400
      0190   84    21     79      1     222          1032
      0191   84    25     57      1     208          1051
      0192   84    36     19      3     210          1074
      0193   84    36     57      3     193           991
      0194   84    58     54      1     183           961
      0195   84    75     38      1     194           977
      0196   84    87     27      1     197           919
      0197   03    14     02      2     193           968
      0198   03    14     05      2     206           981
      0199   03    14     07      2     177           775
      0200   03    14     09      2     203           955
      0201   15    53     02      2     217          1111
      0202   15    61     09      2     205          1107
      0203   15    74     02      2     221          1213
      0204   15    78     06      2     209          1142
      0205   22    16     02      2     253          1259
      0206   22    16     07      2     255          1592
      0207   22    24     04      2     219          1158
      0208   22    24     09      2     218           839
      0209   12    02     02      2     209          1091
      0210   12    13     02      2     240          1294
      0211   12    13     07      2     227          1273
      0212   12    13     10      2     220          1178
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0213   12    85     01      2     226          1358
      0214   13    22     02      2     185           905
      0215   13    22     11      2     206           883
      0216   13    49     06      2     239          1397
      0217   13    76     03      2     241          1054
      0218   13    79     04      2     225          1217
      0219   19    09     01      2     224          1290
      0220   19    27     05      2     261          1177
      0221   19    67     02      2     273          1465
      0222   19    67     08      2     312          1497
      0223   19    67     14      2     247          1244
