   Dump For Table car_details from Database dgfpmis_ss8 on 10-25-2018 07:29
Dist_Name	MonthYear	EC	Pill	Con	Inj	IUD	Imp	PerM	PerF	TPer	TUser	CAR	
Pabna	July 2007	514691	223499	33799	57205	14389	9527	4191	31410	35601	374020	72.6688
Pabna	August 2007	515337	224908	33923	60140	14716	9410	4280	31603	35883	378980	73.5402
Pabna	September 2007	515792	223283	33966	63191	14193	9330	4346	31723	36069	380032	73.6793
Pabna	October 2007	516323	222115	33900	65414	14163	9330	4423	31851	36274	381196	73.8290
Pabna	November 2007	517249	220857	34010	68147	14604	9730	4503	32044	36547	383895	74.2186
Pabna	December 2007	516857	219786	33840	69387	15547	9913	4981	31760	36741	385214	74.5301
Pabna	January 2008	518636	219541	33183	72057	15796	10598	4732	32261	36993	388168	74.8440
Pabna	February 2008	519530	219250	32994	74472	15656	11056	4796	32455	37251	390679	75.1985
Pabna	March 2008	520189	218770	32583	75807	16012	11515	4887	32646	37533	392220	75.3995
Pabna	April 2008	521162	218032	32092	77200	16428	12063	4963	32796	37759	393574	75.5186
Pabna	May 2008	521080	217307	30680	78903	16725	12444	5001	32948	37949	394008	75.6137
Pabna	June 2008	522290	217266	30968	79587	17113	13108	5052	33060	38112	396154	75.8494
Pabna	July 2008	523181	217077	31077	80526	17284	13459	5086	33205	38291	397714	76.0184
Pabna	August 2008	519204	216670	31124	81208	17570	13682	5142	33367	38509	398763	76.8028
Pabna	September 2008	524211	216760	31156	81626	17753	13889	5197	33445	38642	399826	76.2720
Pabna	October 2008	523711	216644	32224	82129	17859	14154	5227	33565	38792	401802	76.7221
Pabna	November 2008	524610	217597	31957	83275	18391	14468	5287	33724	39011	404699	77.1428
Pabna	December 2008	525243	216498	31690	84098	18646	14609	5338	33848	39186	404727	77.0552
Pabna	January 2009	525832	215863	32032	84194	18821	14929	5340	33846	39186	405025	77.0256
Pabna	February 2009	527466	216590	32040	85492	18973	15003	5345	34291	39636	407734	77.3005
Pabna	March 2009	528263	216297	32091	86700	19350	14888	5409	34053	39462	408788	77.3834
Pabna	April 2009	529586	215273	32373	87453	19476	14946	5561	34220	39781	409302	77.2872
Pabna	May 2009	530194	216057	32541	87696	19901	14718	5643	34238	39881	410794	77.4799
