   Dump For Table car_details from Database dgfpmis_ss8 on 10-25-2018 07:29
Dist_Name	MonthYear	EC	Pill	Con	Inj	IUD	Imp	PerM	PerF	TPer	TUser	CAR	
Meherpur	May 2007	148689	65393	11766	15988	2357	505	933	18779	19712	115721	77.8275
Meherpur	June 2007	149236	62770	11653	19204	1586	487	923	18910	19833	115533	77.4163
Meherpur	July 2007	149679	61310	11573	21483	1589	492	922	18991	19913	116360	77.7397
Meherpur	August 2007	150038	59778	11471	23210	1581	569	918	19064	19982	116591	77.7076
Meherpur	September 2007	150033	58999	11446	23929	1560	465	920	19112	20032	116431	77.6036
Meherpur	October 2007	150034	58769	11427	24584	1554	450	913	19177	20090	116874	77.8983
Meherpur	November 2007	149987	57236	11383	26167	1566	518	896	19277	20173	117043	78.0354
Meherpur	December 2007	150624	56598	11360	27448	1610	562	892	19367	20259	117837	78.2326
Meherpur	January 2008	150731	55896	11307	28139	1656	664	899	19499	20398	118060	78.3250
Meherpur	February 2008	151339	55626	11327	28991	1647	723	905	19667	20572	118886	78.5561
Meherpur	March 2008	151375	55160	11124	29666	1664	832	899	19815	20714	119160	78.7184
Meherpur	April 2008	151897	54639	10953	30244	1690	908	899	19961	20860	119294	78.5361
Meherpur	May 2008	151960	54377	10880	30686	1692	949	901	20026	20927	119511	78.6464
Meherpur	June 2008	151950	53836	10845	31179	1690	1004	899	20091	20990	119544	78.6732
Meherpur	July 2008	152115	53921	10806	31423	1691	1068	901	20173	21074	119983	78.8765
Meherpur	August 2008	152055	53057	10809	31729	1705	1097	901	20263	21164	119561	78.6301
Meherpur	September 2008	151816	52807	10812	32022	1701	1120	898	20372	21270	119732	78.8665
Meherpur	October 2008	152046	52395	10768	32610	1717	1103	914	20458	21372	119965	78.9005
Meherpur	November 2008	152144	52469	10831	32974	1864	1151	898	20603	21501	120790	79.3919
Meherpur	December 2008	152147	52088	10849	32096	1905	1167	899	12674	13573	111678	73.4014
Meherpur	January 2009	152449	51926	10879	33705	1962	1200	906	20848	21754	121426	79.6502
Meherpur	February 2009	151783	46349	10881	33768	2019	1235	903	20886	21789	116041	76.4519
Meherpur	March 2009	152709	50663	11030	34108	2094	1244	910	21131	22041	121180	79.3535
Meherpur	April 2009	152806	51976	11174	34323	2271	1237	903	21747	22650	123631	80.9072
Meherpur	May 2009	153081	51923	11222	34357	2351	1422	920	21745	22665	123940	80.9637
