"Survey.Units","BCG_Children12M","DPT1_Children12M","DPT2_Children12M","DPT3_Children12M","OPV1_Children12M","OPV2_Children12M","OPV3_Children12M","Measles_Children12M","Fully_Children12M","TT1_Woman15-49Y","TT2_Woman15-49Y","TT3_Woman15-49Y","TT4_Woman15-49Y","TT5_Woman15-49Y","TT1_Woman18-25Y","TT2_Woman18-25Y","TT3_Woman18-25Y","TT4_Woman18-25Y","TT5_Woman18-25Y","MeaslesCoverage_Children9M-9Y","OPVCoverage_1stRound_Children59M","OPVCoverage_2stRound_Children59M","OPVCoverage_3stRound_Children59M","OPVCoverage_All_Children59M","VitACoverage_PostPartum","VitACoverage_Children12-59M","VitACoverage_Infants9-11M","AnthelminticCoverage_Children24-59M","Year"
"B.Baria",94.8,90.3,84.6,59.4,90.3,84.6,82.2,63,"48.5",95.2,92.9,71,40.5,17.6,82.9,78.1,58.6,25.7,9,76.2,96.7,94.3,96.2,93.8,7.6,89.6,89.6,78.6,2006
"Bagerhat",98.1,94.7,93.6,84.4,94.7,93.6,91.4,79.4,"72.2",95.2,92.4,71.4,38.6,20,89.5,84.8,68.1,41.9,21.9,86.7,97.6,98.6,97.1,94.8,33.3,94.3,94.3,83.4,2006
"Bandarban",88.1,86.8,85.1,78.3,86.8,85.1,83.2,64.9,"60.3",85.2,82.9,63.8,40.5,20.5,83.8,80,58.1,32.4,17.6,83.8,94.3,92.4,90.5,83.3,41.4,88.9,88.9,89.1,2006
"Barguna",99.5,99.5,96.8,81.5,99.5,97.6,93.5,84.7,"71.6",98.1,97.1,73.3,38.1,15.7,94.8,93.8,70.5,37.6,15.2,90,97.1,98.1,96.2,94.8,54.3,97,97,NA,2006
"Barisal",99,98.3,98.1,81.1,98.3,98.1,96,86.9,"71.4",95.7,93.3,76.7,47.6,21.9,91.9,88.1,67.6,30,12.4,94.8,100,99.5,98.6,98.1,44.3,97.1,97.1,97.4,2006
"Barisal CC",99,97.4,96.1,85.7,97.4,96.1,94.9,79.4,"73.4",98.1,96.7,74.3,38.6,13.8,80.5,77.1,50,22.9,9,91.4,98.1,98.1,98.1,95.2,51.4,95.1,95.1,92,2006
"Barisal Division",98.9,98,96.4,83.5,98.1,96.6,94.2,79.9,"71.1",95.6,93.5,69.5,36.1,16.1,88.4,83.5,59.7,28,11,91.5,96.9,96.5,95.8,92.7,41.9,92.9,92.9,89.6,2006
"Bhola",99.5,99.5,93.8,81.5,99.5,93.8,88.3,69.2,"65.5",92.4,89.5,70.5,37.6,19.5,89,82.4,50,20,6.2,82.4,87.6,84.8,82.9,71.9,24.8,72.2,72.2,67.7,2006
"Bogra",99.5,99.5,98.1,90.2,99.5,98.1,95.5,84.1,"80.8",99.5,97.6,81.4,51.4,27.1,96.2,92.9,72.9,47.1,24.8,80.5,92.4,92.9,95.7,84.3,42.4,85.2,80.5,75.9,2006
"Chandpur",98.6,98.6,97.9,88.1,98.6,97.9,94.9,84.3,"77.0",98.1,97.6,86.7,57.1,31,95.7,94.3,74.3,44.3,20,83.3,96.7,97.1,98.6,94.8,33.8,95.8,84.2,89.7,2006
"Chapai Nawabganj",99.5,97,97.3,83.5,97,97.3,91.9,80.2,"72.5",97.1,93.8,80.5,59,31.9,91.9,87.6,69,49,30.5,99,100,100,100,100,8.1,99.5,77.1,NA,2006
"Chittagong",99,99,98.6,85.1,99,98.6,96.4,81.5,"71.7",98.1,96.2,74.8,45.7,22.4,88.1,84.3,62.9,31.4,11.4,97.6,99.5,99.5,99.5,99.5,41.4,96.1,96.1,97.3,2006
"Chittagong CC",99.5,97.9,95.4,84.1,97.9,95.4,91.9,78.9,"73.2",97.1,96.2,73.8,33.3,17.6,78.1,71.9,51,27.1,12.9,86.7,98.6,97.1,97.1,94.3,33.8,94.8,94.8,90.7,2006
"Chittagong Division",95.8,94.7,91.7,78.4,94.7,91.9,87.5,73.1,"66.0",95.1,92.8,74.2,45.1,22.2,88.7,84.7,61.7,32.5,13.5,80,94.9,93.4,93.3,88.3,25.4,88.9,88.9,84,2006
"Chuadanga",100,97.1,98.8,87.9,97.1,99.5,97,89.2,"79.4",97.6,95.7,76.2,35.2,14.8,91,84.8,56.2,27.6,8.1,84.8,98.1,97.1,98.1,95.7,26.7,92,92,93.8,2006
"Comilla",99.5,98,96.9,78.7,98,97.6,95.1,79.1,"65.9",99.5,98.6,86.2,54.3,21,92.4,89.5,59,28.6,7.1,83.8,96.7,94.8,94.3,90.5,11.9,79.7,71.4,81,2006
"Cox’s Bazar",97.6,95.2,85.6,72.9,95.2,86.2,80.1,65,"60.6",98.1,92.9,73.8,51.9,30,97.1,94.8,75.7,45.7,15.2,81,96.2,92.9,96.7,91.4,11.9,86.8,45.1,83.5,2006
"Dhaka",99.5,99,97.8,87.9,99,97.8,97.6,82.9,"75.6",96.2,93.8,77.1,50,28.1,88.1,84.3,62.4,37.6,21.4,89.5,98.6,97.6,97.1,95.2,29.5,96.2,83,93.4,2006
"Dhaka CC",98.6,97.6,97.1,85.8,97.6,97.1,91.8,80.3,"75.7",97.1,95.7,71.9,35.2,14.3,75.7,68.1,47.1,30,19.5,85.2,99,98.1,95.2,92.9,39.5,89.8,78.6,82.1,2006
"Dhaka Division",98.9,98,96.3,84.6,98.1,96.7,93.1,77.9,"71.5",97,94.7,73.5,41.4,19.2,90.5,85.8,63.5,34.5,16.2,88.8,97.6,97,96.6,93.7,28.8,93,74.9,88.2,2006
"Dinajpur",100,99.5,96.7,91.8,99.5,96.7,95.6,81.9,"77.5",98.6,97.1,83.3,53.3,26.2,96.2,92.4,76.2,49,25.2,84.3,99,97.1,93.8,91.9,15.7,91.6,79.9,NA,2006
"Faridpur",99.5,99.5,98.1,80.3,99.5,98.1,93.4,72.5,"67.7",97.6,95.7,70.5,43.8,21,94.3,91,69.5,41.9,19,96.2,98.1,97.6,95.2,95.2,42.9,90.7,72.2,83.5,2006
