"Survey.Units","BCG_Children12M","DPT1_Children12M","DPT2_Children12M","DPT3_Children12M","OPV1_Children12M","OPV2_Children12M","OPV3_Children12M","Measles_Children12M","Fully_Children12M","TT1_Woman15-49Y","TT2_Woman15-49Y","TT3_Woman15-49Y","TT4_Woman15-49Y","TT5_Woman15-49Y","TT1_Woman18-25Y","TT2_Woman18-25Y","TT3_Woman18-25Y","TT4_Woman18-25Y","TT5_Woman18-25Y","MeaslesCoverage_Children9M-9Y","OPVCoverage_1stRound_Children59M","OPVCoverage_2stRound_Children59M","OPVCoverage_3stRound_Children59M","OPVCoverage_All_Children59M","VitACoverage_PostPartum","VitACoverage_Children12-59M","VitACoverage_Infants9-11M","AnthelminticCoverage_Children24-59M","Year"
"Feni",99.5,99,98.5,89.7,99,99,96.3,86.6,"81.3",98.1,97.6,86.7,61.4,26.7,96.7,96.7,85.7,52.9,25.7,80.5,100,100,100,100,11.4,98.5,98.5,93,2006
"Gaibandha",100,99.2,97.3,83.4,99.2,97.3,90.4,66.8,"59.7",98.1,95.2,65.2,37.1,11.9,89.5,82.4,54.3,26.7,11,92.9,97.1,97.1,97.6,96.7,81.9,96.1,63.4,92.1,2006
"Gazipur",98.6,98.6,97.1,85.8,98.6,97.1,94.3,75.1,"69.8",98.6,97.1,80.5,41,19.5,94.3,90,66.2,37.1,17.6,91,99.5,98.1,99,96.7,44.8,92.6,74,89,2006
"Gopalganj",99.5,99.5,96.7,82.8,99.5,96.7,90.3,74.8,"67.2",93.8,91,70,44.3,18.1,81.4,75.2,49,27.1,13.8,89.5,99.5,98.1,97.1,97.1,41,95.1,78.5,88.3,2006
"Habiganj",94.3,93.6,91,84.1,93.6,91,88.6,71,"67.3",97.6,96.2,75.7,49.5,21.4,89,85.7,64.3,35.2,12.9,82.4,92.9,93.8,94.8,91,18.1,94,94,95.2,2006
"Jamalpur",98.1,98.1,95,85.6,98.1,95,93.3,75,"68.3",95.7,92.9,76.7,40,15.7,90,82.9,62.4,33.3,12.4,83.3,89,92.9,96.2,85.7,28.6,94.3,71.5,84.6,2006
"Jessore",99,98.4,97,86.8,98.4,97,96.5,85.7,"75.2",99,98.1,79.5,48.1,21,97.1,95.2,77.1,46.2,21.9,93.3,98.6,99.5,99,98.1,20.5,96.6,96.6,93.6,2006
"Jhalokati",98.6,95.1,96.7,79.8,95.8,96.7,95.4,78.6,"65.8",95.2,91,57.6,21.9,8.1,88.1,85.7,69,37.6,15.7,92.9,98.1,98.6,96.2,93.8,24.8,90.9,90.9,89.4,2006
"Jhenaidah",100,99.2,99.5,94.8,99.2,99.5,99.5,83.8,"82.0",95.2,94.3,68.1,39.5,13.3,93.8,88.6,61.9,28.1,12.4,94.3,100,100,100,100,9,99.5,99.5,96.9,2006
"Joypurhat",100,99.3,98.3,81.2,99.3,99,94.3,83.6,"72.1",96.7,91.9,65.7,39,13.3,97.1,94.3,70,47.1,21.9,96.2,99.5,99.5,99.5,99.5,34.8,99,83.3,97.9,2006
"Khagrachari",93.8,93.3,88.4,74.7,93.3,88.4,81.9,70.7,"64.5",93.8,90.5,74.3,44.3,23.8,82.9,77.1,45.2,25.7,12.4,69.5,89.5,90.5,87.6,79.5,40.5,85,58.2,78.5,2006
"Khulna",99,97.8,96.4,86.1,97.8,97,94.3,86.7,"78.7",98.6,95.2,76.7,43.8,21,97.1,94.8,70.5,42.9,17.1,93.8,99,99.5,100,99,55.7,99,99,96,2006
"Khulna CC",99,96.3,97.6,89,96.3,97.6,94,81.3,"77.5",98.6,98.1,75.7,40,23.8,86.7,81.9,58.1,31.4,12.4,85.2,99.5,99.5,100,99.5,51,98,98,92.3,2006
"Khulna Division",99.3,97.4,96.8,87,97.4,97.2,94.6,83.7,"76.6",97.5,95.2,74.1,39.8,18,91.8,86.8,62.7,33.8,14.2,88.2,98.4,98.4,98,96.2,26.1,95.1,95.1,91.5,2006
"Kishoreganj",98.1,96.8,94.9,87.5,96.8,96.2,92,83.1,"78.5",97.6,96.2,81.4,51,25.2,94.3,90,69,42.9,17.1,85.2,98.1,98.1,97.1,95.2,24.8,91.8,78.3,74.3,2006
"Kurigram",99,97.2,96.1,83,97.2,96.7,91.3,77.6,"70.5",95.2,91.4,72.4,36.7,17.1,95.2,88.1,61.4,31.4,12.4,92.4,99.5,98.6,97.6,97.1,27.6,95.1,77.8,NA,2006
"Kushtia",99,94.8,94.7,77.4,94.8,95.4,92,75.2,"64.3",95.2,90.5,68.6,38.6,15.7,93.8,87.1,62.4,24.3,8.6,87.6,98.6,97.1,97.1,94.8,1.9,95.6,95.6,90.6,2006
"Lakshmipur",95.7,95,94.3,78.3,95,94.3,86,77.4,"69.4",97.1,94.8,73.8,42.9,21.4,95.7,91.4,61.9,26.2,7.6,67.6,86.7,84.8,89.5,78.1,21.4,83.6,83.6,67.5,2006
"Lalmonirhat",100,98.9,94.9,69.2,98.9,95.6,88.3,73.3,"56.3",96.2,92.4,37.6,19.5,6.7,97.1,92.4,55.7,27.6,9,97.1,98.6,98.6,97.1,94.8,45.2,96.6,72.2,NA,2006
"Madaripur",99.5,95.6,94.1,78.8,95.6,94.9,90.4,75,"64.1",96.7,92.4,66.2,32.4,14.8,91.4,88.1,59,27.1,8.1,90.5,98.6,95.7,91.9,89.5,8.6,81.8,63.9,77.2,2006
"Magura",99.5,98.8,95.6,81,98.8,97.1,90.9,86.5,"75.0",98.6,96.7,75.2,41.9,18.1,95.2,88.6,67.1,46.2,22.9,91,98.1,95.7,96.7,94.3,40.5,91.8,91.8,86.2,2006
"Manikganj",99,97.3,96.7,84.1,97.3,96.7,94.4,79.3,"72.3",98.1,96.2,70.5,40.5,17.1,86.2,78.1,55.7,31.4,21,90,100,99,96.2,95.2,33.8,91.8,79.3,90.7,2006
"Meherpur",99,99,97.1,84.5,99,97.1,91.6,81,"75.0",97.1,92.4,65.2,25.7,11,87.1,77.6,41.4,17.6,7.1,81,97.6,98.1,96.7,93.3,22.4,91.8,91.8,NA,2006
"Moulavibazar",93.8,92.5,85.8,73.9,92.5,86.4,80.2,63.9,"57.1",93.3,90,71.4,49,21,80,72.4,52.9,28.1,11.9,80.5,94.8,92.9,92.9,88.6,40.5,87.6,87.6,76.3,2006
"Munshiganj",100,97.5,98.7,83.7,99.2,98.7,97.6,72.4,"61.6",99.5,98.1,83.8,55.2,26.2,93.8,90.5,79,47.1,27.1,92.4,98.6,98.6,98.1,97.1,35.2,97.5,69.2,96.2,2006
"Mymensingh",98.6,97,96.8,85.2,97,97.6,90,76.4,"75.5",96.2,93.8,65.2,34.8,16.7,91.9,87.1,61,22.9,9.5,74.8,92.9,93.3,92.4,86.7,15.2,84.5,75.2,79.1,2006
"Naogaon",99,99,97.1,91.2,99,97.1,95.1,83.7,"81.6",99.5,98.1,84.3,52.4,21.4,93.3,90.5,69.5,45.2,20,90,96.2,96.2,95.7,91,26.2,92.3,77,85,2006
"Narail",99,96.6,94.2,86.7,96.6,95,92.8,84,"77.3",97.1,95.7,79.5,40.5,19.5,89,85.7,64.3,33.3,13.8,93.8,100,100,100,100,12.9,97.5,97.5,94.9,2006
"Narayanganj",98.1,98.1,96.7,85.2,98.1,96.7,94.8,81.9,"74.2",96.7,93.3,69,32.9,11.9,95.2,91,66.2,35.7,16.2,88.6,93.3,91,92.9,80.5,15.7,89.2,79.6,84,2006
"Narsingdi",97.1,96.2,95.2,84.7,96.2,95.2,91.4,73.8,"70.5",96.7,94.3,77.1,44.8,21.4,91.9,86.2,59.5,31.4,11.9,76.7,98.1,95.2,97.1,93.8,25.2,95.9,61,94.5,2006
"National",98.3,97.1,95.2,83.6,97.1,95.5,92,77.9,"71.0",96.2,93.7,72.4,41.1,18.9,90.3,85.4,62.4,33.5,14.8,87,97,96,96,93,29,93,73,88,2006
"Natore",98.6,97,95.6,79.3,97,95.6,94.7,77.9,"64.8",97.1,93.8,68.1,35.2,21.9,95.7,92.4,66.2,41,21,88.6,100,97.6,98.1,96.7,16.2,96.5,74.4,90.2,2006
"Netrokona",97.6,96.1,91.3,81.4,96.1,92.4,90.3,64.7,"60.6",96.7,94.8,80.5,49,27.6,97.6,94.3,71.9,35.2,12.4,94.3,99.5,100,100,99.5,2.4,99.5,62.3,98.7,2006
"Nilphamari",99,96.3,95.7,82.9,96.3,95.7,91.4,69.8,"63.7",97.1,94.3,73.3,37.1,13.3,86.7,82.4,59.5,26.7,7.6,86.7,99.5,99.5,98.6,98.1,26.7,95.9,56,NA,2006
"Noakhali",91.9,91.1,87.1,68.9,91.1,87.9,81.3,56.7,"48.3",93.3,91,70.5,41,21.9,90,85.2,57.6,27.1,11,81.9,89,88.1,86.2,77.6,13.8,85.3,85.3,79.6,2006
"Pabna",99,99,96.7,86.2,99,96.7,95,85.5,"78.4",99,97.6,80.5,52.9,24.8,95.7,93.3,72.9,42.4,20,91.9,100,98.6,96.7,96.2,26.7,93.8,64,92.7,2006
"Panchagarh",98.6,97.9,97.4,89.9,97.9,98.1,96.2,84,"78.9",96.7,90,70.5,35.2,12.4,91.9,85.7,61,26.2,12.4,95.7,98.6,98.1,97.1,95.7,25.2,97.5,69.1,NA,2006
"Patuakhali",98.6,98.1,96.4,86.4,98.1,96.4,95.7,78.8,"72.3",94.8,93.8,62.4,28.1,11.9,91.9,81.4,53.3,20,8.6,97.1,99,97.1,99.5,97.1,60.5,98.5,98.5,98.9,2006
"Pirojpur",98.1,98.1,97.1,88.7,98.1,97.1,95.6,82.1,"78.0",95.2,93.3,71.4,41,21.9,82.9,76.2,57.6,28.1,10,91.9,98.1,99,99,97.6,33.3,99,99,98.9,2006
"Rajbari",100,98.1,98.1,88.6,98.1,98.1,93.4,80.7,"76.2",98.1,96.7,77.1,44.3,16.7,88.1,84.3,55.2,27.6,11.4,91.4,99,98.1,98.1,97.1,23.8,95.6,69.7,90.4,2006
"Rajshahi",99.5,98.9,97.6,86.3,98.9,97.6,93.5,78.2,"73.1",97.6,93.3,74.3,43.8,17.1,93.8,86.7,63.3,35.2,20,69,97.1,96.2,94.3,90.5,22.4,90.7,74.9,NA,2006
"Rajshahi CC",100,100,99,88.2,100,99,96.7,83.8,"78.1",99,97.6,82.9,58.1,34.3,96.2,90,75.2,51.9,26.7,88.1,100,99.5,99.5,99,42.4,95.9,82.1,NA,2006
"Rajshahi Division",99.3,98.4,96.9,85.3,98.4,97.2,93.7,79.5,"72.6",96.7,93.4,71.2,41,18.5,93.5,88.7,65.2,37.3,17.5,89.3,97.4,96.3,96.1,92.2,28.8,93.5,73.2,87.2,2006
"Rangamati",91.9,90.6,86.5,71.3,90.6,86.5,79.8,65.3,"60.5",87.1,82.4,55.7,28.6,12.4,81,72.9,50,23.3,11.9,68.1,95.2,89,82.9,76.7,35.2,82,82,77.7,2006
"Rangpur",98.1,98.1,94.8,86.8,98.1,96.2,94.5,82.9,"75.4",97.6,92.9,75.7,38.1,15.7,92.4,85.7,59,26.2,11,88.1,99,95.2,91.9,90,22.9,89.9,54.8,NA,2006
"Satkhira",100,98.8,100,97.5,98.8,100,100,86.8,"84.7",100,98.6,78.6,46.2,19.5,89.5,86.2,62.9,31.9,10.5,79,95.7,96.7,92.9,88.6,13.8,90.3,90.3,87,2006
"Shariatpur",100,100,98.3,87.7,100,100,96.5,90.9,"80.4",94.8,89.5,63.3,33.8,20.5,94.8,92.9,79,48.1,27.1,97.6,100,100,100,100,48.1,99.5,73.9,96.5,2006
"Sherpur",99.5,99.5,92.4,76.3,99.5,93.3,87.3,77.9,"67.1",98.6,97.1,71.9,37.1,13.3,88.1,82.4,59.5,27.1,11,88.6,97.6,96.7,97.6,94.8,44.3,90.4,74.6,86.7,2006
"Sirajganj",98.6,97.6,95.2,84.1,97.6,96.2,91.9,75.8,"70.4",79.5,73.3,35.2,11,1.9,84.8,77.1,50,22.9,11,79,79,71.9,80.5,46.7,14.8,75,76,74.4,2006
"Sunamganj",94.8,88.3,82.4,68.1,89,82.4,77.9,51.1,"44.6",88.6,87.1,54.8,30,12.4,81.9,70,41.9,17.1,7.6,49,96.2,93.8,92.9,91,15.2,89.8,89.8,77.9,2006
"Sylhet",97.1,96.7,94.6,85.9,96.7,94.6,90.3,76.8,"74.7",90.5,87.6,71,41.4,21,86.2,82.9,61.9,25.7,6.2,87.1,97.1,97.6,95.7,95.2,10.5,95.1,95.1,93.7,2006
"Sylhet CC",95.2,94.5,91.2,83,94.5,91.9,86.6,77.4,"75.2",92.9,90.5,68.6,31,13.3,69,61.9,45.2,27.1,12.4,83.8,98.6,99,98.6,97.1,23.8,96.6,96.6,91.9,2006
"Sylhet Division",95,93.1,89,79.1,93.3,89.2,84.8,68,"63.7",92.6,90.3,68.3,40.2,17.8,81.2,74.6,53.2,26.7,10.2,76.6,95.9,95.4,95,92.6,21.6,92.7,92.7,87.2,2006
"Tangail",99.5,99.5,98.6,90.3,99.5,98.6,97.1,85.4,"81.2",97.6,95.2,70,35.7,17.6,92.4,87.6,71,36.7,15.7,92.9,97.6,97.6,96.7,94.3,15.2,96.6,84.1,95.9,2006
"Thakurgaon",99.5,98.8,98.8,90.4,98.8,99.5,96.2,80.8,"75.4",99.5,97.6,79.5,37.6,17.1,96.2,93.8,72.4,38.6,12.9,99,100,100,100,100,10,97.5,75.6,NA,2006
