"Survey.Units","BCG_Children12M","OPV1_Children12M","PENTA1_Children12M","OPV2_Children12M","PENTA2_Children12M","OPV3_Children12M","PENTA3_Children12M","Measles_Children12M","Fully_Children12M","BCG_Children23M","OPV1_Children23M","PENTA1_Children23M","OPV2_Children23M","PENTA2_Children23M","OPV3_Children23M","PENTA3_Children23M","Measles_Children23M","Fully_Children23M","InvalidPENTA1_Infant12M","InvalidPENTA2_Infant12M","InvalidPENTA3_Infant12M","InvalidMeasles_Infant12M","DropoutPENTA1-PENTA3_Children23M","DropoutPENTA1-Measles_Children23M","TT1_Mother0-11MChildren","TT2_Mother0-11MChildren","TT3_Mother0-11MChildren","TT4_Mother0-11MChildren","TT5_Mother0-11MChildren","TT1_Woman18-49Y","TT2_Woman18-49Y","TT3_Woman18-49Y","TT4_Woman18-49Y","TT5_Woman18-49Y","PAB_Mother0-11MChildren","OPVCoverage_1stRound_Children59M","OPVCoverage_2stRound_Children59M","OPVCoverage_All_Children59M","VitACoverage_Infants6-11M","VitACoverage_Children12-59M","VitACoverage_PostPartum","AnthelminticCoverage_Children24-59M","Year"
"CCC",98.6,92.1,87.1,90,87.9,86.7,87.4,77.1,70.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,8.1,10.2,11.4,3.9,6.3,99,98.1,79,61.4,37.6,91,88.6,71.9,50,30.5,NA,99,99,99,98.6,99.5,37.1,97.1,2013
"Chandpur",99.5,99.5,95.3,98.1,97.5,92.7,92.1,85.7,79.8,99.5,99.5,95.3,98.1,97.5,93.9,92.7,86.9,81,4.3,4.9,8.2,4,3.8,9.1,98.1,95.7,84.8,65.7,41,93.8,90.5,74.3,53.3,30,90,84.8,81.4,78.1,65.7,67.6,27.1,62.4,2013
"Chapai Nawabganj",100,91.9,88.5,91.5,90.4,90.7,90.7,89.1,84.8,100,91.9,88.5,91.5,90.4,90.7,90.7,92,87.8,4,4.6,5.4,1.3,3.4,4.8,97.1,96.7,88.1,64.3,42.9,93.3,91,75.2,53.8,34.8,91,96.7,96.7,96.2,82.4,90,25.2,84.8,2013
"Chittagong",100,96.7,92.2,96.7,95.6,94.6,94.6,91.2,86.5,100,96.7,92.2,96.7,95.6,94.6,94.6,91.7,87.1,4.4,5.6,7.5,3,1.4,4.3,99.5,99,90.5,77.1,55.2,96.2,95.2,87.1,68.1,42.9,97.6,99,99.5,99,92.4,99.5,29.5,95.2,2013
"Chittagong CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,98.6,92.1,87.1,90,87.9,87.4,87.4,82.5,74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
"Chittagong Division",98.7,94.3,89.3,93.2,91.6,90.9,91.2,85.3,79.3,98.7,94.3,89.3,93.2,91.6,91.5,91.3,88.1,81.8,5.3,7.1,8.8,4.3,2.2,6,97,95.8,84.5,65.6,46.1,91.8,89.3,77.3,56.3,34.9,95,95.3,94.4,93.5,82.2,91.7,43.1,88.5,2013
"Chittagong Slum",97.6,92.3,86.7,86.8,86.8,82.1,84.3,63.3,60.1,97.6,92.3,86.7,86.8,86.8,82.1,84.3,70,66.9,5.7,6.1,8.1,9.6,8.8,21.1,95.2,91.9,59.5,39,22.4,84.3,80,61.9,38.6,24.8,NA,96.7,97.1,96.7,NA,NA,NA,NA,2013
"Chuadanga",100,93.3,88,93.8,92.7,91.3,90.2,92.2,84.4,100,93.3,88,93.8,92.7,91.3,90.2,92.2,84.4,5.3,6.5,9.2,4.6,1.4,2.4,99,96.7,90,67.6,47.1,93.8,93.3,76.7,56.2,30,93.8,98.1,97.1,96.7,90,96.2,21,92.4,2013
"Com CC",99,89.3,85.5,90,88.5,88.5,86.2,88.9,82.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,5.3,9.2,3.5,0,1.9,99.5,99.5,88.6,66.2,51.4,91.4,89,78.1,51.9,29,NA,98.1,98.1,98.1,95.2,94.8,23.3,86.2,2013
"Comilla",100,92.1,86.5,90.8,86.1,92.2,92.2,88.3,79.4,100,92.1,86.5,90.8,86.1,93.1,92.2,92.5,82.9,6.3,12.1,13.1,1.8,0.5,3.3,99,98.1,93.8,85.7,69.5,91.9,89,79.5,58.1,28.1,96.2,97.1,91.4,91,86.2,95.2,14.8,91,2013
"Comilla CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,99,89.3,85.5,90,88.5,89.2,86.2,92.2,84.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.6,NA,NA,NA,NA,NA,NA,NA,2013
"Cox’s Bazar",100,95.9,90,95.9,94.7,94.2,94.2,90.8,84.5,100,95.9,90,95.9,94.7,94.8,94.8,93.8,87.6,5.9,7.1,9.1,3.2,0.5,1.9,98.6,96.7,87.1,67.1,43.3,99.5,99,89.5,67.1,44.8,91.4,99,99,99,40,98.1,31.9,94.8,2013
"Ctg CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.8,NA,NA,NA,NA,NA,NA,NA,2013
"Ctg Slum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.9,NA,NA,NA,90.5,94.3,32.4,88.1,2013
"Dhaka",100,98.5,94.8,97.6,95.4,95.6,96.3,90.2,85.6,100,98.5,94.8,97.6,95.4,95.6,96.3,92.5,87.9,3.7,6,6.8,1.6,1.4,5.2,94.8,93.3,74.3,54.8,37.1,87.1,84.8,67.6,48.1,30.5,88.6,94.3,93.8,93.8,89.5,95.2,21.4,92.9,2013
"Dhaka Division",99.4,95,90.9,93.6,92,91,91.6,83.6,79,99.4,95,90.9,93.8,92.1,91.6,91.9,87.7,82.7,4.3,6,7.6,4.3,2.4,7,97.6,96.1,81.7,61.3,40.9,90.3,87.8,72.3,50.4,31.6,81.6,94.6,92,91.2,86,93,32.3,89.4,2013
"Dhaka North CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,100,95.4,90.8,93.6,91,93.2,93.2,89.6,84,4.6,6.6,7.4,3,2.9,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.6,NA,NA,NA,NA,NA,NA,NA,2013
"Dhaka Slum",97.1,96.2,95.3,91.5,91.5,83.4,83.4,75.7,75.3,97.1,96.2,95.3,91.5,91.5,85.2,85.2,81.1,79.1,1,1,2.1,3.5,6.9,14.7,94.3,91.9,73.3,47.6,28.6,83.3,79.5,67.1,40.5,23.3,88.6,94.8,93.3,91.9,90.5,91.9,43.8,87.6,2013
"Dhaka South CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,99,96.8,91.7,94.3,93.6,91.2,91.9,83.8,80.6,5.2,5.9,7.6,6.6,1.4,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.9,NA,NA,NA,NA,NA,NA,NA,2013
"Dinajpur",99.5,95.4,91.3,95.9,95.4,96.4,97,87.8,85,99.5,95.4,91.3,95.9,95.4,96.4,97,90.4,87.6,4.2,5.3,5.9,4,0.5,3.4,98.6,96.7,90,81,61,95.7,94.3,79,62.9,45.7,93.8,98.6,97.6,97.1,89,92.9,42.4,88.6,2013
"DNCC",100,95.4,90.8,93.6,91,92.6,93.2,85.6,80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5,99,83.3,51.9,32.9,96.7,96.7,72.9,49.5,33.8,NA,99,99,99,96.2,97.6,38.6,96.2,2013
"DSCC",99,96.8,91.7,94.3,93.6,90.4,91.9,78.8,76.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.6,96.7,74.8,55.7,35.7,90.5,88.1,72.9,48.6,29.5,NA,95.2,96.7,95.2,92.4,95.2,36.2,90.5,2013
"Faridpur",99.5,96.8,92.1,94.1,94.1,93,93,86.7,81.8,99.5,96.8,92.1,94.7,94.7,94.4,93.7,90.8,85.3,4.7,4.8,7.1,3.8,2.4,5.3,92.4,90.5,75.7,54.8,30.5,85.7,83.8,69.5,48.6,32.4,87.1,91,81.4,79.5,72.4,85.7,43.3,76.7,2013
"Feni",99,96.7,90.3,96.7,94.9,92.9,95.2,86.4,80.4,99,96.7,90.3,96.7,94.9,94,95.8,89.5,82.8,7.1,8.9,9.2,5.3,1.4,4.8,99.5,98.1,91.9,75.2,56.7,94.8,93.8,85.2,60.5,33.8,94.3,100,100,100,100,100,59.5,100,2013
"Gaibandha",100,93.4,89.6,94,93.5,87.5,89.7,83.6,82.9,100,93.4,89.6,94,93.5,88.6,90.2,86.5,85.2,4.4,5.1,4.7,2.6,3.8,9.5,99,98.1,87.6,60,39,92.4,86.7,69,44.3,21.4,91.9,95.2,96.2,94.8,77.1,91,50.5,87.1,2013
"Gazipur",100,98.9,94.9,96.3,95.2,91.9,93,78.2,74.6,100,98.9,94.9,96.3,95.2,91.9,93,82.8,79.3,3.9,5.1,6.5,2.8,4.8,14.3,98.6,98.1,78.6,53.3,31.9,92.9,87.6,68.1,47.6,26.2,89.5,91.4,86.7,84.8,91,95.2,23.3,91,2013
"Gopalganj",99.5,94,91.9,94.2,94.2,94.1,94.1,87.5,85.3,99.5,94,91.9,94.2,94.2,94.1,94.1,91.1,89,2.1,2.1,2.9,2.4,1.9,6.2,98.6,97.6,85.2,69,53.3,88.1,85.7,71,53.3,34.3,92.9,97.1,92.4,91.9,93.3,93.8,30,91,2013
"Habiganj",98.6,94.4,91.7,93.5,92.8,91.8,92.5,87.2,85.7,98.6,94.4,91.7,93.5,92.8,93.2,93.2,90.6,88.5,2.8,3.6,3.6,1.5,2,3.9,98.1,90.5,78.6,63.8,47.1,84.8,80,57.6,41.4,24.8,77.1,92.9,88.6,88.1,88.6,87.6,21,86.2,2013
"Jamalpur",99,96.2,92.6,96.8,96.8,95.7,95.7,82.7,79.1,99,96.2,92.6,96.8,96.8,95.7,95.7,86.3,82.7,4.2,4.2,5.5,2.1,0.5,10.6,97.1,96.7,77.1,48.1,29.5,87.1,83.8,64.8,41.9,22.9,86.7,95.2,90.5,90,87.1,91.9,51.4,88.1,2013
"Jessore",99.5,95.8,92.1,97.4,95.2,94.8,94.2,89.4,83.3,99.5,95.8,92.1,97.4,95.2,95.9,94.8,92.1,85.5,3.7,6,8.3,1.8,1,5.3,98.6,97.6,82.4,61.4,44.3,90,87.6,71.9,55.2,37.1,90.5,94.8,94.8,94.3,84.3,94.8,41.9,93.8,2013
"Jhalokati",99.5,97.3,91.6,95.3,95.3,94.3,93.1,83.6,76.7,99.5,97.3,91.6,95.3,95.3,94.3,93.1,88.8,81.9,5.8,5.9,8.3,4.6,1.9,6.3,99,96.7,92.9,79.5,60,82.9,79.5,69.5,49,28.6,93.3,93.8,91.4,90.5,77.1,90,28.6,82.4,2013
"Jhenaidah",99.5,92.1,89.4,92.5,92,92.5,93.6,90.7,88.4,99.5,92.1,89.4,92.5,92,93,94.1,93.5,91.2,2.7,3.2,3.3,1.9,0.5,4.3,99.5,98.6,87.6,65.7,42.9,96.2,91,78.6,57.6,40,91.9,95.7,95.2,93.8,88.1,91.9,21,89,2013
"Joypurhat",100,99.4,96.1,100,98.3,96.6,98.3,90.2,86.9,100,99.4,96.1,100,98.3,97.8,98.3,92.4,88,3.3,4.5,6.1,3.6,0,4.3,99.5,97.6,88.1,67.1,44.8,95.7,95.2,82.4,62.9,39.5,95.7,98.6,97.6,97.6,91,95.2,31.9,90.5,2013
"KCC",99.5,95,94.4,92.7,92.7,92.4,93,86.6,86.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.3,0.7,1.5,1.9,6.2,98.1,96.2,81,59,39.5,90,88.1,66.7,39,24.3,90,95.7,95.7,95.7,94.3,97.1,51.9,96.2,2013
"Khagrachari",98.1,94.5,89,93,90.6,91.2,90,88.2,78.9,98.1,94.5,89,93,90.6,91.2,90,91.9,82.6,5.6,8.1,11.3,2.1,1.5,4.4,94.8,93.3,84.3,60,41.4,93.3,91.4,79.5,61.4,39,90.5,92.9,91.9,91.4,88.6,90,50,89.5,2013
"Khulna",99.5,96.5,94.1,95.6,95,95.5,95.5,91.3,88.3,99.5,96.5,94.1,95.6,95,95.5,95.5,92.6,89.5,2.4,3.7,4.3,1.3,1,5.7,99,94.8,77.1,51.4,33.3,93.8,91,72.4,51,28.6,80.5,98.6,98.6,98.6,90,98.6,35.2,97.6,2013
"Khulna CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5,95,94.4,92.7,92.7,93,93.7,92,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
"Khulna Division",99.7,95.3,92.2,94.8,93.7,93,93.1,88.8,84.8,99.7,95.3,92.2,94.8,93.7,93.5,93.3,91.3,87.1,3.4,4.6,5.8,2.7,1.7,5.5,98.8,96.8,84.1,63.3,42.9,93.3,90.3,73.4,50.2,30.6,88.7,96.5,96.4,95.8,83.4,93.2,35.4,91,2013
"Kishoreganj",100,96,91.9,95.4,94.3,92.8,94,89,87,100,96,91.9,95.4,94.3,93.4,94.5,91.3,89.4,4,5.2,5.4,3.7,1.4,2.9,98.1,96.7,85.2,68.6,51,95.2,93.3,77.6,55.2,34.3,96.7,94.3,95.7,92.9,64.3,96.7,18.6,90,2013
"Kurigram",100,96.9,92.2,95.1,94.5,93.6,92,84.4,77.5,100,96.9,92.2,95.1,94.5,94.1,92.5,89.1,82.2,4.7,5.4,7.7,4.2,3.3,6.7,99,95.7,68.1,40.5,18.1,92.4,85.7,58.1,36.2,20.5,88.6,100,100,100,66.2,92.4,59.5,93.8,2013
"Kushtia",100,93.5,86.9,92.6,91.6,88.4,89.5,83.8,76.9,100,93.5,86.9,92.6,91.6,90.1,89.5,88.9,80.3,7.2,8.3,10.8,3.9,2.9,7.2,99,97.1,86.7,70,45.2,92.9,91,71,45.7,26.2,85.2,93.3,91,90.5,78.6,89.5,24.3,86.2,2013
"Lakshmipur",100,94.9,93,96.2,95.5,95.5,94.8,90.2,88.8,100,94.9,93,96.2,95.5,96.1,94.8,92.1,90.1,2.5,2.6,4.5,1.4,0,4.8,97.6,96.2,87.6,68.1,51.9,90,85.2,73.3,51,27.1,90.5,91.4,92.4,88.6,85.7,85.7,31.9,83.8,2013
"Lalmonirhat",100,97.8,92.9,97.3,95.7,92.5,92.5,86.1,79.4,100,97.8,92.9,97.3,95.7,94.2,92.5,88.9,80.6,5.5,7.2,11.1,4.3,1.4,7.1,99,96.2,72.4,51.9,31,87.6,81.9,61,43.3,26.7,91,98.1,97.6,96.2,62.9,87.1,59.5,88.1,2013
"Madaripur",99,96.4,93.5,94,92.9,92.5,91.3,78.4,73,100,96.4,93.5,94,92.9,93.1,91.9,85,79.6,3.6,4.9,6.8,4.4,3.3,11.4,98.1,96.7,79.5,50.5,28.1,91,88.6,69,51.9,32.9,92.9,89,88.1,87.1,61.4,81.4,50.5,81,2013
"Magura",100,98.3,95.9,98.4,96.6,94.8,93.6,84.8,80,100,98.3,95.9,98.4,96.6,94.8,93.6,86.5,81.8,2.3,3.5,6,5.8,2.9,7.6,99.5,97.6,93.3,79.5,59.5,96.7,95.7,79.5,56.7,38.1,95.2,94.8,94.3,94.3,71,80,19.5,77.1,2013
"Manikganj",100,96.8,91.9,96.4,93.6,93.6,96.4,86.5,81.9,99,96.8,91.9,96.4,93.6,94.2,96.4,90.4,85.3,5,7.9,8.6,3.1,1,5.3,97.6,97.1,81,58.1,39.5,91,87.6,70.5,45.2,31.4,94.8,98.1,98.6,98.1,99,98.1,18.6,99,2013
"Meherpur",99.5,97.7,96,95.9,95.3,95.5,94.3,91.5,87.9,99.5,97.7,96,95.9,95.3,95.5,94.3,92.7,89.1,2.4,3,4.2,0.6,2.9,6.2,98.6,95.7,71.9,44.3,28.1,92.9,91,71.4,38.1,15.2,87.1,97.1,97.6,96.7,68.1,92.9,21,84.8,2013
"Moulavibazar",98.6,94.8,90.5,96.5,94.8,92.7,92.7,84.6,79,98.6,94.8,90.5,96.5,94.8,93.3,93.3,86.2,80.6,4.3,6.1,9,6.7,1,5.8,90,88.6,76.7,66.7,49,92.4,91.4,81.4,62.4,39,82.4,92.4,91.9,91,91.9,90,33.3,86.7,2013
"Munshiganj",99.5,98.2,95.8,97.6,95.2,96.1,94.3,94.1,87.5,100,98.2,95.8,97.6,95.2,96.7,94.3,95.9,88.7,2.4,4.8,7.8,1.3,1,2.9,96.7,96.2,91,80,61,94.3,93.3,85.7,65.7,42.9,90.5,98.1,98.6,98.1,91.9,96.7,36.7,91.9,2013
"Mymensingh",99,93.6,91.6,91.2,91.2,86.3,85.1,74.6,71.4,99.5,93.6,91.6,91.2,91.2,87,85.7,79.9,76.6,2,2,4.2,5,6.8,14.6,99,95.7,82.9,67.1,45.7,90,88.1,74.3,49.5,31.9,91.4,96.7,93.3,93.3,97.6,98.1,31.9,98.1,2013
"Naogaon",99,96.6,95.1,96.1,95.1,95.6,95.1,90.2,87.2,99,96.6,95.1,96.1,95.1,95.6,95.1,92.8,89.7,1.5,2.6,3.6,1.1,0.5,4.4,96.7,95.2,87.6,75.7,51.9,95.7,95.2,78.1,60.5,34.3,88.1,99.5,99,99,65.7,96.7,25.7,93.3,2013
"Narail",99.5,91.3,86.9,90,88.9,87.8,89.5,82.5,79.5,99.5,91.3,86.9,90,88.9,87.8,89.5,86.6,83.6,5.5,6.2,6.9,4.7,2.9,7.7,98.1,96.2,82.9,62.4,39,91.4,85.7,73.3,55.2,37.6,92.4,97.6,99,97.6,83.8,91.9,2.4,91.9,2013
"Narayanganj",98.6,94.5,87.7,89.7,87.5,89.9,91.4,79,74.6,99,94.5,87.7,91.2,87.5,90.7,92.2,86.4,80.7,7.6,11.5,11,4.3,1,5.3,97.1,96.7,83.8,67.6,46.7,91.9,90,75.2,51.4,33.8,93.3,100,99.5,99.5,100,100,22.9,100,2013
"Narayanganj CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.2,NA,NA,NA,NA,NA,NA,NA,2013
"National",99.3,95.1,90.9,94.1,92.6,91.6,92,85.5,80.7,99.3,95.1,90.9,94.2,92.6,92.2,92.3,88.7,83.6,4.4,5.8,7.4,3.8,2.2,6.4,98,96.3,83.4,63.9,43.6,91.6,88.8,73.6,52.2,32.1,91,95.7,94.3,93.6,84.3,92.8,35.8,89.8,2013
"Natore",98.1,93.7,88.8,93.7,91,91.7,91.1,90.3,81.7,98.1,93.7,88.8,93.7,91,91.7,91.1,92,83.4,5,7.3,9,2.5,1,3.9,99,97.6,85.7,69,47.6,94.3,86.7,76.2,55.2,38.6,92.4,96.2,95.2,95.2,71.9,91,28.1,81,2013
"NCC",98.6,91.5,84,90.9,87.5,82.2,87.1,77.7,71.7,98.6,91.5,84,91.6,87.5,83.6,87.1,82.8,73.9,7.7,11.3,14.7,10.2,2.9,5.4,99,98.6,81.9,63.3,43.8,89.5,84.8,67.6,46.2,27.1,NA,90,88.6,88.1,58.1,87.1,29,79,2013
"Netrokona",98.6,88.7,85.5,84.5,83.3,80.1,80.8,77.3,74.3,98.6,88.7,85.5,84.5,83.3,82,82.7,82,79.1,3.2,5.3,7.1,5.7,5.3,10.2,98.1,95.7,81.4,59,38.1,90.5,87.6,76.2,51.9,29.5,88.1,96.7,93.3,92.4,94.3,91.9,34.3,91.4,2013
"Nilphamari",100,100,97.8,99.5,97.9,96.9,97.4,90.7,88,100,100,97.8,99.5,97.9,96.9,97.4,93.4,90.7,2.2,3.2,4.3,3.4,1,2.9,99.5,98.1,90,71.9,53.8,99,97.6,84.8,66.7,41.9,94.3,99.5,99.5,99.5,94.3,95.2,61,91.9,2013
"Noakhali",97.6,92,85.1,88.3,87,85.7,87.1,79,72.6,97.6,92,85.1,88.3,87,86.4,87.1,81.1,74,7.1,8.8,10.4,5.8,4.4,11.2,94.8,94.8,77.1,51,30,88.1,84.3,69,46.2,27.1,90.5,94.3,94.8,93.3,86.7,85.7,26.2,84.3,2013
"Norsingdhi",98.6,90.7,87.6,91.4,89.5,88.3,87.7,83.7,77.9,98.6,90.7,87.6,91.4,89.5,88.3,87.7,85.7,79.9,3.7,5.6,7.7,4.4,2.9,9.2,98.6,96.2,87.6,64.3,40.5,88.1,85.2,72.4,44.3,22.9,91,85.7,84.8,82.9,88.6,88.1,27.6,83.8,2013
"Pabna",100,95.7,91.4,94.7,92.3,92.9,91,95.1,85.4,100,95.7,91.4,94.7,92.3,92.9,91,96.3,86.7,4.3,6.8,9.9,1.3,1,2.4,100,98.6,89.5,68.1,43.8,94.8,92.9,77.6,52.9,26.2,94.3,95.2,95.2,94.8,78.1,90.5,43.8,82.4,2013
"Panchagarh",100,97.9,88.6,97.4,95.2,94.2,95.3,88,77.5,100,97.9,88.6,97.4,95.2,94.7,95.8,90.8,80.3,9.3,11.5,12.8,4.8,1,4.3,99,96.7,89,69.5,50.5,92.9,85.2,69.5,53.3,37.1,94.3,98.1,98.1,96.7,85.2,94.8,30,95.2,2013
"Patuakhali",99.5,96.6,88,94.9,91.8,88.3,91.4,80.2,72.1,99.5,96.6,88,94.9,91.8,88.3,91.4,82.7,74.6,8.7,11.9,15,5.1,3.4,11.5,99.5,97.1,76.7,46.7,22.9,89.5,81.9,57.1,31.9,15.2,94.3,98.6,98.6,98.6,88.6,95.2,64.3,95.7,2013
"Perojpur",99.5,98,93.1,98,98,95,95.5,88.9,84.6,99.5,98,93.1,98,98,95,95.5,92.6,88.3,5.4,5.4,6.6,2.4,1.4,4.3,98.6,95.7,84.3,63.3,42.9,89.5,87.1,74.3,50,25.7,92.4,96.7,96.7,95.2,86.2,92.4,31,87.6,2013
"Rajbari",100,95.7,91.9,95.7,93.9,94.3,93.7,85,79.2,100,95.7,91.9,96.4,94.5,95,94.3,88.8,82.4,3.7,5.1,7.1,5,1.9,6.7,98.1,97.6,90,75.7,51.9,94.3,92.9,75.7,51,29,94.3,99,98.1,98.1,91.4,98.1,74.8,93.8,2013
"Rajshahi",100,96.7,90.6,96.1,95,95,95,91.7,84.8,100,96.7,90.6,96.1,95,95,95,94,87.1,6.1,6.7,7.8,4.1,0,1.4,99,97.6,87.6,69,45.7,93.3,91,77.6,54.8,36.7,94.8,92.9,92.9,92.9,89,91,27.1,87.1,2013
"Rajshahi CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,100,98.3,94.9,97.4,97.4,96.3,96.3,94.9,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
"Rajshahi Division",99.7,96.2,92.1,95.7,94.3,93.8,94,90.4,85.2,99.7,96.2,92.1,95.7,94.3,94.1,94.1,92.3,87,4.2,5.3,6.5,2.7,1.3,4.2,98.6,97.4,87.2,66.6,45.3,94.9,92.3,78.7,57,36.3,93.4,97.3,96.8,96.7,81.2,93.2,35.4,88,2013
