"Survey.Units","BCG_Children12M","OPV1_Children12M","PENTA1_Children12M","OPV2_Children12M","PENTA2_Children12M","OPV3_Children12M","PENTA3_Children12M","Measles_Children12M","Fully_Children12M","BCG_Children23M","OPV1_Children23M","PENTA1_Children23M","OPV2_Children23M","PENTA2_Children23M","OPV3_Children23M","PENTA3_Children23M","Measles_Children23M","Fully_Children23M","InvalidPENTA1_Infant12M","InvalidPENTA2_Infant12M","InvalidPENTA3_Infant12M","InvalidMeasles_Infant12M","DropoutPENTA1-PENTA3_Children23M","DropoutPENTA1-Measles_Children23M","TT1_Mother0-11MChildren","TT2_Mother0-11MChildren","TT3_Mother0-11MChildren","TT4_Mother0-11MChildren","TT5_Mother0-11MChildren","TT1_Woman18-49Y","TT2_Woman18-49Y","TT3_Woman18-49Y","TT4_Woman18-49Y","TT5_Woman18-49Y","PAB_Mother0-11MChildren","OPVCoverage_1stRound_Children59M","OPVCoverage_2stRound_Children59M","OPVCoverage_All_Children59M","VitACoverage_Infants6-11M","VitACoverage_Children12-59M","VitACoverage_PostPartum","AnthelminticCoverage_Children24-59M","Year"
"B.Baria",98.1,94,91.2,90.8,88.8,88,88,78.5,74.9,98.1,94,91.2,90.8,88.8,89.4,88.7,83.3,79.1,2.8,5,6.6,4.1,3.4,10.2,97.6,96.7,81.9,62.4,41.9,84.8,79.5,64.3,43.8,28.1,94.3,90,86.7,85.2,42.4,87.1,24.3,77.1,2013
"Bagerhat",99.5,97.5,96,97.5,95.5,95.6,95.6,94.6,91,99.5,97.5,96,97.5,95.5,96.1,96.1,96.2,92.6,2.5,4.5,5.1,0.5,1,2.9,99,97.1,82.9,60,35.7,92.9,88.6,78.1,56.2,37.1,88.1,99,99.5,99,92.9,96.7,47.6,97.1,2013
"Bandarban",99.5,98,91.5,96.6,96.1,94.6,96.1,86.7,81.1,99.5,98,91.5,96.6,96.1,94.6,96.1,89.2,83.6,6.6,7.2,7.2,5,1.9,5.7,95.2,92.9,81.9,66.2,46.7,98.6,97.6,92.9,79.5,62.4,85.7,96.7,97.1,96.7,94.8,94.8,69,96.2,2013
"Barguna",100,96.1,92.9,96.3,92.3,91.4,92,83.2,76.6,100,96.1,92.9,96.3,92.3,92.7,92,85.9,77.9,4.5,7.9,10.6,6.7,1.4,8.1,98.1,97.1,81.4,61.9,40.5,90.5,85.2,60.5,37.1,18.6,91.4,96.7,94.3,93.8,77.1,92.9,76.2,90,2013
"Barisal",99,97.2,92.4,96.3,95.7,94,94,84.4,78.9,99,97.2,92.4,96.3,95.7,95.2,94,88.6,81.9,4.9,5.5,8.1,4.8,1.4,6.3,99,96.7,90.5,78.1,60,89,88.1,74.8,51.9,32.4,92.9,95.7,95.2,95.2,83.8,89,39.5,89,2013
"Barisal CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,100,96.4,93.5,94.7,94,94.9,91.9,81.4,77.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
"Barisal Division",99.5,96.5,92,95,93.3,91.9,92.1,83.2,77.5,99.5,96.5,92,95,93.3,92.4,92.2,86.3,80.2,4.8,6.6,9,4.3,2.6,8.6,98.6,96.5,86.5,68.1,47.8,89.3,85.7,69.4,45.2,24.9,96.3,95.6,94.5,93.9,80,90.4,40.9,87.6,2013
"BCC",100,96.4,93.5,94.7,94,94.2,91.2,80.7,77.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,3.7,7.1,5.2,2.9,11,98.6,97.1,88.1,62.4,41,93.8,91.4,75.2,45.2,26.2,89.5,98.6,98.1,97.1,90.5,93.8,55.2,92.9,2013
"Bhola",98.6,93.5,92.3,89.2,85,86,86.6,81.1,76.2,98.6,93.5,92.3,89.2,85,86.6,86.6,82.9,77.4,1.2,5.7,7.7,2.2,5.9,13.2,97.6,94.8,91.4,84.8,67.1,90,86.7,74.3,51,27.6,89,89,87.1,86.7,56.7,79.5,35.7,75.2,2013
"Bogra",100,96.1,94.4,95.2,94.1,92.4,91.3,84.7,81.4,100,96.1,94.4,95.2,94.1,92.4,91.3,85.3,81.9,1.7,2.8,4,2.5,4.3,11.9,98.6,97.6,82.4,58.6,37.1,91.4,89,79.5,57.6,35.7,94.3,98.1,96.2,96.2,82.9,89,20.5,87.1,2013
