"Survey.Units","BCG_Children12M","OPV1_Children12M","DPT1_Children12M","HB1_Children12M","OPV2_Children12M","DPT2_Children12M","HB2_Children12M","OPV3_Children12M","DPT3_Children12M","HB3_Children12M","Measles_Children12M","Fully_Children12M","BCG_Children23M","OPV1_Children23M","DPT1_Children23M","HB1_Children23M","OPV2_Children23M","DPT2_Children23M","HB2_Children23M","OPV3_Children23M","DPT3_Children23M","HB3_Children23M","Measles_Children23M","Fully_Children23M","TT1_Mother0-11MChildren","TT2_Mother0-11MChildren","TT3_Mother0-11MChildren","TT4_Mother0-11MChildren","TT5_Mother0-11MChildren","TT1_Woman18-49Y","TT2_Woman18-49Y","TT3_Woman18-49Y","TT4_Woman18-49Y","TT5_Woman18-49Y","PAB_Mother0-11MChildren","OPVCoverage_18NID_Children0-5M","OPVCoverage_MeaslesCampaign_Children0-5M","OPVCoverage_Both_Children0-5M","VitASupplementationCoverage_PostPartum","VitACoverage_Children12-59M","VitACoverage_Infants9-11M","AnthelminticCoverage_Children24-59M","MeaslesCoverage_Children9-59M"
"B.Baria",95.5,95,95,95,94.6,94.6,94.6,92.2,89.5,89.5,87.7,84.7,96.2,95.7,95.7,95.7,95.2,95.2,95.2,92.9,90.2,90.2,90.6,87.7,96.7,96.2,81.9,57.1,32.9,93.8,91.9,81,56.7,32.4,93.8,96.7,94.8,92.9,42.4,96.7,92.9,90,86.7
"Bagerhat",97.4,96.9,96.9,96.9,95.1,94.2,94.2,87.6,83.3,83.3,74.8,69.4,99,98.6,98.6,98.6,96.8,95.9,95.9,91,85,85,81.2,73.9,91,89,82.4,59.5,37.1,81,79,64.8,38.6,22.9,88.6,95.2,90,87.6,51.4,95.2,87.6,95.7,94.8
"Bandarban",83.2,83.2,83.2,83.2,82.4,82.4,82.4,78.4,75.7,75.7,68.4,65.3,85.2,85.2,85.2,85.2,82.4,82.4,82.4,78.4,75.7,75.7,73,69.9,81.4,79.5,63.3,46.7,32.4,75.2,74.3,64.3,46.7,32.4,74.3,83.8,74.3,71.4,44.3,83.8,77.6,81.4,51.9
"Barguna",100,99.5,99.5,99.5,97.9,97.9,97.9,93.9,91.1,91.1,83.8,80.8,100,99.5,99.5,99.5,97.9,97.9,97.9,94.6,91.8,91.8,88.2,85.2,99,94.3,73.3,39.5,21,93.8,89.5,67.1,38.1,14.3,91.4,90.5,97.1,89.5,45.2,95.2,91.9,84.8,83.8
"Barisal",99,98.4,98.4,98.4,97.9,97.2,97.2,93.7,88.1,88.1,84.7,78.1,99,99,99,99,98.6,97.9,97.9,95.1,88.8,88.8,90.4,83.2,94.8,92.4,75.2,52.4,29,88.6,83.3,66.7,42.4,23.8,88.1,92.9,80,75.7,30.5,93.3,93.3,81,81.9
"Barisal Division",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5,99.3,99.3,99.3,98.3,98.2,98.2,96.1,90.7,90.7,90.5,84.6,97.3,94.5,76.7,50.7,30.5,91.6,87.9,73,45.4,25.9,90.6,94.5,91.2,87.8,44.1,94.5,94.6,85.9,84.8
"BCC",99,99,99,99,96.2,96.2,96.2,94.1,89.2,89.2,86.4,80.5,99,99,99,99,96.9,96.9,96.9,95.5,90.6,90.6,89.4,83.5,99,96.7,83.8,50.5,29.5,93.3,90,72.4,39,22.9,92.9,95.2,85.2,84.3,50.5,93.8,93.8,85.2,79.5
"Bhola",97.8,97.4,97.4,97.4,96.9,96.9,96.9,94.2,90.4,90.4,88.2,84.3,98.6,98.1,98.1,98.1,97.6,97.6,97.6,94.9,91.2,91.2,89,85.1,97.1,91.9,65.7,48.1,29.5,89.5,84.3,69.5,42.4,26.2,91.4,91.9,92.4,85.2,49,92.9,92.9,85.2,79
"Bogra",100,99.5,99.5,99.5,99.5,99.5,99.5,98.3,92.7,92.7,93.5,87.6,100,99.5,99.5,99.5,99.5,99.5,99.5,98.3,92.7,92.7,95.5,89.6,99.5,97.6,90.5,73.8,47.1,96.2,95.2,90.5,70,47.1,94.3,99,93.8,92.9,45.7,99.5,98.1,98.6,89
"CCC",97.6,97.6,97.6,97.6,97.1,97.1,97.1,95.4,87.9,87.9,85.9,78.2,99,99,99,99,98.6,98.6,98.6,96.9,89.4,89.4,91.3,83.6,98.6,97.6,79.5,50.5,30,88.1,86.2,71,44.8,21,95.2,97.1,93.3,91.9,33.8,96.2,92.9,85.2,82.9
"Chandpur",97.6,97.6,97.6,97.6,97.6,97.6,97.6,95.6,83.8,83.8,92.2,79.9,97.6,97.6,97.6,97.6,97.6,97.6,97.6,95.6,83.8,83.8,92.2,79.9,99.5,99,83.8,69.5,53.8,70.5,69.5,60.5,46.7,36.7,96.7,97.1,95.7,94.8,24.8,97.6,97.1,97.1,95.7
"Chapai Nawabganj",99,98.6,98.6,98.6,95.9,95.9,95.9,92.6,90.2,90.2,82.2,79.6,99,98.6,98.6,98.6,95.9,95.9,95.9,93.9,90.8,90.8,84.2,80.9,95.7,94.3,80.5,64.3,51,97.1,92.9,76.2,60,41,86.7,94.8,93.8,91.4,20.5,93.8,91.4,91.9,86.7
"Chittagong",100,100,100,100,98.4,98.4,98.4,95.6,85.9,85.9,88.7,78.9,100,100,100,100,99,99,99,96.8,86.5,86.5,92.7,82.3,100,100,91.9,74.8,49.5,100,99.5,88.6,71,50,99.5,99.5,100,99.5,93.3,99.5,99,100,100
"Chittagong Division",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.4,96.3,96.3,96.3,95,95,95,92.1,85.8,85.8,86.8,80,94.4,93.1,78.5,58.4,37.1,87.2,85,72.3,50.7,31.3,90.1,95,88.9,87.6,42.1,94.6,90.4,91.3,83.9
"Chittagong Slum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.9,89.5,69.5,42.9,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chuadanga",99,99,99,99,96.8,96.8,96.8,95.8,90.2,90.2,85.9,79.9,99,99,99,99,97.4,97.4,97.4,96.4,90.8,90.8,89.3,83.2,98.6,98.6,82.9,59,41,95.7,91,70,46.7,24.8,95.2,96.2,95.7,95.2,53.8,94.3,96.7,89.5,83.3
"Comilla",99.5,99.5,99.5,99.5,97.4,97.4,97.4,94.5,88.6,88.6,85.7,79.6,99.5,99.5,99.5,99.5,97.4,97.4,97.4,95.7,89.8,89.8,94.3,88.2,93.3,92.9,76.2,57.6,34.3,87.1,86.2,75.2,48.1,28.6,91.4,96.2,96.2,95.7,81.9,96.2,94.3,90,96.2
"Cox'sbazar",100,100,100,100,99.5,99.5,99.5,94.5,83.7,83.7,84.8,72.6,100,100,100,100,99.5,99.5,99.5,95.2,83.7,83.7,90.6,77.5,97.6,96.7,87.1,72.9,50.5,93.3,91.9,78.6,60,36.2,93.8,97.6,91,90,21,96.7,99.5,95.2,86.2
"Ctg Slum",98.6,98.1,98.1,98.1,94.1,94.1,94.1,89.3,84.4,84.4,74.9,69.1,98.6,98.1,98.1,98.1,94.9,94.9,94.9,90.1,84.4,84.4,79.9,73.2,99.5,98.1,75.7,52.4,26.7,NA,NA,NA,NA,NA,94.8,97.6,73.3,72.9,33.3,97.6,85.7,94.3,72.4
"DCC",100,99.4,99.4,99.4,97.3,97.3,97.3,89.1,84.7,84.7,74.7,69.9,100,99.4,99.4,99.4,97.3,97.3,97.3,92.2,87.2,87.2,80.1,74.7,99.5,99,77.1,44.8,26.7,96.7,90.5,69.5,45.2,28.6,96.2,99,93.3,93.3,36.7,98.6,91,92.9,92.9
"Dhaka",99.5,99.5,99.5,99.5,98.9,98.9,98.9,93.6,89.9,89.9,82.9,78.9,99.5,99.5,99.5,99.5,99.5,99.5,99.5,96.1,91.2,91.2,92.9,87.6,97.6,95.7,79,54.3,33.8,95.2,91.9,71.4,48.6,32.4,89.5,98.6,91.4,91.4,29,97.1,94.3,94.3,85.2
"Dhaka Division",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,99.2,99.2,99.2,98.2,97.9,97.9,94.4,89.2,89.2,88,82.2,97.4,95.8,83,61.3,38.7,93.5,90.3,76.1,53.3,32.8,91.6,97.4,93.1,92,32.2,97.1,92.1,94.4,88.7
"Dhaka Slum",98.6,98.6,98.6,98.6,96.2,96.2,96.2,87.9,84,84,74.4,70.3,98.6,98.6,98.6,98.6,97.1,97.1,97.1,89.9,85,85,77.4,72.3,92.9,90,68.1,49.5,30.5,88.6,84.3,61,41,18.6,88.1,98.6,95.2,94.3,26.2,97.6,87.6,95.7,82.9
"Dinajpur",100,100,100,100,99,99,99,95.6,88.3,88.3,89.4,81.8,100,100,100,100,99.5,99.5,99.5,98.4,88.8,88.8,94.1,84.2,99.5,98.6,89,71.4,46.7,91.9,91,76.7,61.4,38.1,97.1,97.1,94.8,92.4,49.5,96.2,97.6,88.6,91.9
"Faridpur",99,99,99,99,99,99,99,94.2,84.7,84.7,85.2,74.7,99,99,99,99,99,99,99,94.2,84.7,84.7,90,79.4,95.7,91.4,82.9,61.4,30.5,93.8,93.3,79,50,28.6,90.5,97.6,95.2,95.2,13.8,97.1,94.8,96.2,95.2
"Feni",99,99,99,99,99,99,99,94.2,91.7,91.7,86.3,83.7,99,99,99,99,99,99,99,94.8,92.4,92.4,90.8,88.2,99,97.6,91.9,75.7,47.6,90.5,89,77.1,51,24.3,97.1,95.7,90.5,87.1,35.7,94.3,93.3,89,82.9
"Gaibandha",99.5,99.5,99.5,99.5,98.4,98.4,98.4,95.2,93.5,93.5,79.9,78.1,100,100,100,100,99.5,99.5,99.5,96.8,94.6,94.6,90.9,88.5,92.9,92.4,79,61.4,41.4,94.3,92.9,80.5,66.7,46.7,89,96.2,97.1,95.2,33.8,96.2,93.3,90,96.2
"Gazipur",100,99.5,99.5,99.5,98.3,98.3,98.3,93.3,81.3,81.3,90.7,77.1,100,99.5,99.5,99.5,99,98.3,98.3,94.9,82.1,82.1,93.4,78,99,98.1,83.8,64.3,35.7,95.2,91.9,75.2,45.2,22.4,96.2,96.7,95.7,95.7,75.2,96.7,95.2,93.3,95.2
"Gopalganj",98.6,98.6,98.6,98.6,97.4,96.7,96.7,95.3,91,91,83.6,78,98.6,98.6,98.6,98.6,98.1,97.4,97.4,96,91.7,91.7,89.2,83.6,97.6,94.3,76.7,56.7,39.5,97.1,93.3,78.6,47.6,28.6,92.4,96.2,91.9,89,31.4,95.7,94.8,94.8,89
"Habiganj",98.6,98.6,98.6,98.6,96.5,96.5,96.5,93.1,88.6,88.6,83.3,78.5,98.6,98.6,98.6,98.6,96.5,96.5,96.5,93.8,89.2,89.2,92.2,87.4,98.1,96.2,89.5,77.1,56.7,97.1,96.7,90,69.5,46.7,89.5,98.6,91,90.5,20,98.1,92.9,95.2,90
"Jamalpur",99.3,98.4,98.4,98.4,96.8,96.8,96.8,93.2,89.9,89.9,80.5,77.2,100,99,99,99,98.1,98.1,98.1,93.8,90.6,90.6,85.2,81.9,99,96.7,82.9,62.9,36.2,97.1,93.8,76.2,54.8,35.7,95.2,96.2,95.7,92.9,43.3,93.8,88.6,86.7,88.6
